HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline
ACA5FF,2022/06/20,15:00:11.346,,,,,NA
A3A42F,2022/06/20,15:00:11.352,,3200,,,NA
AAE6DB,2022/06/20,15:00:11.361,,4875,,,NA
AC76B6,2022/06/20,15:00:11.398,,10550,,,NA
A637F3,2022/06/20,15:00:11.399,,30875,283,,NA
AB178F,2022/06/20,15:00:11.430,,4500,,,NA
A72AA3,2022/06/20,15:00:11.508,,10550,440,,NA
AD247C,2022/06/20,15:00:11.555,,3200,384,,NA
A01037,2022/06/20,15:00:11.564,,9150,,,NA
A280FE,2022/06/20,15:00:11.618,N801PB,39000,,,Private
A4EE2E,2022/06/20,15:00:11.771,,14425,,,NA
A0D99A,2022/06/20,15:00:11.775,N8135G,3500,109,,Private
AAB99F,2022/06/20,15:00:12.252,,36000,283,,NA
A23138,2022/06/20,15:00:12.704,,15550,,,NA
ACDD74,2022/06/20,15:00:12.739,,2500,110,,NA
A46E70,2022/06/20,15:00:12.924,N154FT,18700,126,2255,Private
AD285F,2022/06/20,15:00:17.490,,21600,440,,NA
AC267C,2022/06/20,15:00:17.823,N154FT,30325,127,3372,Private
A0F91D,2022/06/20,15:00:23.046,N154FT,10250,284,4012,Private
A163F2,2022/06/20,15:00:27.123,N3336S,39000,304,4012,Private
A5818B,2022/06/20,15:00:32.271,LXJ385,4850,440,6211,LXJ
A07B36,2022/06/20,15:00:46.829,N8135G,39000,371,3644,Private
A7A555,2022/06/20,15:00:53.164,LXJ385,22650,320,3427,LXJ
ACA309,2022/06/20,15:01:19.806,,3700,191,,NA
A61D3E,2022/06/20,15:01:21.393,N8135G,10825,469,,Private
AB2372,2022/06/20,15:01:26.351,N3336S,3600,112,,Private
A5540C,2022/06/20,15:01:31.838,N8135G,11150,155,2255,Private
AD5398,2022/06/20,15:01:42.516,N3336S,2500,197,,Private
AC667A,2022/06/20,15:02:03.515,,2900,125,,NA
A40D7A,2022/06/20,15:02:03.935,AAL1832,45000,125,,AAL
A53348,2022/06/20,15:02:05.553,N8135G,3100,360,7222,Private
AE0097,2022/06/20,15:02:24.668,N8135G,10900,175,7222,Private
A0B199,2022/06/20,15:02:38.271,N8135G,12750,293,7222,Private
ABD3C7,2022/06/20,15:02:51.473,SWA28,10725,122,,SWA
A02A1C,2022/06/20,15:02:54.160,N8135G,16300,407,2207,Private
AE0095,2022/06/20,15:03:09.914,N8135G,2100,194,1445,Private
A0D19E,2022/06/20,15:03:26.015,N8135G,14100,369,6244,Private
AAE6CD,2022/06/20,15:03:41.060,N8135G,24825,89,6240,Private
AA4A9B,2022/06/20,15:04:24.175,AAL1832,6000,337,,AAL
ACCB22,2022/06/20,15:04:31.902,,2575,339,,NA
A0ADF9,2022/06/20,15:04:32.175,AAL1832,14025,385,,AAL
A9F424,2022/06/20,15:04:39.083,N143BL,9075,186,2272,Private
A944B9,2022/06/20,15:05:05.066,BTQ553,26525,198,2272,BTQ
A87CA9,2022/06/20,15:05:33.090,SKW5932,15900,394,3630,SKW
ACEE50,2022/06/20,15:05:53.606,AAL1832,10825,283,,AAL
AC828F,2022/06/20,15:05:56.937,AAL511,8000,281,5167,AAL
AB2E55,2022/06/20,15:06:13.884,AAL1832,1900,282,,AAL
ADDF01,2022/06/20,15:06:18.430,AAL2511,8400,178,1316,AAL
AD5369,2022/06/20,15:06:37.866,N89878,39000,374,1316,Private
AAF0E2,2022/06/20,15:07:00.902,BTQ553,13075,267,,BTQ
