HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline
A78A52,2022/06/19,17:00:10.344,,9900,,,NA
A23FE5,2022/06/19,17:00:10.370,AAL1322,10350,314,,AAL
AC59AA,2022/06/19,17:00:10.708,,35000,,,NA
A1CD4E,2022/06/19,17:00:10.726,,9900,,,NA
A1E5F1,2022/06/19,17:00:11.287,,9900,335,,NA
ACF492,2022/06/19,17:00:14.129,ENY4079,21050,476,,ENY
A1FB8F,2022/06/19,17:00:24.324,AAL1322,10575,469,,AAL
A24EC1,2022/06/19,17:00:29.754,,33000,274,6763,NA
AB2C72,2022/06/19,17:00:31.099,,10675,470,,NA
A203A9,2022/06/19,17:00:32.461,ENY4079,10300,274,,ENY
AD5416,2022/06/19,17:00:41.427,,9450,404,,NA
ACF486,2022/06/19,17:00:42.926,ASH5819,2400,372,,ASH
ADAB31,2022/06/19,17:00:49.582,,8650,322,,NA
0D09B6,2022/06/19,17:00:52.604,ASH5819,10275,196,,ASH
ABEDC8,2022/06/19,17:00:54.448,ENY4237,10425,406,6763,ENY
A263DC,2022/06/19,17:01:30.251,SCX121,12900,288,,SCX
A7C071,2022/06/19,17:01:46.940,,43000,327,,NA
A55EC5,2022/06/19,17:01:47.379,SCX121,9800,277,,SCX
AC82F8,2022/06/19,17:01:57.882,ENY4237,10200,190,2327,ENY
A3B11E,2022/06/19,17:02:08.618,N445SE,8750,474,4017,Private
A0EBAB,2022/06/19,17:02:13.187,ASH5819,2750,473,3604,ASH
A2B05B,2022/06/19,17:02:34.178,N445SE,14175,342,,Private
A0D19E,2022/06/19,17:02:58.911,,11950,401,,NA
A1B573,2022/06/19,17:03:00.548,,19350,436,,NA
AB6380,2022/06/19,17:03:05.442,,11400,402,,NA
AD1D3D,2022/06/19,17:03:07.273,SCX121,11475,195,2257,SCX
A20690,2022/06/19,17:03:13.484,SCX121,1425,373,3607,SCX
A6CFFC,2022/06/19,17:03:15.036,AAL2202,9100,465,7254,AAL
A25EF8,2022/06/19,17:03:37.900,UAL376,12550,380,5774,UAL
A5BCA5,2022/06/19,17:03:44.526,N599SL,6975,435,,Private
AC6F48,2022/06/19,17:03:57.432,N599SL,43000,467,,Private
AAFB20,2022/06/19,17:03:59.659,N8064W  ,10575,435,,Private
A047DB,2022/06/19,17:04:00.122,UCA4883,10600,318,3462,UCA
AD2833,2022/06/19,17:04:39.372,AAL1844,2450,434,3462,AAL
A84A7B,2022/06/19,17:05:10.351,AAL1948,8750,441,,AAL
ABAC48,2022/06/19,17:05:39.950,,2275,209,,NA
AD247C,2022/06/19,17:05:40.415,N900BC,2275,203,2246,Private
AD2531,2022/06/19,17:05:56.705,,4700,434,,NA
AD1C11,2022/06/19,17:06:03.908,N469SL,28000,279,,Private
A73A47,2022/06/19,17:06:22.625,FTH946,7300,378,7254,FTH
A9B637,2022/06/19,17:07:09.371,AAL1948,40000,307,,AAL
AD1D0E,2022/06/19,17:07:32.790,,16100,358,,NA
780A6E,2022/06/19,17:07:36.267,ENY3770,10025,306,,ENY
ABF8E0,2022/06/19,17:07:40.534,,35000,494,,NA
A29DEE,2022/06/19,17:07:41.050,ENY3672,35000,365,540,ENY
A295C9,2022/06/19,17:07:44.696,ENY3770,45000,262,6233,ENY
A9034C,2022/06/19,17:08:41.403,N23EE,2425,192,,Private
A76028,2022/06/19,17:08:45.336,AAL1742,18350,456,516,AAL
A55055,2022/06/19,17:09:16.021,,11625,263,,NA
ABFA63,2022/06/19,17:09:16.212,AAL1742,13425,408,7762,AAL
A283ED,2022/06/19,17:09:21.312,AAL1742,9225,471,7762,AAL
A5F3CF,2022/06/19,17:09:27.400,,12175,,,NA
A7B70C,2022/06/19,17:09:27.454,N469SL,9475,492,,Private
AA42AA,2022/06/19,17:09:36.576,AAL2901,12575,315,4041,AAL
A992CF,2022/06/19,17:09:55.953,ASH5752,28000,263,2246,ASH
ABE65A,2022/06/19,17:10:10.335,,,218,,NA
A7D78A,2022/06/19,17:10:10.395,,,,,NA
A8FD2C,2022/06/19,17:10:10.464,,2875,263,,NA
ABA76A,2022/06/19,17:10:12.764,ASH5752,2200,263,2246,ASH
ACDCEC,2022/06/19,17:10:44.000,N541JG,28000,337,5112,Private
A1F4CD,2022/06/19,17:10:59.225,ASH5752,2625,324,2352,ASH
A3F944,2022/06/19,17:11:11.726,N541JG,10275,439,7201,Private
A0B550,2022/06/19,17:11:21.239,N541JG,8500,179,,Private
A11B00,2022/06/19,17:11:29.044,ASH5752,14125,265,5112,ASH
ADA6B9,2022/06/19,17:11:31.405,N5967P,9900,361,7201,Private
A9FB96,2022/06/19,17:11:39.145,N5967P,9750,164,5112,Private
A3244A,2022/06/19,17:12:01.283,N541JG,14000,165,,Private
A1DC2A,2022/06/19,17:12:07.942,AAL2901,9475,164,7762,AAL
ABA891,2022/06/19,17:12:23.726,N469SL,9975,351,,Private
ACDBEE,2022/06/19,17:12:27.672,CPA2081,2625,308,6251,CPA
A11CD2,2022/06/19,17:12:33.088,N5967P,4450,266,4041,Private
AA0300,2022/06/19,17:12:45.300,N1709T,9475,265,,Private
ABF8FF,2022/06/19,17:13:10.980,N5967P,11100,280,,Private
A8050D,2022/06/19,17:13:27.026,ENY3763,10175,320,527,ENY
AD071D,2022/06/19,17:13:43.880,N5967P,2375,215,1162,Private
A10931,2022/06/19,17:14:33.285,AAL419,16900,180,,AAL
A2DDAC,2022/06/19,17:14:40.376,CPA2081,9425,393,5223,CPA
A0D72B,2022/06/19,17:14:52.434,,7175,162,,NA
A71B59,2022/06/19,17:14:53.086,ASH5758,4950,116,5223,ASH
AA2DA1,2022/06/19,17:15:00.331,N1709T,16875,266,5223,Private
A3F3ED,2022/06/19,17:15:06.650,N1709T,11925,87,,Private
A4D42D,2022/06/19,17:15:10.392,UAL2647,25100,324,6234,UAL
ACDD74,2022/06/19,17:15:15.384,BTQ553,11100,267,1563,BTQ
A149F1,2022/06/19,17:15:24.468,N469SL,9475,278,4553,Private
A05B7E,2022/06/19,17:15:48.208,BTQ553,16000,163,,BTQ
A9A750,2022/06/19,17:15:51.216,BTQ553,10150,206,,BTQ
A283F4,2022/06/19,17:15:54.618,N469SL,34025,165,3414,Private
A0311D,2022/06/19,17:15:56.138,AAL479,10225,165,1563,AAL
A40797,2022/06/19,17:16:11.955,BTQ553,11975,267,4553,BTQ
AB6C26,2022/06/19,17:16:25.221,N5967P,4450,264,3414,Private
AA75C6,2022/06/19,17:17:19.185,N5967P,34000,457,7350,Private
AC7A52,2022/06/19,17:17:34.061,AAL2738,2425,276,7350,AAL
A613E0,2022/06/19,17:17:58.027,AAY2781,1900,361,,AAY
ABC12A,2022/06/19,17:18:09.665,,9475,452,,NA
A04B24,2022/06/19,17:18:10.171,BTQ553,12600,285,,BTQ
A2ADF4,2022/06/19,17:18:21.019,N1709T,10100,317,7350,Private
A21C4C,2022/06/19,17:18:32.280,N755LL,14800,402,5213,Private
A39AA6,2022/06/19,17:18:46.351,N755LL,37000,304,2066,Private
A39E6B,2022/06/19,17:18:57.848,N1709T,11975,233,6156,Private
A24782,2022/06/19,17:19:16.235,N1709T,9325,311,2066,Private
AC72E4,2022/06/19,17:19:22.879,N557VT,16100,192,2066,Private
A0A6C5,2022/06/19,17:19:28.720,AAL1537,7950,181,2277,AAL
A98489,2022/06/19,17:19:38.008,N557VT,18000,188,2066,Private
AD928E,2022/06/19,17:20:22.267,BTQ553,10000,449,,BTQ
A243CB,2022/06/19,17:20:23.650,AAL2011,18000,281,,AAL
AADE46,2022/06/19,17:20:33.147,BTQ553,4300,328,5213,BTQ
ABB579,2022/06/19,17:21:16.058,N1709T,10075,309,,Private
AB4AF1,2022/06/19,17:21:34.078,N712LV,37000,186,7615,Private
AC828F,2022/06/19,17:21:55.317,N331MN,10975,345,7615,Private
A0EB68,2022/06/19,17:21:58.908,N1588S,9100,399,7615,Private
AC6FD8,2022/06/19,17:22:05.477,N1588S,21125,323,,Private
A8D2A8,2022/06/19,17:22:14.870,ENY4132,8900,204,2335,ENY
A4ACAE,2022/06/19,17:22:39.680,N1588S,6775,454,3642,Private
A9AB72,2022/06/19,17:23:26.405,ENY9631,2875,202,5163,ENY
AB2AE0,2022/06/19,17:24:42.163,BTQ553,7650,395,574,BTQ
A951D6,2022/06/19,17:24:47.865,AAL1961,10750,250,,AAL
A5B954,2022/06/19,17:24:52.999,DAL691,15500,116,2532,DAL
ADAC5D,2022/06/19,17:25:53.183,AAL2009,9600,200,6210,AAL
AAFD0A,2022/06/19,17:25:59.044,AAL1961,2450,416,6225,AAL
A085A4,2022/06/19,17:26:07.051,,2600,220,,NA
A3396B,2022/06/19,17:26:07.584,,10075,233,,NA
AA3839,2022/06/19,17:26:08.118,ENY3633,13550,232,3662,ENY
AC047D,2022/06/19,17:26:37.833,N7WF,35000,450,3662,Private
A13C73,2022/06/19,17:27:09.059,PWA901,8425,270,5211,PWA
AA6113,2022/06/19,17:27:19.782,AAL2009,37000,350,6230,AAL
AB19FB,2022/06/19,17:27:24.371,AAL2009,2475,320,5211,AAL
AC76B6,2022/06/19,17:27:56.819,ASH6128,21725,204,5211,ASH
AA0A6E,2022/06/19,17:28:51.442,UAL1717,37000,389,,UAL
A223BA,2022/06/19,17:28:56.665,UAL1717,23675,460,,UAL
A8CED2,2022/06/19,17:28:57.263,ENY3628,2325,365,6215,ENY
AA9F1C,2022/06/19,17:29:10.902,ENY3814,12750,454,3740,ENY
ABE40A,2022/06/19,17:29:30.943,AAL2168,24750,391,,AAL
ABACD2,2022/06/19,17:30:02.999,AAL2168,25675,305,2345,AAL
A7D630,2022/06/19,17:30:26.195,AAL1269,2575,476,,AAL
A54E5F,2022/06/19,17:30:30.465,AAL1269,2650,365,6225,AAL
AC793F,2022/06/19,17:30:49.837,,11975,464,,NA
A39FB7,2022/06/19,17:30:51.423,AAL2168,33000,465,2345,AAL
A762D3,2022/06/19,17:31:03.110,ASH6128,9050,200,2311,ASH
A515AD,2022/06/19,17:32:19.646,N441AL,13325,457,7374,Private
A7EEC3,2022/06/19,17:32:27.736,SWA1928,37025,201,7374,SWA
A4ED78,2022/06/19,17:32:41.701,,20475,153,2311,NA
AA59A5,2022/06/19,17:32:43.669,N441AL,37025,176,3406,Private
A3244F,2022/06/19,17:33:02.577,AAL2168,10650,439,,AAL
A0541B,2022/06/19,17:33:12.724,SWA2890,2525,122,7374,SWA
AA4E80,2022/06/19,17:33:19.553,N441AL,14450,387,3427,Private
A913BD,2022/06/19,17:33:49.483,ENY4072,2325,397,5224,ENY
AA4A49,2022/06/19,17:34:26.254,SWA1928,43000,275,3702,SWA
A1057A,2022/06/19,17:34:49.753,ENY3628,2275,326,5121,ENY
AA395B,2022/06/19,17:34:52.043,ENY3628,8575,454,2345,ENY
A5AEAD,2022/06/19,17:35:23.174,ENY3628,11950,467,,ENY
A8D206,2022/06/19,17:35:24.123,AAL472,2400,193,6512,AAL
ACD83D,2022/06/19,17:35:36.726,ENY3628,2575,265,3427,ENY
A944B9,2022/06/19,17:35:57.058,ENY4012 ,10450,275,3427,ENY
A0D5D6,2022/06/19,17:36:00.867,AAL2855,14225,241,3427,AAL
A403DF,2022/06/19,17:36:16.303,ENY3628,9750,165,3427,ENY
A4F347,2022/06/19,17:36:20.115,,16550,354,,NA
AC90A0,2022/06/19,17:36:23.371,UAL2344,12300,415,2441,UAL
A390E3,2022/06/19,17:36:38.887,AAL1761,11950,416,,AAL
A97797,2022/06/19,17:36:44.537,UAL2344,8825,149,2441,UAL
A32E8C,2022/06/19,17:36:47.785,SWA1928,11175,302,2441,SWA
A89CCC,2022/06/19,17:37:11.335,ENY3912,2375,457,2243,ENY
ABB995,2022/06/19,17:37:13.673,UAL2344,33000,477,2243,UAL
A42EE9,2022/06/19,17:37:16.884,ASH5749,37025,144,2243,ASH
A178DE,2022/06/19,17:38:03.713,,33000,468,,NA
AC6F31,2022/06/19,17:38:05.845,SWA27,12550,322,4056,SWA
ACE5FA,2022/06/19,17:38:13.672,EJA418,37050,415,4056,EJA
ACB59C,2022/06/19,17:38:23.452,EJA418,9875,475,,EJA
A591D5,2022/06/19,17:38:27.293,JTZ807,35975,164,4056,JTZ
A2E935,2022/06/19,17:38:34.576,SWA27,8050,464,6273,SWA
A83673,2022/06/19,17:38:42.609,AAL1560,43000,345,6273,AAL
A9A404,2022/06/19,17:38:56.087,SWA27,11950,161,2743,SWA
A4BB8A,2022/06/19,17:39:17.994,AAL472,11025,349,6273,AAL
A35AAE,2022/06/19,17:39:23.615,UAL2344,11975,451,,UAL
A89915,2022/06/19,17:39:26.602,ENY4012,10250,197,2743,ENY
ACB285,2022/06/19,17:39:58.819,SWA1928,22025,173,7450,SWA
A1C5E0,2022/06/19,17:40:36.880,ENY4012,10700,276,,ENY
A24753,2022/06/19,17:40:40.978,AAL1456,35475,309,1620,AAL
