Date,Time,Weekday,BarometricPressure,Temp,WindSpeed,WindDirection,Raining
2022-07-06,00:00:00,Wednesday,29.16,88,13,S,No
2022-07-06,01:00:00,Wednesday,29.15,86,8,S,No
2022-07-06,02:00:00,Wednesday,29.15,85,12,S,No
2022-07-06,03:00:00,Wednesday,29.16,84,12,S,No
2022-07-06,04:00:00,Wednesday,29.16,82,10,S,No
2022-07-06,05:00:00,Wednesday,29.18,80,8,S,No
2022-07-06,06:00:00,Wednesday,29.20,80,9,S,No
2022-07-06,07:00:00,Wednesday,29.22,82,12,S,No
2022-07-06,08:00:00,Wednesday,29.23,85,12,S,No
2022-07-06,09:00:00,Wednesday,29.24,88,12,S,No
2022-07-06,10:00:00,Wednesday,29.23,91,10,S,No
2022-07-06,11:00:00,Wednesday,29.21,93,10,S,No
2022-07-06,24:00:00,Wednesday,29.20,97,0,,No
2022-07-06,13:00:00,Wednesday,29.17,99,7,SE,No
2022-07-06,14:00:00,Wednesday,29.15,101,8,S,No
2022-07-06,15:00:00,Wednesday,29.14,103,10,SE,No
2022-07-06,16:00:00,Wednesday,29.12,103,16,SE,No
2022-07-06,17:00:00,Wednesday,29.11,102,15,SE,No
2022-07-06,18:00:00,Wednesday,29.10,100,14,S,No
2022-07-06,19:00:00,Wednesday,29.11,98,17,SE,No
2022-07-06,20:00:00,Wednesday,29.12,95,13,SE,No
2022-07-06,21:00:00,Wednesday,29.14,92,9,SE,No
2022-07-06,22:00:00,Wednesday,29.16,91,10,SE,No
2022-07-06,23:00:00,Wednesday,29.17,89,12,SE,No
