Date,Time,Weekday,BarometricPressure,Temp,WindSpeed,WindDirection,Raining
2022-06-21,00:00:00,Tuesday,29.32,86,7,E,No
2022-06-21,01:00:00,Tuesday,29.32,85,7,E,No
2022-06-21,02:00:00,Tuesday,29.32,85,12,E,No
2022-06-21,03:00:00,Tuesday,29.32,83,10,SE,No
2022-06-21,04:00:00,Tuesday,29.32,82,10,S,No
2022-06-21,05:00:00,Tuesday,29.33,81,14,S,No
2022-06-21,06:00:00,Tuesday,29.36,82,9,S,No
2022-06-21,07:00:00,Tuesday,29.37,84,10,S,No
2022-06-21,08:00:00,Tuesday,29.39,87,14,S,No
2022-06-21,09:00:00,Tuesday,29.40,90,10,S,No
2022-06-21,10:00:00,Tuesday,29.39,92,8,S,No
2022-06-21,11:00:00,Tuesday,29.39,94,12,S,No
2022-06-21,24:00:00,Tuesday,29.38,97,9,S,No
2022-06-21,13:00:00,Tuesday,29.37,97,7,VAR,No
2022-06-21,14:00:00,Tuesday,29.35,98,13,SE,No
2022-06-21,15:00:00,Tuesday,29.33,96,9,E,No
2022-06-21,16:00:00,Tuesday,29.32,99,14,E,No
2022-06-21,17:00:00,Tuesday,29.32,98,8,E,No
2022-06-21,18:00:00,Tuesday,29.31,96,14,E,No
2022-06-21,19:00:00,Tuesday,29.32,95,12,E,No
2022-06-21,20:00:00,Tuesday,29.32,92,10,E,No
2022-06-21,21:00:00,Tuesday,29.33,89,8,SE,No
2022-06-21,22:00:00,Tuesday,29.35,85,7,S,No
2022-06-21,23:00:00,Tuesday,29.35,85,6,SE,No
