Date,Time,Weekday,BarometricPressure,Temp,WindSpeed,WindDirection,Raining
2022-07-11,00:00:00,Monday,29.16,90,9,E,No
2022-07-11,01:00:00,Monday,29.15,87,9,E,No
2022-07-11,02:00:00,Monday,29.14,86,13,E,No
2022-07-11,03:00:00,Monday,29.14,84,8,E,No
2022-07-11,04:00:00,Monday,29.14,83,9,E,No
2022-07-11,05:00:00,Monday,29.14,82,6,E,No
2022-07-11,06:00:00,Monday,29.16,81,7,E,No
2022-07-11,07:00:00,Monday,29.16,82,8,E,No
2022-07-11,08:00:00,Monday,29.16,84,8,E,No
2022-07-11,09:00:00,Monday,29.16,87,8,E,No
2022-07-11,10:00:00,Monday,29.15,92,7,VAR,No
2022-07-11,11:00:00,Monday,29.15,94,8,E,No
2022-07-11,24:00:00,Monday,29.14,96,3,VAR,No
2022-07-11,13:00:00,Monday,29.12,98,5,VAR,No
2022-07-11,14:00:00,Monday,29.10,98,9,NE,No
2022-07-11,15:00:00,Monday,29.08,101,13,NE,No
2022-07-11,16:00:00,Monday,29.07,102,12,E,No
2022-07-11,17:00:00,Monday,29.06,100,9,E,No
2022-07-11,18:00:00,Monday,29.05,100,9,NE,No
2022-07-11,19:00:00,Monday,29.05,97,6,E,No
2022-07-11,20:00:00,Monday,29.06,95,8,NE,No
2022-07-11,21:00:00,Monday,29.08,93,7,E,No
2022-07-11,22:00:00,Monday,29.12,91,8,E,No
2022-07-11,23:00:00,Monday,29.13,89,7,E,No
