Date,Time,Weekday,BarometricPressure,Temp,WindSpeed,WindDirection,Raining
2022-06-22,00:00:00,Wednesday,29.35,83,0,CALM,No
2022-06-22,01:00:00,Wednesday,29.34,82,6,S,No
2022-06-22,02:00:00,Wednesday,29.33,83,12,S,No
2022-06-22,03:00:00,Wednesday,29.33,81,8,S,No
2022-06-22,04:00:00,Wednesday,29.33,79,5,S,No
2022-06-22,05:00:00,Wednesday,29.34,79,0,CALM,No
2022-06-22,06:00:00,Wednesday,29.37,79,0,CALM,No
2022-06-22,07:00:00,Wednesday,29.38,81,0,CALM,No
2022-06-22,08:00:00,Wednesday,29.40,85,7,S,No
2022-06-22,09:00:00,Wednesday,29.39,87,7,S,No
2022-06-22,10:00:00,Wednesday,29.38,91,0,CALM,No
2022-06-22,11:00:00,Wednesday,29.38,93,5,VAR,No
2022-06-22,24:00:00,Wednesday,29.36,96,10,S,No
2022-06-22,13:00:00,Wednesday,29.34,98,10,E,No
2022-06-22,14:00:00,Wednesday,29.32,97,6,SE,No
2022-06-22,15:00:00,Wednesday,29.31,98,0,,No
2022-06-22,16:00:00,Wednesday,29.29,97,7,SE,No
2022-06-22,17:00:00,Wednesday,29.27,95,10,S,No
2022-06-22,18:00:00,Wednesday,29.26,96,14,SE,No
2022-06-22,19:00:00,Wednesday,29.26,94,9,SE,No
2022-06-22,20:00:00,Wednesday,29.27,92,9,SE,No
2022-06-22,21:00:00,Wednesday,29.27,90,8,SE,No
2022-06-22,22:00:00,Wednesday,29.29,89,7,SE,No
2022-06-22,23:00:00,Wednesday,29.29,87,5,E,No
