Date,Time,Weekday,BarometricPressure,Temp,WindSpeed,WindDirection,Raining
2022-07-14,00:00:00,Thursday,29.20,92,9,NE,No
2022-07-14,01:00:00,Thursday,29.20,91,8,E,No
2022-07-14,02:00:00,Thursday,29.21,88,7,E,No
2022-07-14,03:00:00,Thursday,29.21,85,6,SE,No
2022-07-14,04:00:00,Thursday,29.22,85,6,S,No
2022-07-14,05:00:00,Thursday,29.23,84,9,SE,No
2022-07-14,06:00:00,Thursday,29.25,82,7,S,No
2022-07-14,07:00:00,Thursday,29.25,85,8,S,No
2022-07-14,08:00:00,Thursday,29.27,89,7,S,No
2022-07-14,09:00:00,Thursday,29.27,90,8,S,No
2022-07-14,10:00:00,Thursday,29.27,96,10,SW,No
2022-07-14,11:00:00,Thursday,29.27,95,3,E,No
2022-07-14,12:00:00,Thursday,29.28,94,25,E,No
2022-07-14,12:00:00,Thursday,29.28,89,26,SE,No
2022-07-14,13:00:00,Thursday,29.28,85,14,SE,No
2022-07-14,14:00:00,Thursday,29.28,86,16,S,No
2022-07-14,15:00:00,Thursday,29.26,88,10,E,No
2022-07-14,16:00:00,Thursday,29.26,88,10,S,No
2022-07-14,17:00:00,Thursday,29.25,91,7,VAR,No
2022-07-14,18:00:00,Thursday,29.24,92,3,VAR,No
2022-07-14,19:00:00,Thursday,29.26,91,10,SE,No
2022-07-14,20:00:00,Thursday,29.28,88,10,E,No
2022-07-14,21:00:00,Thursday,29.30,84,9,SE,No
2022-07-14,22:00:00,Thursday,29.31,83,6,E,No
2022-07-14,23:00:00,Thursday,29.31,81,6,E,No
