Date,Time,Weekday,BarometricPressure,Temp,WindSpeed,WindDirection,Raining
2022-07-09,00:00:00,Saturday,29.27,90,6,N,No
2022-07-09,01:00:00,Saturday,29.27,86,5,N,No
2022-07-09,02:00:00,Saturday,29.26,84,0,CALM,No
2022-07-09,03:00:00,Saturday,29.25,84,0,CALM,No
2022-07-09,04:00:00,Saturday,29.26,82,0,CALM,No
2022-07-09,05:00:00,Saturday,29.27,81,5,N,No
2022-07-09,06:00:00,Saturday,29.29,82,9,N,No
2022-07-09,07:00:00,Saturday,29.30,85,0,CALM,No
2022-07-09,08:00:00,Saturday,29.31,89,3,NE,No
2022-07-09,09:00:00,Saturday,29.31,92,3,VAR,No
2022-07-09,10:00:00,Saturday,29.32,95,5,N,No
2022-07-09,11:00:00,Saturday,29.32,97,3,W,No
2022-07-09,12:00:00,Saturday,29.30,98,0,,No
2022-07-09,13:00:00,Saturday,29.28,102,8,NE,No
2022-07-09,14:00:00,Saturday,29.26,104,3,VAR,No
2022-07-09,15:00:00,Saturday,29.23,103,0,CALM,No
2022-07-09,16:00:00,Saturday,29.22,104,15,N,No
2022-07-09,17:00:00,Saturday,29.21,104,7,N,No
2022-07-09,18:00:00,Saturday,29.21,102,9,N,No
2022-07-09,19:00:00,Saturday,29.21,101,12,N,No
2022-07-09,20:00:00,Saturday,29.22,96,0,,No
2022-07-09,21:00:00,Saturday,29.23,90,5,W,No
2022-07-09,22:00:00,Saturday,29.24,88,0,CALM,No
2022-07-09,23:00:00,Saturday,29.26,90,8,N,No
