Date,Time,Weekday,BarometricPressure,Temp,WindSpeed,WindDirection,Raining
2022-07-08,00:00:00,Friday,29.19,86,8,S,No
2022-07-08,01:00:00,Friday,29.19,85,7,S,No
2022-07-08,02:00:00,Friday,29.19,85,9,S,No
2022-07-08,03:00:00,Friday,29.21,84,10,S,No
2022-07-08,04:00:00,Friday,29.21,83,10,S,No
2022-07-08,05:00:00,Friday,29.22,82,9,S,No
2022-07-08,06:00:00,Friday,29.24,81,9,S,No
2022-07-08,07:00:00,Friday,29.27,83,10,S,No
2022-07-08,08:00:00,Friday,29.28,86,14,S,No
2022-07-08,09:00:00,Friday,29.28,90,13,S,No
2022-07-08,10:00:00,Friday,29.28,95,13,S,No
2022-07-08,11:00:00,Friday,29.27,97,10,S,No
2022-07-08,24:00:00,Friday,29.25,100,8,S,No
2022-07-08,13:00:00,Friday,29.23,102,0,CALM,No
2022-07-08,14:00:00,Friday,29.21,103,6,E,No
2022-07-08,15:00:00,Friday,29.21,104,6,N,No
2022-07-08,16:00:00,Friday,29.19,103,5,VAR,No
2022-07-08,17:00:00,Friday,29.17,104,6,E,No
2022-07-08,18:00:00,Friday,29.17,103,13,SE,No
2022-07-08,19:00:00,Friday,29.17,100,10,E,No
2022-07-08,20:00:00,Friday,29.19,97,14,S,No
2022-07-08,21:00:00,Friday,29.21,95,10,S,No
2022-07-08,22:00:00,Friday,29.24,94,8,S,No
2022-07-08,23:00:00,Friday,29.25,91,8,S,No
