Date,Time,Weekday,BarometricPressure,Temp,WindSpeed,WindDirection,Raining
2022-07-01,00:00:00,Friday,29.22,83,14,S,No
2022-07-01,01:00:00,Friday,29.22,81,16,S,No
2022-07-01,02:00:00,Friday,29.22,79,14,S,No
2022-07-01,03:00:00,Friday,29.22,78,12,S,No
2022-07-01,04:00:00,Friday,29.23,75,8,S,No
2022-07-01,05:00:00,Friday,29.23,74,6,S,No
2022-07-01,06:00:00,Friday,29.23,73,6,S,No
2022-07-01,07:00:00,Friday,29.24,76,8,S,No
2022-07-01,08:00:00,Friday,29.24,79,6,S,No
2022-07-01,09:00:00,Friday,29.25,82,6,S,No
2022-07-01,10:00:00,Friday,29.25,85,7,SE,No
2022-07-01,11:00:00,Friday,29.24,87,0,,No
2022-07-01,12:00:00,Friday,29.23,90,8,E,No
2022-07-01,13:00:00,Friday,29.20,94,13,E,No
2022-07-01,14:00:00,Friday,29.18,96,10,E,No
2022-07-01,15:00:00,Friday,29.16,96,0,,No
2022-07-01,16:00:00,Friday,29.15,95,9,E,No
2022-07-01,17:00:00,Friday,29.13,94,6,VAR,No
2022-07-01,18:00:00,Friday,29.12,93,14,E,No
2022-07-01,19:00:00,Friday,29.11,92,10,E,No
2022-07-01,20:00:00,Friday,29.12,90,9,E,No
2022-07-01,21:00:00,Friday,29.14,88,12,E,No
2022-07-01,22:00:00,Friday,29.16,85,12,S,No
2022-07-01,23:00:00,Friday,29.18,84,12,S,No
