Date,Time,Weekday,BarometricPressure,Temp,WindSpeed,WindDirection,Raining
2022-06-27,00:00:00,Monday,29.40,80,17,N,No
2022-06-27,01:00:00,Monday,29.41,78,16,N,No
2022-06-27,02:00:00,Monday,29.40,75,13,N,No
2022-06-27,03:00:00,Monday,29.40,74,12,N,No
2022-06-27,04:00:00,Monday,29.41,72,13,N,No
2022-06-27,05:00:00,Monday,29.41,72,10,N,No
2022-06-27,06:00:00,Monday,29.43,72,10,N,No
2022-06-27,07:00:00,Monday,29.44,73,12,N,No
2022-06-27,08:00:00,Monday,29.45,76,8,N,No
2022-06-27,09:00:00,Monday,29.46,80,9,N,No
2022-06-27,10:00:00,Monday,29.46,84,10,N,No
2022-06-27,11:00:00,Monday,29.44,85,7,N,No
2022-06-27,24:00:00,Monday,29.43,89,12,N,No
2022-06-27,13:00:00,Monday,29.41,89,10,NE,No
2022-06-27,14:00:00,Monday,29.39,91,8,E,No
2022-06-27,15:00:00,Monday,29.36,93,10,E,No
2022-06-27,16:00:00,Monday,29.33,91,12,NE,No
2022-06-27,17:00:00,Monday,29.32,91,15,NE,No
2022-06-27,18:00:00,Monday,29.32,90,15,N,No
2022-06-27,19:00:00,Monday,29.32,87,14,NE,No
2022-06-27,20:00:00,Monday,29.33,85,13,NE,No
2022-06-27,21:00:00,Monday,29.36,84,10,NE,No
2022-06-27,22:00:00,Monday,29.39,83,12,NE,No
2022-06-27,23:00:00,Monday,29.41,82,12,E,No
