Date,Time,Weekday,BarometricPressure,Temp,WindSpeed,WindDirection,Raining
2022-07-22,23:00:00,Friday,29.98,84.92,14.99,SE,No
2022-07-22,22:00:00,Friday,29.97,87.08,13.87,SE,No
2022-07-22,21:00:00,Friday,29.96,87.98,12.75,SE,No
2022-07-22,20:00:00,Friday,29.95,91.94,19.69,SE,No
2022-07-22,19:00:00,Friday,29.92,95.0,17.23,SE,No
2022-07-22,18:00:00,Friday,29.91,96.98,17.23,E,No
2022-07-22,17:00:00,Friday,29.91,98.06,13.87,E,No
2022-07-22,16:00:00,Friday,29.92,96.98,16.11,SE,No
2022-07-22,15:00:00,Friday,29.94,98.06,12.75,SE,No
2022-07-22,15:00:00,Friday,NA,NA,NA,NA,No
2022-07-22,14:00:00,Friday,29.95,100.04,8.05,SE,No
2022-07-22,13:00:00,Friday,29.97,100.04,10.29,S,No
2022-07-22,12:00:00,Friday,29.99,100.04,11.41,S,No
2022-07-22,11:00:00,Friday,30.0,98.06,11.41,SW,No
2022-07-22,10:00:00,Friday,NA,NA,NA,NA,No
2022-07-22,09:00:00,Friday,30.0,91.94,9.17,S,No
2022-07-22,08:00:00,Friday,30.0,87.98,10.29,S,No
2022-07-22,07:00:00,Friday,29.98,84.92,8.05,S,No
2022-07-22,06:00:00,Friday,29.96,82.94,6.94,S,No
2022-07-22,05:00:00,Friday,29.94,84.02,8.05,S,No
2022-07-22,04:00:00,Friday,29.94,84.02,9.17,SE,No
2022-07-22,03:00:00,Friday,29.94,84.02,9.17,SE,No
2022-07-22,02:00:00,Friday,29.94,86.0,10.29,E,No
2022-07-22,01:00:00,Friday,29.94,87.08,9.17,E,No
2022-07-22,00:00:00,Friday,29.94,89.06,14.99,E,No
