HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline,Weekday,BarometricPressure,Temp,WindSpeed,WindDirection,Raining
A4D7E4,2022-07-11,20:01:12,NA,21050,420,,NA,Tuesday,29.12,95,9,E,No
A73B7E,2022-07-11,20:01:12,SWA2982,39000,462,2713,SWA,Tuesday,29.12,95,9,E,No
ABC292,2022-07-11,20:01:14,AAL2375,7625,296,2205,AAL,Tuesday,29.12,95,9,E,No
AA1219,2022-07-11,20:01:19,NA,6625,,,NA,Tuesday,29.12,95,9,E,No
A32844,2022-07-11,20:01:19,NA,12550,,,NA,Tuesday,29.12,95,9,E,No
A56A18,2022-07-11,20:01:26,UAL2206,33225,453,2532,UAL,Tuesday,29.12,95,9,E,No
A494C5,2022-07-11,20:01:36,UAL1435,35000,488,,UAL,Tuesday,29.12,95,9,E,No
A0DE31,2022-07-11,20:01:44,EJA155,41000,493,,EJA,Tuesday,29.12,95,9,E,No
AAE960,2022-07-11,20:02:31,AAL1865,8250,208,2241,AAL,Tuesday,29.12,95,9,E,No
AC7F3E,2022-07-11,20:02:40,NKS3163,11550,269,3314,NKS,Tuesday,29.12,95,9,E,No
A7D630,2022-07-11,20:02:47,AAL1422,7250,295,2231,AAL,Tuesday,29.12,95,9,E,No
A24B0A,2022-07-11,20:03:21,ASH5693,2200,280,2370,ASH,Tuesday,29.12,95,9,E,No
AD7BDF,2022-07-11,20:04:02,SWA3152,13825,415,2324,SWA,Tuesday,29.12,95,9,E,No
AD7ECE,2022-07-11,20:04:12,AAL2597,2250,219,2314,AAL,Tuesday,29.12,95,9,E,No
A344C5,2022-07-11,20:04:13,GTX889,4700,175,5231,GTX,Tuesday,29.12,95,9,E,No
AB53F5,2022-07-11,20:04:19,NA,2850,202,523,NA,Tuesday,29.12,95,9,E,No
06A129,2022-07-11,20:04:32,QTR22G,6175,290,2326,QTR,Tuesday,29.12,95,9,E,No
AA01DE,2022-07-11,20:05:09,SKW3230,7850,283,5223,SKW,Tuesday,29.12,95,9,E,No
C080AE,2022-07-11,20:05:18,WJA1535,36000,439,7252,WJA,Tuesday,29.12,95,9,E,No
A4D011,2022-07-11,20:05:28,SWA2822,34000,461,1776,SWA,Tuesday,29.12,95,9,E,No
AC81D2,2022-07-11,20:05:45,AAL1758,8475,284,3475,AAL,Tuesday,29.12,95,9,E,No
A5FC42,2022-07-11,20:05:55,GTI8102,2425,203,540,GTI,Tuesday,29.12,95,9,E,No
A7C4BB,2022-07-11,20:06:34,N6YH,1275,103,1200,Private,Tuesday,29.12,95,9,E,No
AC97E1,2022-07-11,20:07:47,NKS813,12125,271,524,NKS,Tuesday,29.12,95,9,E,No
ABDEEC,2022-07-11,20:07:52,AAL1482,2250,210,2357,AAL,Tuesday,29.12,95,9,E,No
ACD1F6,2022-07-11,20:08:31,AAL2753,2550,306,3611,AAL,Tuesday,29.12,95,9,E,No
AC7E09,2022-07-11,20:08:57,AAL2254,2400,192,2337,AAL,Tuesday,29.12,95,9,E,No
A99DF4,2022-07-11,20:09:02,SKW3202,12025,267,2574,SKW,Tuesday,29.12,95,9,E,No
A4AEA2,2022-07-11,20:09:05,NA,14650,,,NA,Tuesday,29.12,95,9,E,No
A89915,2022-07-11,20:09:46,NA,2200,200,2374,NA,Tuesday,29.12,95,9,E,No
AE6A12,2022-07-11,20:09:53,OTIS14,7625,221,,OTIS,Tuesday,29.12,95,9,E,No
AAE73B,2022-07-11,20:09:53,SCX626,37000,460,2773,SCX,Tuesday,29.12,95,9,E,No
A720EB,2022-07-11,20:10:11,ASA703,2275,214,555,ASA,Tuesday,29.12,95,9,E,No
AB79DE,2022-07-11,20:11:46,AAL2583,2250,209,3607,AAL,Tuesday,29.12,95,9,E,No
