HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline,Weekday,BarometricPressure,Temp,WindSpeed,WindDirection,Raining
ADD66D,2022-06-28,20:01:34,AAL1771,11425,349,2256,AAL,Wednesday,29.32,88,7,E,No
A6E4E8,2022-06-28,20:01:34,AAL584,7475,272,2302,AAL,Wednesday,29.32,88,7,E,No
A0CBF4,2022-06-28,20:01:35,N150UC,900,67,,Private,Wednesday,29.32,88,7,E,No
A74679,2022-06-28,20:01:36,AAL1781,11875,271,7404,AAL,Wednesday,29.32,88,7,E,No
A83787,2022-06-28,20:01:36,UAL1435,35000,476,,UAL,Wednesday,29.32,88,7,E,No
AC1190,2022-06-28,20:01:36,AAL2698,8525,281,577,AAL,Wednesday,29.32,88,7,E,No
A7D6B1,2022-06-28,20:01:37,NA,3900,104,,NA,Wednesday,29.32,88,7,E,No
A615D0,2022-06-28,20:01:39,SWA2601,37000,486,4141,SWA,Wednesday,29.32,88,7,E,No
A3C5EA,2022-06-28,20:01:41,DAL2482,35000,489,,DAL,Wednesday,29.32,88,7,E,No
A3696E,2022-06-28,20:01:41,DAL2587,37000,449,,DAL,Wednesday,29.32,88,7,E,No
AA5B92,2022-06-28,20:01:51,NA,7875,293,,NA,Wednesday,29.32,88,7,E,No
A2B2DA,2022-06-28,20:01:52,ENY3698,10375,338,3631,ENY,Wednesday,29.32,88,7,E,No
ACCA85,2022-06-28,20:01:53,NKS1857,7525,196,2271,NKS,Wednesday,29.32,88,7,E,No
A09FDA,2022-06-28,20:01:58,N1396R,1675,88,,Private,Wednesday,29.32,88,7,E,No
ACAEC8,2022-06-28,20:02:14,AAL1777,2200,188,6235,AAL,Wednesday,29.32,88,7,E,No
A3B86C,2022-06-28,20:02:15,NA,35000,,,NA,Wednesday,29.32,88,7,E,No
AA2E36,2022-06-28,20:02:34,SKW3077,7950,271,3651,SKW,Wednesday,29.32,88,7,E,No
ACDDE3,2022-06-28,20:02:39,SWA439,38000,441,,SWA,Wednesday,29.32,88,7,E,No
AD1C11,2022-06-28,20:03:03,AAL2587,11225,366,,AAL,Wednesday,29.32,88,7,E,No
A1EE27,2022-06-28,20:03:03,SWA3152,19325,403,2221,SWA,Wednesday,29.32,88,7,E,No
A4CA6A,2022-06-28,20:03:14,ASA703,2175,214,6211,ASA,Wednesday,29.32,88,7,E,No
A344C5,2022-06-28,20:03:25,GTX889,3300,178,5175,GTX,Wednesday,29.32,88,7,E,No
A0B580,2022-06-28,20:04:36,N145CL,1875,128,1200,Private,Wednesday,29.32,88,7,E,No
A336DF,2022-06-28,20:04:59,AAL2597,2100,213,547,AAL,Wednesday,29.32,88,7,E,No
AAD981,2022-06-28,20:05:25,AAL997,2075,206,,AAL,Wednesday,29.32,88,7,E,No
A399AC,2022-06-28,20:05:57,EJM31,5850,272,,EJM,Wednesday,29.32,88,7,E,No
AB8D84,2022-06-28,20:06:08,N8431L,1500,98,,Private,Wednesday,29.32,88,7,E,No
A657BF,2022-06-28,20:06:09,NA,12825,378,,NA,Wednesday,29.32,88,7,E,No
A4D7E4,2022-06-28,20:07:05,AAL646,2250,211,2217,AAL,Wednesday,29.32,88,7,E,No
ACCD13,2022-06-28,20:07:10,AAL364,2200,213,6206,AAL,Wednesday,29.32,88,7,E,No
A258B7,2022-06-28,20:08:23,NA,1875,362,,NA,Wednesday,29.32,88,7,E,No
A0522B,2022-06-28,20:08:25,N12JK   ,,,,Private,Wednesday,29.32,88,7,E,No
ACB8A0,2022-06-28,20:09:15,ASH5871,11425,265,7402,ASH,Wednesday,29.32,88,7,E,No
A82DBD,2022-06-28,20:10:14,NKS1814,2200,187,6231,NKS,Wednesday,29.32,88,7,E,No
A992CF,2022-06-28,20:10:47,SKW3202,11875,267,2750,SKW,Wednesday,29.32,88,7,E,No
A001ED,2022-06-28,20:10:47,N1VR,39000,471,,Private,Wednesday,29.32,88,7,E,No
AA0701,2022-06-28,20:11:06,AAL2426,2375,200,2315,AAL,Wednesday,29.32,88,7,E,No
AB3D39,2022-06-28,20:11:47,AAL2806,9000,290,,AAL,Wednesday,29.32,88,7,E,No
A3F8B8,2022-06-28,20:11:50,AAL1582,2075,194,2461,AAL,Wednesday,29.32,88,7,E,No
A1B0E7,2022-06-28,20:12:27,MRA666,4900,159,,MRA,Wednesday,29.32,88,7,E,No
AB44A7,2022-06-28,20:12:53,AAL1080,11800,266,7323,AAL,Wednesday,29.32,88,7,E,No
ABF78F,2022-06-28,20:13:34,AAL2515,2125,210,,AAL,Wednesday,29.32,88,7,E,No
A85F29,2022-06-28,20:13:59,UAL1475,37000,464,2772,UAL,Wednesday,29.32,88,7,E,No
ACF50B,2022-06-28,20:14:49,ASH5887,2225,194,6254,ASH,Wednesday,29.32,88,7,E,No
A48356,2022-06-28,20:14:58,FFT2300,2075,189,6205,FFT,Wednesday,29.32,88,7,E,No
A97675,2022-06-28,20:15:15,SKW3197,7125,280,5241,SKW,Wednesday,29.32,88,7,E,No
AC24C5,2022-06-28,20:16:15,SWA1266,10275,302,,SWA,Wednesday,29.32,88,7,E,No
ACE6B3,2022-06-28,20:16:26,ASH5855,11175,257,3153,ASH,Wednesday,29.32,88,7,E,No
AA7315,2022-06-28,20:16:27,SWA1707,16175,388,537,SWA,Wednesday,29.32,88,7,E,No
A08663,2022-06-28,20:16:52,AAL2254,2275,198,556,AAL,Wednesday,29.32,88,7,E,No
A97626,2022-06-28,20:17:12,SKW4782,29000,403,7306,SKW,Wednesday,29.32,88,7,E,No
AA96BE,2022-06-28,20:17:45,SWA3019,2275,193,5271,SWA,Wednesday,29.32,88,7,E,No
A2E57E,2022-06-28,20:17:55,ENY4193,11875,261,2567,ENY,Wednesday,29.32,88,7,E,No
A53774,2022-06-28,20:18:35,NA,7800,282,,NA,Wednesday,29.32,88,7,E,No
A66A84,2022-06-28,20:18:50,SKW6269,32000,422,2526,SKW,Wednesday,29.32,88,7,E,No
A46345,2022-06-28,20:19:03,FFT1962,35025,485,1311,FFT,Wednesday,29.32,88,7,E,No
A10E46,2022-06-28,20:19:06,UAL1852,34000,463,2511,UAL,Wednesday,29.32,88,7,E,No
A7D7B5,2022-06-28,20:19:25,SKW3171,13525,307,7440,SKW,Wednesday,29.32,88,7,E,No
A30657,2022-06-28,20:20:21,SWA2982,25000,473,,SWA,Wednesday,29.32,88,7,E,No
A0CE68,2022-06-28,20:20:52,FDX3258,3850,263,,FDX,Wednesday,29.32,88,7,E,No
A4AD57,2022-06-28,20:20:59,N400HG,45000,466,,Private,Wednesday,29.32,88,7,E,No
ADC313,2022-06-28,20:21:04,NA,,431,,NA,Wednesday,29.32,88,7,E,No
A09188,2022-06-28,20:21:16,AAL681,11900,269,6163,AAL,Wednesday,29.32,88,7,E,No
