HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline,Weekday,BarometricPressure,Temp,WindSpeed,WindDirection,Raining
A571AC,2022-06-22,20:01:45,N45VP,25000,258,545,Private,Thursday,29.12,95,10,SE,No
A3FBA4,2022-06-22,20:01:45,FFT758,37000,445,2777,FFT,Thursday,29.12,95,10,SE,No
ADF194,2022-06-22,20:01:45,AAL2698,11200,331,2342,AAL,Thursday,29.12,95,10,SE,No
ACA01A,2022-06-22,20:01:46,SWA2982,37025,456,616,SWA,Thursday,29.12,95,10,SE,No
A0D561,2022-06-22,20:01:47,AAL1545,31000,468,1660,AAL,Thursday,29.12,95,10,SE,No
A42665,2022-06-22,20:01:52,NA,23750,438,,NA,Thursday,29.12,95,10,SE,No
AA720F,2022-06-22,20:01:55,SKW3202,9775,291,7472,SKW,Thursday,29.12,95,10,SE,No
A8A986,2022-06-22,20:01:57,GTX889,4500,182,,GTX,Thursday,29.12,95,10,SE,No
A3B796,2022-06-22,20:01:58,DAL892,34000,484,,DAL,Thursday,29.12,95,10,SE,No
A1EF65,2022-06-22,20:02:00,N2236W,1900,100,6206,Private,Thursday,29.12,95,10,SE,No
AA159E,2022-06-22,20:02:03,NA,10525,302,,NA,Thursday,29.12,95,10,SE,No
AA6E81,2022-06-22,20:02:19,NA,38000,,,NA,Thursday,29.12,95,10,SE,No
A0CD81,2022-06-22,20:02:24,N1507E,1200,90,,Private,Thursday,29.12,95,10,SE,No
A5E8FF,2022-06-22,20:02:31,N48OEB,31000,278,640,Private,Thursday,29.12,95,10,SE,No
A05F37,2022-06-22,20:02:36,DAL1450,3450,394,,DAL,Thursday,29.12,95,10,SE,No
A5CA89,2022-06-22,20:02:44,SWA1707,17050,386,3670,SWA,Thursday,29.12,95,10,SE,No
A8BBBC,2022-06-22,20:02:46,AAL303,2275,194,526,AAL,Thursday,29.12,95,10,SE,No
A264A4,2022-06-22,20:02:54,SWA2579,19850,218,,SWA,Thursday,29.12,95,10,SE,No
A03618,2022-06-22,20:03:16,UAL593,35000,475,,UAL,Thursday,29.12,95,10,SE,No
