HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline,Weekday,BarometricPressure,Temp,WindSpeed,WindDirection,Raining
AD35E0,2022-07-10,20:01:28,AAL541,11475,276,7056,AAL,Monday,29.06,95,8,NE,No
A05776,2022-07-10,20:01:28,AAL2837,8850,285,6204,AAL,Monday,29.06,95,8,NE,No
A3AE31,2022-07-10,20:01:28,N336XL,13750,324,,Private,Monday,29.06,95,8,NE,No
A9238A,2022-07-10,20:01:28,UAL1976,30700,476,4010,UAL,Monday,29.06,95,8,NE,No
A2AF23,2022-07-10,20:01:28,NA,12850,355,,NA,Monday,29.06,95,8,NE,No
ABB68C,2022-07-10,20:01:28,DAL1010,35000,481,,DAL,Monday,29.06,95,8,NE,No
A9B402,2022-07-10,20:01:28,SKW3077,11100,347,6211,SKW,Monday,29.06,95,8,NE,No
A690C6,2022-07-10,20:01:28,N522EF,3825,156,,Private,Monday,29.06,95,8,NE,No
A7D751,2022-07-10,20:01:29,NA,18775,416,,NA,Monday,29.06,95,8,NE,No
A2FA6A,2022-07-10,20:01:49,ENY3566,35000,464,2506,ENY,Monday,29.06,95,8,NE,No
AA5D60,2022-07-10,20:01:50,AAL1865,17400,397,1105,AAL,Monday,29.06,95,8,NE,No
A8AAA5,2022-07-10,20:01:56,SKW3121,12075,272,1653,SKW,Monday,29.06,95,8,NE,No
A0B199,2022-07-10,20:02:18,AAL1243,5075,258,,AAL,Monday,29.06,95,8,NE,No
AAE28A,2022-07-10,20:02:53,NA,2750,118,,NA,Monday,29.06,95,8,NE,No
A59B9C,2022-07-10,20:03:09,SWA3152,6075,273,2304,SWA,Monday,29.06,95,8,NE,No
A5198F,2022-07-10,20:03:11,NA,2050,134,,NA,Monday,29.06,95,8,NE,No
A1C534,2022-07-10,20:03:33,FFT505,6425,283,,FFT,Monday,29.06,95,8,NE,No
A209B9,2022-07-10,20:04:08,ENY3698,5100,290,,ENY,Monday,29.06,95,8,NE,No
A953F0,2022-07-10,20:04:20,NA,,162,,NA,Monday,29.06,95,8,NE,No
AC1068,2022-07-10,20:05:01,NA,,436,,NA,Monday,29.06,95,8,NE,No
A5D012,2022-07-10,20:05:41,NA,6050,253,,NA,Monday,29.06,95,8,NE,No
A32ACF,2022-07-10,20:05:53,NA,10850,392,,NA,Monday,29.06,95,8,NE,No
A3649A,2022-07-10,20:05:59,ASA703,5750,286,6222,ASA,Monday,29.06,95,8,NE,No
