HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline,Weekday,BarometricPressure,Temp,WindSpeed,WindDirection,Raining
A6E667,2022-06-29,20:01:41,N5437J,4200,88,5202,Private,Thursday,29.16,92,10,E,No
A07177,2022-06-29,20:01:41,NA,31950,433,,NA,Thursday,29.16,92,10,E,No
AB686F,2022-06-29,20:01:41,AAL2698,15750,376,2342,AAL,Thursday,29.16,92,10,E,No
A95D96,2022-06-29,20:01:41,SKW3077,10525,311,3673,SKW,Thursday,29.16,92,10,E,No
AC8577,2022-06-29,20:01:41,AAL1368,12550,334,2632,AAL,Thursday,29.16,92,10,E,No
A2A686,2022-06-29,20:01:41,ASA703,7625,289,3456,ASA,Thursday,29.16,92,10,E,No
A9D07B,2022-06-29,20:01:41,N731TR,22975,349,2215,Private,Thursday,29.16,92,10,E,No
AE5F09,2022-06-29,20:01:41,ROPER62,4600,167,,ROPER,Thursday,29.16,92,10,E,No
A445CD,2022-06-29,20:01:42,NA,34000,447,7224,NA,Thursday,29.16,92,10,E,No
ABE075,2022-06-29,20:01:42,SWA1916,35975,452,,SWA,Thursday,29.16,92,10,E,No
AA6ADE,2022-06-29,20:01:43,AAL1371,5650,187,3663,AAL,Thursday,29.16,92,10,E,No
AA7734,2022-06-29,20:01:45,NA,10175,301,,NA,Thursday,29.16,92,10,E,No
A344C5,2022-06-29,20:01:53,GTX889,4300,180,,GTX,Thursday,29.16,92,10,E,No
AD8CEC,2022-06-29,20:01:54,AAL810,2200,214,3414,AAL,Thursday,29.16,92,10,E,No
AA0D4A,2022-06-29,20:02:03,NA,18275,345,,NA,Thursday,29.16,92,10,E,No
AC4DFB,2022-06-29,20:02:15,AAL2078,8875,281,2251,AAL,Thursday,29.16,92,10,E,No
A079FC,2022-06-29,20:02:18,N13MS,40000,513,,Private,Thursday,29.16,92,10,E,No
A3A8BA,2022-06-29,20:02:23,DAL1450,2300,191,,DAL,Thursday,29.16,92,10,E,No
06A12E,2022-06-29,20:02:31,QTR22G,6700,287,,QTR,Thursday,29.16,92,10,E,No
ABB94F,2022-06-29,20:03:02,NA,,,,NA,Thursday,29.16,92,10,E,No
AC0DD9,2022-06-29,20:03:09,AAL2737,11150,275,2577,AAL,Thursday,29.16,92,10,E,No
ADBEF0,2022-06-29,20:03:15,AAL1578,7825,286,3651,AAL,Thursday,29.16,92,10,E,No
A213BD,2022-06-29,20:03:21,NA,,438,,NA,Thursday,29.16,92,10,E,No
A7D9D9,2022-06-29,20:04:01,TN605AG,7450,290,,TN,Thursday,29.16,92,10,E,No
A98B7B,2022-06-29,20:04:08,N714FW,3400,58,,Private,Thursday,29.16,92,10,E,No
A385BE,2022-06-29,20:04:28,ASH5751,12775,322,5216,ASH,Thursday,29.16,92,10,E,No
AC006D,2022-06-29,20:04:47,NA,11425,,,NA,Thursday,29.16,92,10,E,No
A1A218,2022-06-29,20:05:16,ENY3555,10550,332,,ENY,Thursday,29.16,92,10,E,No
A8C0F0,2022-06-29,20:05:35,SIS63,14300,322,2514,SIS,Thursday,29.16,92,10,E,No
A0E431,2022-06-29,20:06:16,AAL2254,2250,187,2272,AAL,Thursday,29.16,92,10,E,No
A6049B,2022-06-29,20:06:22,SWA3001,38000,433,,SWA,Thursday,29.16,92,10,E,No
AA31ED,2022-06-29,20:06:24,SKW3288,11225,271,5672,SKW,Thursday,29.16,92,10,E,No
A83673,2022-06-29,20:07:17,N6281C,1300,99,,Private,Thursday,29.16,92,10,E,No
AA3518,2022-06-29,20:07:28,SWA2982,38975,459,6551,SWA,Thursday,29.16,92,10,E,No
AA55B5,2022-06-29,20:07:30,SKW3202,11875,282,2407,SKW,Thursday,29.16,92,10,E,No
AB8FEE,2022-06-29,20:07:39,AAL2432,14325,402,3273,AAL,Thursday,29.16,92,10,E,No
ACB4E9,2022-06-29,20:08:16,ASH5887,2225,297,3472,ASH,Thursday,29.16,92,10,E,No
A1AC11,2022-06-29,20:08:22,ENY3771,2100,198,,ENY,Thursday,29.16,92,10,E,No
AAA875,2022-06-29,20:08:24,SWA2822,34000,449,1774,SWA,Thursday,29.16,92,10,E,No
A53B69,2022-06-29,20:08:32,SWA1707,11675,355,3477,SWA,Thursday,29.16,92,10,E,No
AA25A6,2022-06-29,20:08:44,SKW3171,14050,345,2510,SKW,Thursday,29.16,92,10,E,No
AD285F,2022-06-29,20:09:13,NKS1017,11025,271,6111,NKS,Thursday,29.16,92,10,E,No
ABF308,2022-06-29,20:09:17,SWA2163,5875,282,2261,SWA,Thursday,29.16,92,10,E,No
AC791D,2022-06-29,20:09:58,AAL1123,2250,181,,AAL,Thursday,29.16,92,10,E,No
AC667A,2022-06-29,20:10:15,N89878,1900,82,,Private,Thursday,29.16,92,10,E,No
ADB3CB,2022-06-29,20:11:30,AAL2520,2125,219,2343,AAL,Thursday,29.16,92,10,E,No
A20C44,2022-06-29,20:11:56,ENY4193,14725,343,2304,ENY,Thursday,29.16,92,10,E,No
A7FC7F,2022-06-29,20:11:56,NA,,295,,NA,Thursday,29.16,92,10,E,No
A87CA9,2022-06-29,20:12:27,N646MS,1400,91,1200,Private,Thursday,29.16,92,10,E,No
AA0AAB,2022-06-29,20:13:59,AAL1618,9375,290,,AAL,Thursday,29.16,92,10,E,No
AB1644,2022-06-29,20:14:20,UAL1220,35025,474,2742,UAL,Thursday,29.16,92,10,E,No
A7D630,2022-06-29,20:14:41,AAL1050,2125,208,555,AAL,Thursday,29.16,92,10,E,No
AD7634,2022-06-29,20:14:56,AAL2515,2125,197,,AAL,Thursday,29.16,92,10,E,No
A0ACFF,2022-06-29,20:15:06,UAL593,37000,475,6547,UAL,Thursday,29.16,92,10,E,No
AB6EB9,2022-06-29,20:15:57,NA,8325,292,,NA,Thursday,29.16,92,10,E,No
A196C8,2022-06-29,20:16:17,SWA985,4850,269,574,SWA,Thursday,29.16,92,10,E,No
AB40F0,2022-06-29,20:16:57,AAL1482,2025,208,6213,AAL,Thursday,29.16,92,10,E,No
A18403,2022-06-29,20:17:36,NA,9125,290,,NA,Thursday,29.16,92,10,E,No
AC5312,2022-06-29,20:17:48,ASH6180,34000,451,4066,ASH,Thursday,29.16,92,10,E,No
A59608,2022-06-29,20:18:01,NA,3900,,,NA,Thursday,29.16,92,10,E,No
ABE7C5,2022-06-29,20:19:11,NA,11700,,,NA,Thursday,29.16,92,10,E,No
AD44B9,2022-06-29,20:19:44,NA,37000,,,NA,Thursday,29.16,92,10,E,No
A58672,2022-06-29,20:19:47,NA,7850,291,,NA,Thursday,29.16,92,10,E,No
AE1251,2022-06-29,20:20:01,CNV835,2775,218,,CNV,Thursday,29.16,92,10,E,No
A098F6,2022-06-29,20:20:17,AAL695,10525,297,6627,AAL,Thursday,29.16,92,10,E,No
AC9F4F,2022-06-29,20:21:43,NKS813,11400,276,2175,NKS,Thursday,29.16,92,10,E,No
A2E78B,2022-06-29,20:21:44,N28663,2400,103,,Private,Thursday,29.16,92,10,E,No
AD5817,2022-06-29,20:21:45,SWA2601,37000,467,2610,SWA,Thursday,29.16,92,10,E,No
ABE475,2022-06-29,20:22:48,NA,11000,322,,NA,Thursday,29.16,92,10,E,No
ADA64D,2022-06-29,20:22:55,AAL1467,14300,355,3214,AAL,Thursday,29.16,92,10,E,No
ACE48D,2022-06-29,20:24:01,NA,2625,230,,NA,Thursday,29.16,92,10,E,No
AD4747,2022-06-29,20:24:07,NA,2150,214,,NA,Thursday,29.16,92,10,E,No
A9614D,2022-06-29,20:24:12,SKW9898,2825,224,6265,SKW,Thursday,29.16,92,10,E,No
AD493B,2022-06-29,20:24:36,NA,10600,300,,NA,Thursday,29.16,92,10,E,No
AD1D0E,2022-06-29,20:25:00,ASH5871,11600,302,2363,ASH,Thursday,29.16,92,10,E,No
AD4C96,2022-06-29,20:25:43,SKW4782,30000,430,7361,SKW,Thursday,29.16,92,10,E,No
A4380F,2022-06-29,20:25:58,FFT758,37000,472,6543,FFT,Thursday,29.16,92,10,E,No
A7865A,2022-06-29,20:26:20,NA,2400,121,,NA,Thursday,29.16,92,10,E,No
A09188,2022-06-29,20:26:20,AAL2747,8650,290,5250,AAL,Thursday,29.16,92,10,E,No
A1E3B4,2022-06-29,20:26:28,N2202W,2600,91,,Private,Thursday,29.16,92,10,E,No
A695EA,2022-06-29,20:27:38,AAL556,2450,192,2376,AAL,Thursday,29.16,92,10,E,No
A0A2BD,2022-06-29,20:27:52,AAL681,10900,269,6152,AAL,Thursday,29.16,92,10,E,No
AD6B0F,2022-06-29,20:29:04,AAL1080,14300,361,2214,AAL,Thursday,29.16,92,10,E,No
A7B034,2022-06-29,20:29:39,NA,10275,231,,NA,Thursday,29.16,92,10,E,No
A11FE7,2022-06-29,20:29:48,UCA4834,28000,327,2731,UCA,Thursday,29.16,92,10,E,No
AC59AA,2022-06-29,20:30:16,UAL2005,2150,207,2310,UAL,Thursday,29.16,92,10,E,No
A5531B,2022-06-29,20:30:21,NA,40000,475,,NA,Thursday,29.16,92,10,E,No
A356DB,2022-06-29,20:30:49,NA,8425,290,,NA,Thursday,29.16,92,10,E,No
A96F07,2022-06-29,20:32:16,SKW3252,12750,319,2553,SKW,Thursday,29.16,92,10,E,No
A7DF59,2022-06-29,20:32:38,UPS751,2050,190,530,UPS,Thursday,29.16,92,10,E,No
A292C9,2022-06-29,20:33:06,ENY4177,14125,337,5267,ENY,Thursday,29.16,92,10,E,No
A1B0E7,2022-06-29,20:33:51,MRA666,4900,157,,MRA,Thursday,29.16,92,10,E,No
A0ACDD,2022-06-29,20:34:19,UAL1673,36000,449,4010,UAL,Thursday,29.16,92,10,E,No
AA55BD,2022-06-29,20:35:12,NA,8675,289,,NA,Thursday,29.16,92,10,E,No
AA0DE7,2022-06-29,20:36:02,NA,3300,105,,NA,Thursday,29.16,92,10,E,No
A12625,2022-06-29,20:36:38,AAL403,2175,200,2253,AAL,Thursday,29.16,92,10,E,No
AAE28A,2022-06-29,20:36:57,N800GY,2400,108,,Private,Thursday,29.16,92,10,E,No
AB19DF,2022-06-29,20:37:22,SCX506,11675,279,6125,SCX,Thursday,29.16,92,10,E,No
A8C9A1,2022-06-29,20:37:24,NA,3150,151,,NA,Thursday,29.16,92,10,E,No
A4064D,2022-06-29,20:37:30,XSR359,2375,184,5133,XSR,Thursday,29.16,92,10,E,No
A97C4F,2022-06-29,20:37:42,N710CR,16875,377,5223,Private,Thursday,29.16,92,10,E,No
A76134,2022-06-29,20:38:53,N575CF,3900,222,,Private,Thursday,29.16,92,10,E,No
A9B4DE,2022-06-29,20:40:03,NA,36900,,,NA,Thursday,29.16,92,10,E,No
ABB537,2022-06-29,20:40:17,NA,,,,NA,Thursday,29.16,92,10,E,No
A63A32,2022-06-29,20:40:37,N500CR,1600,136,,Private,Thursday,29.16,92,10,E,No
AA7ABD,2022-06-29,20:41:05,UAL1759,34000,448,7220,UAL,Thursday,29.16,92,10,E,No
A01EBA,2022-06-29,20:41:30,N107AE,2275,118,,Private,Thursday,29.16,92,10,E,No
AB2E55,2022-06-29,20:41:43,N81981,2900,90,,Private,Thursday,29.16,92,10,E,No
4BB18D,2022-06-29,20:42:04,THY7LK,2000,209,2201,THY,Thursday,29.16,92,10,E,No
A33327,2022-06-29,20:42:14,AAL2406,10325,301,,AAL,Thursday,29.16,92,10,E,No
A59E68,2022-06-29,20:42:34,NA,4875,261,,NA,Thursday,29.16,92,10,E,No
AACAA5,2022-06-29,20:43:18,AAL997,2125,201,,AAL,Thursday,29.16,92,10,E,No
A1F1DE,2022-06-29,20:43:25,SWA3015,37000,478,7374,SWA,Thursday,29.16,92,10,E,No
A55B50,2022-06-29,20:43:50,AAL1241,2075,202,505,AAL,Thursday,29.16,92,10,E,No
A5714C,2022-06-29,20:44:17,N45RT,7550,289,,Private,Thursday,29.16,92,10,E,No
AA7DAD,2022-06-29,20:45:07,AAL9784,2550,181,3464,AAL,Thursday,29.16,92,10,E,No
ADB29F,2022-06-29,20:45:08,NA,2250,203,,NA,Thursday,29.16,92,10,E,No
