HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline,Weekday,BarometricPressure,Temp,WindSpeed,WindDirection,Raining
A20C44,2022-06-23,20:01:40,NA,34975,439,,NA,Friday,29.11,94,13,S,No
A58103,2022-06-23,20:01:40,AAL453,34000,493,,AAL,Friday,29.11,94,13,S,No
AC769B,2022-06-23,20:01:40,AAL2697,7200,283,3674,AAL,Friday,29.11,94,13,S,No
ACE5BC,2022-06-23,20:01:40,AAL2837,11300,311,2377,AAL,Friday,29.11,94,13,S,No
A6CFFC,2022-06-23,20:01:41,NA,11075,,,NA,Friday,29.11,94,13,S,No
A24757,2022-06-23,20:01:41,SWA2982,39000,425,,SWA,Friday,29.11,94,13,S,No
A777BF,2022-06-23,20:01:42,AAL2516,9825,297,510,AAL,Friday,29.11,94,13,S,No
AA0AAB,2022-06-23,20:01:42,NA,19000,,,NA,Friday,29.11,94,13,S,No
A79B38,2022-06-23,20:01:43,N59BS,20175,267,,Private,Friday,29.11,94,13,S,No
A757AE,2022-06-23,20:01:47,NA,23925,,,NA,Friday,29.11,94,13,S,No
AD20F4,2022-06-23,20:01:53,AAL1381,2375,195,2252,AAL,Friday,29.11,94,13,S,No
ADA336,2022-06-23,20:02:13,NA,24050,444,,NA,Friday,29.11,94,13,S,No
ACB8A0,2022-06-23,20:02:30,ASH5887,6325,281,2370,ASH,Friday,29.11,94,13,S,No
A34E97,2022-06-23,20:02:52,DAL892,33975,480,1134,DAL,Friday,29.11,94,13,S,No
A9F424,2022-06-23,20:02:57,SKW3171,13850,343,7406,SKW,Friday,29.11,94,13,S,No
AC0A22,2022-06-23,20:03:04,AAL1916,2275,200,515,AAL,Friday,29.11,94,13,S,No
A475A3,2022-06-23,20:03:11,DAL1450,9775,300,,DAL,Friday,29.11,94,13,S,No
A63FA4,2022-06-23,20:03:11,N501WJ,3500,219,,Private,Friday,29.11,94,13,S,No
AB525F,2022-06-23,20:03:17,AAL632,10075,291,3662,AAL,Friday,29.11,94,13,S,No
A0D72B,2022-06-23,20:03:38,AAL567,32050,464,2507,AAL,Friday,29.11,94,13,S,No
