HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline
A3AA32,2022/06/30,16:02:06.688,,18800,,,NA
A06010,2022/06/30,16:02:06.710,,9600,,,NA
A74D03,2022/06/30,16:02:06.751,,,,,NA
AC77D0,2022/06/30,16:02:06.797,,7150,404,,NA
AA011E,2022/06/30,16:02:07.488,,1500,,,NA
A0D6FB,2022/06/30,16:02:07.581,,33000,404,,NA
A51D1B,2022/06/30,16:02:07.933,,33000,282,,NA
A8D2A8,2022/06/30,16:02:08.488,,11975,404,,NA
A2B5DA,2022/06/30,16:02:09.373,AAL419,9700,,,AAL
AAB0DE,2022/06/30,16:02:09.885,,11975,,,NA
AA5D23,2022/06/30,16:02:09.902,SKW5227,14450,404,1200,SKW
A4F948,2022/06/30,16:02:12.175,,,,,NA
A2AB6C,2022/06/30,16:02:12.227,N42AB,6250,284,,Private
ADB014,2022/06/30,16:02:13.916,N57KT,6350,285,,Private
A3DFEB,2022/06/30,16:02:20.425,N42AB,9150,407,,Private
A661C3,2022/06/30,16:02:24.507,N57KT,6950,230,,Private
A4E876,2022/06/30,16:02:26.280,,8300,291,,NA
A61283,2022/06/30,16:02:28.060,,5500,290,,NA
ABCCA0,2022/06/30,16:02:30.656,N74379,9625,409,,Private
A1E218,2022/06/30,16:02:38.635,N74379,1500,78,,Private
A1804C,2022/06/30,16:02:44.734,N57KT,20650,424,2254,Private
A14CEE,2022/06/30,16:03:08.424,ENY3583,3850,117,2254,ENY
A4ADB3,2022/06/30,16:03:25.907,ENY3816,11300,322,6562,ENY
A1DD6C,2022/06/30,16:04:11.739,,1175,245,,NA
A87CA9,2022/06/30,16:04:13.943,N646MS,1600,366,2512,Private
A08BDD,2022/06/30,16:04:18.730,ENY3816,11975,274,6243,ENY
AB7394,2022/06/30,16:04:39.839,N510DJ,2225,248,,Private
A3AFE1,2022/06/30,16:04:55.134,NKS263,9975,181,,NKS
AC18FE,2022/06/30,16:04:59.119,,11725,93,2512,NA
ABB205,2022/06/30,16:05:01.451,NKS263,36000,294,,NKS
A4B81F,2022/06/30,16:05:03.534,,1975,453,,NA
A06646,2022/06/30,16:05:05.722,N510DJ,15075,252,,Private
C02FE2,2022/06/30,16:05:45.348,N86BJ,13850,252,,Private
A732A2,2022/06/30,16:05:49.197,N510DJ,11975,361,,Private
ACFD2C,2022/06/30,16:05:54.095,N510DJ,3100,487,,Private
ABA91B,2022/06/30,16:06:02.059,N86BJ,33925,390,,Private
A28D91,2022/06/30,16:06:52.684,N86BJ,35000,256,,Private
A0628F,2022/06/30,16:06:53.510,AAL2296,35000,256,7254,AAL
A66B46,2022/06/30,16:07:46.419,N510DJ,3300,75,3064,Private
A56D7B,2022/06/30,16:08:11.277,SKW4968,35000,262,7254,SKW
AAC87B,2022/06/30,16:08:31.628,SKW4794,37000,485,6234,SKW
AA80EB,2022/06/30,16:08:52.045,SKW4794,9100,447,7254,SKW
A960F8,2022/06/30,16:09:28.285,,4950,260,,NA
A4ACE1,2022/06/30,16:09:33.140,UPS2906,35000,189,,UPS
ADC192,2022/06/30,16:10:07.614,N86BJ,37000,193,,Private
A257D6,2022/06/30,16:10:19.961,SWA2275,12600,236,6234,SWA
A24B39,2022/06/30,16:11:14.870,SWA2275,3950,350,6261,SWA
A9653D,2022/06/30,16:11:24.179,N703P,4925,193,6261,Private
AC9E91,2022/06/30,16:11:55.660,EJA449,37000,409,6562,EJA
A0CE68,2022/06/30,16:12:05.427,N986BL,32475,413,503,Private
ACEA99,2022/06/30,16:12:52.424,EJA449,10375,417,,EJA
AE007F,2022/06/30,16:13:09.420,CFSDL,3700,97,,CFS
AAE582,2022/06/30,16:13:26.270,FDX3171,2550,419,,FDX
A42020,2022/06/30,16:13:37.989,,37000,296,,NA
A0FEF1,2022/06/30,16:13:38.957,CFSDL,41000,412,3254,CFS
AB82E2,2022/06/30,16:13:52.080,SKW4794,5750,417,6261,SKW
AA75C6,2022/06/30,16:14:03.040,JTL40O,13175,493,2345,JTL
A13C73,2022/06/30,16:14:20.676,JTL40O,11950,204,2241,JTL
A5FCEF,2022/06/30,16:14:45.894,N986BL,8525,279,2345,Private
AA8164,2022/06/30,16:15:10.377,N986BL,10450,494,2655,Private
AC6F31,2022/06/30,16:15:20.500,ENY4234,2575,311,2655,ENY
A7B444,2022/06/30,16:15:35.217,FDX3171,9850,191,2655,FDX
AB20DF,2022/06/30,16:16:12.654,ENY3691,20450,256,2655,ENY
ACD1F6,2022/06/30,16:16:22.956,N986BL,11975,251,,Private
A9504D,2022/06/30,16:16:48.868,FDX3171,1450,455,2655,FDX
A3661B,2022/06/30,16:17:48.234,N986BL,17050,214,,Private
0D09BE,2022/06/30,16:18:02.056,N986BL,11325,351,2345,Private
ABD3C7,2022/06/30,16:18:14.682,SKW3232,2325,453,7274,SKW
AD8C4C,2022/06/30,16:18:42.435,LXJ596,15675,319,5217,LXJ
AC2B6C,2022/06/30,16:19:36.050,,34000,347,,NA
AB6EA5,2022/06/30,16:19:38.529,,13200,,,NA
AADD36,2022/06/30,16:19:38.991,DAL1041,2875,347,646,DAL
A0519D,2022/06/30,16:20:18.224,DAL1041,12000,106,646,DAL
ABE2A3,2022/06/30,16:20:52.317,N318SB,2350,318,3444,Private
A04EDB,2022/06/30,16:21:03.321,N8AL,2550,405,3444,Private
AC667A,2022/06/30,16:21:15.030,N8AL,7800,96,,Private
AD73A9,2022/06/30,16:21:24.642,N89878,15725,399,,Private
A9600B,2022/06/30,16:21:50.870,N5120S,10650,183,4225,Private
A00C7A,2022/06/30,16:22:18.759,N8AL,12425,335,,Private
A777BF,2022/06/30,16:22:23.589,N8AL,22000,346,4225,Private
AB3C15,2022/06/30,16:22:28.785,N8AL,11675,194,4225,Private
A9046D,2022/06/30,16:22:55.444,N318SB,14825,316,2237,Private
A038FF,2022/06/30,16:23:39.739,,14350,394,,NA
AD2798,2022/06/30,16:23:41.955,N5120S,1500,82,6211,Private
A1E4D6,2022/06/30,16:24:31.299,N5120S,8100,416,7344,Private
A1D4F2,2022/06/30,16:24:47.364,,1925,286,,NA
A09609,2022/06/30,16:24:47.526,N5120S,8750,130,7344,Private
AD5C83,2022/06/30,16:24:56.206,N5120S,1900,222,4274,Private
A88072,2022/06/30,16:25:28.137,AAL1215,14400,277,,AAL
ACF1D8,2022/06/30,16:25:42.855,,1600,282,,NA
A9F424,2022/06/30,16:25:43.806,SKW3129,2450,250,4274,SKW
AB53F5,2022/06/30,16:25:58.768,N703DN,2975,268,4274,Private
A2E57E,2022/06/30,16:26:33.050,AAL479,15850,200,6237,AAL
AD260E,2022/06/30,16:27:03.692,N703DN,4000,394,2105,Private
A728A9,2022/06/30,16:27:17.548,N560TX  ,2525,385,,Private
AAA120,2022/06/30,16:27:22.710,AJI9648,16700,363,541,AJI
AB128D,2022/06/30,16:27:46.771,N960DT,2300,177,,Private
A3A538,2022/06/30,16:27:47.710,N960DT,16925,378,7011,Private
A47104,2022/06/30,16:28:10.673,N38557,4450,164,7011,Private
C03A5A,2022/06/30,16:28:36.795,N38557,1375,434,541,Private
AA1219,2022/06/30,16:28:51.467,N94618,20025,224,,Private
ACA6C0,2022/06/30,16:29:10.327,N560TX,9200,277,541,Private
A1AC11,2022/06/30,16:29:33.855,N829TB,2625,188,760,Private
ABA530,2022/06/30,16:30:55.706,N94618,1625,115,3255,Private
AE008D,2022/06/30,16:31:34.995,AJI9648,6175,272,1134,AJI
AB81B5,2022/06/30,16:31:47.445,,3975,103,1134,NA
A7DAEE,2022/06/30,16:31:54.406,AJI9648,25050,168,,AJI
AA51FE,2022/06/30,16:32:06.779,N94618,25225,408,1134,Private
ACB468,2022/06/30,16:33:02.757,N5120S,13275,402,2475,Private
4CAC5D,2022/06/30,16:34:13.070,WJA1534,45000,420,,WJA
A03B6D,2022/06/30,16:34:23.749,SON001,7075,424,,SON
AD14B6,2022/06/30,16:34:34.510,AJI9648,39000,88,541,AJI
A8B44E,2022/06/30,16:34:44.238,WJA1534,11025,167,1453,WJA
A588DB,2022/06/30,16:34:49.586,N137JQ,26000,395,1453,Private
AD7634,2022/06/30,16:35:14.620,WJA1534,2250,430,,WJA
A101C3,2022/06/30,16:35:15.253,DCM6167,2125,399,5633,DCM
AAAA1E,2022/06/30,16:35:48.374,WJA1534,25600,297,5633,WJA
AD14A3,2022/06/30,16:36:16.266,WJA1534,39000,263,,WJA
AA843A,2022/06/30,16:36:29.835,N26379,20600,438,3052,Private
A4ABC3,2022/06/30,16:36:36.659,N94618,7200,438,3052,Private
A6A425,2022/06/30,16:36:48.854,N40RD,7200,188,3052,Private
A9E8F7,2022/06/30,16:36:58.041,N777NF,27125,190,3052,Private
AD1986,2022/06/30,16:37:33.090,ENY3871,16175,174,5221,ENY
ACC5A5,2022/06/30,16:37:43.535,SON001,9625,218,5221,SON
A091D5,2022/06/30,16:38:20.664,N40RD,2825,295,647,Private
AC869A,2022/06/30,16:39:09.284,N137JQ,45000,254,1453,Private
AE1176,2022/06/30,16:39:23.555,N777NF,10700,469,,Private
AB2E55,2022/06/30,16:39:30.814,AAL2406,2400,341,,AAL
AB417A,2022/06/30,16:39:45.675,,2275,433,,NA
AA25A6,2022/06/30,16:39:48.639,N906MS,2325,362,647,Private
A0CD44,2022/06/30,16:40:01.784,SON001,10725,289,,SON
AD4AFE,2022/06/30,16:40:13.906,SKW3087,14400,220,5206,SKW
A2454B,2022/06/30,16:40:43.153,,10000,437,,NA
A35E66,2022/06/30,16:40:45.045,N777NF,21225,273,,Private
AC6FA3,2022/06/30,16:40:51.721,N24522,9450,309,,Private
ACD854,2022/06/30,16:40:54.515,DCM6167,3000,85,,DCM
A944B9,2022/06/30,16:41:02.731,,12100,270,,NA
A21ED4,2022/06/30,16:41:32.133,AAL1256,2025,375,,AAL
A9A404,2022/06/30,16:42:05.955,AAL808,11975,154,2677,AAL
A434F9,2022/06/30,16:42:54.655,UAL633,34975,490,2677,UAL
A0ACBB,2022/06/30,16:43:07.622,AAL665,10825,471,,AAL
A360E3,2022/06/30,16:43:13.679,UAL633,8850,189,,UAL
A6A1B4,2022/06/30,16:43:18.158,AAL665,4525,187,2677,AAL
A9CECF,2022/06/30,16:43:46.428,FTH900,9850,179,7446,FTH
A234EF,2022/06/30,16:43:55.980,N906MS,9900,350,7446,Private
A06B1B,2022/06/30,16:44:43.527,AAL1256,10400,227,6157,AAL
A927CA,2022/06/30,16:44:57.175,FTH900,2975,264,,FTH
A26FC9,2022/06/30,16:45:00.518,UAL633,10000,269,6157,UAL
A336DF,2022/06/30,16:45:13.509,UAL633,2875,183,,UAL
A4076A,2022/06/30,16:45:18.407,AAL1256,30325,184,3443,AAL
A79B38,2022/06/30,16:45:40.938,N927BR,18000,198,5270,Private
ACB251,2022/06/30,16:45:51.232,N927BR,3600,232,1106,Private
ACBEB0,2022/06/30,16:46:08.613,N942BG,2050,206,5270,Private
AE4AF0,2022/06/30,16:46:27.880,N942BG,15100,274,2620,Private
AA3476,2022/06/30,16:46:38.186,DAL605,1700,377,2620,DAL
A5F976,2022/06/30,16:46:51.815,N927BR,11125,221,2620,Private
A1E051,2022/06/30,16:47:02.150,N942BG,18000,469,5635,Private
AA196F,2022/06/30,16:47:05.254,,,259,,NA
AB09D2,2022/06/30,16:47:05.328,UAL633,13050,150,2620,UAL
A5224D,2022/06/30,16:47:09.178,,9175,300,,NA
A1933C,2022/06/30,16:47:09.414,,9175,271,,NA
A7EEC3,2022/06/30,16:47:09.914,ASA883,11775,484,5270,ASA
AE4A7A,2022/06/30,16:47:25.224,UAL633,4500,483,,UAL
A2994F,2022/06/30,16:47:27.082,DAL605,8850,285,5635,DAL
ACB285,2022/06/30,16:47:30.704,UAL313,11325,386,2650,UAL
ADA64D,2022/06/30,16:47:57.829,N43RS,2375,216,,Private
A0EA0F,2022/06/30,16:48:07.515,N43RS,10725,299,2650,Private
ACB4E9,2022/06/30,16:48:46.647,EZ04,1675,304,2650,EZ
A6A85F,2022/06/30,16:49:26.357,N267DF,5275,346,,Private
A18403,2022/06/30,16:49:43.932,N22T,2225,176,,Private
A2FA6A,2022/06/30,16:49:50.346,ENY4095 ,12050,174,5203,ENY
A3C900,2022/06/30,16:51:27.358,ENY3880,20400,279,,ENY
ABA891,2022/06/30,16:51:33.376,528TR,2225,200,6275,NA
AC22C5,2022/06/30,16:51:49.531,N810ET,8875,276,6637,Private
A3910E,2022/06/30,16:52:04.834,ENY3880,1425,406,,ENY
ABE3E6,2022/06/30,16:52:08.913,N329PK,30000,300,1200,Private
AAE6DB,2022/06/30,16:52:24.893,FFT2567,18000,161,654,FFT
A3411F,2022/06/30,16:52:39.926,N810ET,1850,139,,Private
A83F56,2022/06/30,16:52:43.210,N43RS,17625,266,654,Private
AB7334,2022/06/30,16:52:51.974,ASH5879,30000,358,6637,ASH
AE005E,2022/06/30,16:52:59.926,N810ET,1600,328,,Private
A53207,2022/06/30,16:53:09.472,,7725,400,,NA
AD7B17,2022/06/30,16:53:10.244,N837JS,1475,138,654,Private
A52206,2022/06/30,16:53:36.103,N801PB,2175,282,7776,Private
A4FA2F,2022/06/30,16:54:20.180,N801PB,5325,380,,Private
AC763E,2022/06/30,16:54:28.364,ENY3880,24850,385,7776,ENY
A385BE,2022/06/30,16:54:32.380,ASH5879,2325,386,6275,ASH
A6D3B3,2022/06/30,16:55:33.905,N329PK,8400,144,,Private
0D0B7C,2022/06/30,16:55:44.577,N329PK,2200,143,1514,Private
AD79EB,2022/06/30,16:56:27.414,AAL2466,4050,197,,AAL
AA55BD,2022/06/30,16:56:34.157,N801PB,8150,332,5211,Private
A5C15E,2022/06/30,16:56:53.091,TORO55,2225,423,,TOR
AA55B5,2022/06/30,16:57:02.114,AAL2466,8850,333,6275,AAL
AC444B,2022/06/30,16:57:15.627,,8575,178,,NA
AC7A52,2022/06/30,16:57:19.147,,13975,299,,NA
A9250D,2022/06/30,16:57:28.419,DPJ470,4025,334,3047,DPJ
AD4844,2022/06/30,16:57:33.180,X,2325,178,3073,X
AB5993,2022/06/30,16:58:10.266,TORO55,34650,186,,TOR
A63C56,2022/06/30,16:58:17.274,AAL1030,34700,430,7421,AAL
A2DDAC,2022/06/30,16:58:22.442,DPJ470,2250,196,,DPJ
A4ADAF,2022/06/30,16:58:44.230,TORO55,38000,332,3023,TOR
ADFEBC,2022/06/30,16:59:24.254,EJM55,2975,367,,EJM
A7FE4B,2022/06/30,16:59:34.012,AAL2046,2975,487,,AAL
AB2496,2022/06/30,16:59:35.256,N801PB,2425,166,,Private
A7F40F,2022/06/30,16:59:47.711,N801PB,44975,208,6715,Private
A9F302,2022/06/30,17:00:21.375,EJM55,45000,487,,EJM
A40797,2022/06/30,17:00:38.697,N43NW,11975,487,3023,Private
A80156,2022/06/30,17:00:49.429,ENY4132 ,45000,254,3023,ENY
ACE6B3,2022/06/30,17:01:02.692,,2450,276,6133,NA
AD6FF2,2022/06/30,17:01:07.425,EJM55,16175,350,5274,EJM
AC893A,2022/06/30,17:01:16.538,EJM55,11300,165,3023,EJM
A557C3,2022/06/30,17:01:54.149,N43NW,16500,231,6133,Private
A7DA8F,2022/06/30,17:02:12.405,EJM55,9375,469,,EJM
A1FFF2,2022/06/30,17:02:21.861,N801PB,9100,487,6133,Private
AC9E9F,2022/06/30,17:02:39.867,N614HB,8675,393,,Private
A4B0E0,2022/06/30,17:02:56.128,N614HB,37300,,,Private
A635E7,2022/06/30,17:02:56.254,DPJ470,11200,358,7067,DPJ
A1EF65,2022/06/30,17:03:26.530,EJM55,9950,86,,EJM
A149F1,2022/06/30,17:03:34.344,EJM55,10025,394,,EJM
AAAC42,2022/06/30,17:03:43.614,N614HB,12950,420,,Private
ADBB39,2022/06/30,17:03:48.044,CACTUS6,10000,393,,CAC
ABF78F,2022/06/30,17:04:13.712,SWA1756,11975,351,,SWA
