HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline,NearestHour
AB3446,2022-06-20,22:00:08,N82075,2900,93,,Private,22:00:00
A83C94,2022-06-20,22:00:08,PKW833,20000,281,,PKW,22:00:00
A263DC,2022-06-20,22:00:09,NA,16950,,,NA,22:00:00
A87CA9,2022-06-20,22:00:09,N646MS,1400,82,,Private,22:00:00
A526E2,2022-06-20,22:00:09,AAL574,10475,276,1036,AAL,22:00:00
AC8A63,2022-06-20,22:00:11,NKS310,33025,459,2032,NKS,22:00:00
ACE01B,2022-06-20,22:00:13,N929FE,4950,155,,Private,22:00:00
A6AADF,2022-06-20,22:00:55,NA,20650,452,,NA,22:00:00
A2E25E,2022-06-20,22:01:01,UPS767,15000,388,,UPS,22:00:00
ABBB24,2022-06-20,22:02:04,AAL2267,2250,188,2310,AAL,22:00:00
A14F46,2022-06-20,22:02:25,NA,2425,,,NA,22:00:00
AD185A,2022-06-20,22:03:06,AAL2313,2300,187,,AAL,22:00:00
A651CD,2022-06-20,22:03:19,TRF222,1575,90,5135,TRF,22:00:00
A2EDB4,2022-06-20,22:03:24,SWA932,4075,240,,SWA,22:00:00
ACF50B,2022-06-20,22:03:47,ASH5869,1950,213,2347,ASH,22:00:00
A3F436,2022-06-20,22:04:00,FFT507,2225,195,2204,FFT,22:00:00
A98051,2022-06-20,22:05:05,NA,3000,,,NA,22:00:00
AAF83C,2022-06-20,22:05:08,AAL2863,2475,184,2217,AAL,22:00:00
AC97E4,2022-06-20,22:06:17,AAL2628,2350,186,2234,AAL,22:00:00
AAA26A,2022-06-20,22:06:20,SWA3019,15850,377,5217,SWA,22:00:00
A94B4D,2022-06-20,22:07:01,NA,36000,440,,NA,22:00:00
A5D570,2022-06-20,22:07:22,UAL2308,32000,480,2474,UAL,22:00:00
AC77D3,2022-06-20,22:07:38,AAL1950,11925,317,1416,AAL,22:00:00
A5CE40,2022-06-20,22:07:43,NA,4925,,,NA,22:00:00
AC267C,2022-06-20,22:08:21,AAL1138,2225,198,2343,AAL,22:00:00
A0E250,2022-06-20,22:09:24,AAL1996,2400,175,533,AAL,22:00:00
A1DD6C,2022-06-20,22:10:06,NA,1700,103,,NA,22:00:00
AD493B,2022-06-20,22:10:11,SWA58,10275,328,,SWA,22:00:00
