HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline
A2FEE9,2022-06-21,00:00:02,SWA565,31525,464,2353,SWA
A0311D,2022-06-21,00:00:02,DAL1443,36975,450,,DAL
345109,2022-06-21,00:00:11,IBE6147,13200,364,,IBE
ACB8A0,2022-06-21,00:00:19,NA,20375,436,,NA
06A0DB,2022-06-21,00:00:24,QTR65B,2625,181,515,QTR
AD5369,2022-06-21,00:02:43,ASH5887,2150,200,2314,ASH
A91295,2022-06-21,00:05:27,FDX1124,9025,303,2550,FDX
A46E6A,2022-06-21,00:09:09,FFT2159,34000,460,,FFT
ACB260,2022-06-21,00:10:40,N917TL,1625,174,5211,Private
A36898,2022-06-21,00:11:21,DAL1002,10525,312,7122,DAL
ACB832,2022-06-21,00:11:53,SIL3989,1550,165,576,SIL
AD84DE,2022-06-21,00:19:38,AAL2100,15250,371,2031,AAL
A5C2EA,2022-06-21,00:21:12,UPS1343,7475,291,3776,UPS
AD1160,2022-06-21,00:24:54,FDX1180,3450,201,,FDX
AD2741,2022-06-21,00:25:47,SIL3967,1425,122,,SIL
ACDFB1,2022-06-21,00:28:12,SIL3923,1975,,,SIL
ACC9B2,2022-06-21,00:33:20,DAL1351,36000,447,,DAL
A9AB72,2022-06-21,00:38:05,SKW3272,2425,179,,SKW
ABE0DF,2022-06-21,00:39:10,NA,,454,,NA
A1288B,2022-06-21,00:43:15,FDX1100,4650,224,2222,FDX
A18A1C,2022-06-21,00:44:55,FDX1117 ,5525,175,527,FDX
A51B27,2022-06-21,00:44:56,UPS755,2700,198,2267,UPS
A01EBA,2022-06-21,00:47:38,N107AE,2300,121,1200,Private
A23A03,2022-06-21,00:48:17,UAL432,41050,455,,UAL
A5FC42,2022-06-21,00:55:26,GTI8102,2225,182,,GTI
A15B2F,2022-06-21,00:58:22,FDX1155,2300,155,,FDX
A4DBC6,2022-06-21,01:00:56,N412CF,1150,113,4677,Private
A78DD7,2022-06-21,01:05:51,BYA586,16900,309,7245,BYA
A7D751,2022-06-21,01:06:22,NKS1679,37000,465,,NKS
A0D5D6,2022-06-21,01:07:03,FDX2601,1275,151,2365,FDX
AC7E09,2022-06-21,01:11:14,AAL2769,8950,284,,AAL
ABC7A3,2022-06-21,01:15:12,SWA953,35000,460,,SWA
A344C5,2022-06-21,01:17:54,GTX489,7000,162,,GTX
A0D90C,2022-06-21,01:22:47,AAL651,33025,464,750,AAL
ABE124,2022-06-21,01:23:35,SWA2967,33000,451,1420,SWA
AB540D,2022-06-21,01:28:34,UAL772,10950,292,,UAL
A64D15,2022-06-21,01:31:39,NA,,71,,NA
ACE01B,2022-06-21,01:37:46,BVN8279,1600,85,,BVN
A511F6,2022-06-21,01:41:10,AAL2670,33000,474,1372,AAL
ACDC64,2022-06-21,01:42:25,N928FE,8900,171,2373,Private
A0552A,2022-06-21,01:49:14,RAX722,34925,436,,RAX
0C2084,2022-06-21,01:49:40,NA,33000,453,,NA
ACF507,2022-06-21,02:00:28,BVN8275,1600,113,,BVN
A53D2C,2022-06-21,02:04:36,AAL2283,32975,471,7325,AAL
A5A690,2022-06-21,02:31:34,UPS1344,3225,190,2232,UPS
AA84F8,2022-06-21,02:33:37,N777VW,2850,216,,Private
AD6116,2022-06-21,02:36:12,AAL956,11875,308,,AAL
A56DDC,2022-06-21,02:46:57,UPS1386,2700,196,,UPS
0D0B3E,2022-06-21,02:47:12,VIV547,36025,452,1355,VIV
A11AFD,2022-06-21,02:48:31,UPS1302,3125,193,2375,UPS
A05939,2022-06-21,02:50:11,UPS860,2875,183,5125,UPS
A513B9,2022-06-21,02:52:23,UPS1336 ,2775,193,,UPS
0D0B20,2022-06-21,02:53:36,VTM356,31000,462,2526,VTM
A10BBC,2022-06-21,02:53:56,AAL1936,33025,469,6727,AAL
A42BD4,2022-06-21,02:54:01,UPS930,2775,204,2205,UPS
