HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline,NearestHour
A385BE,2022-06-26,20:01:29,ASH5683,11925,307,1406,ASH,20:00:00
AA7ABD,2022-06-26,20:01:29,UAL560,36000,433,,UAL,20:00:00
A1D752,2022-06-26,20:01:29,N218AZ,5575,163,,Private,20:00:00
AE001E,2022-06-26,20:01:29,SHOOT44,3000,251,,SHOOT,20:00:00
A0B7DA,2022-06-26,20:01:30,N14513,4450,140,,Private,20:00:00
A42665,2022-06-26,20:01:39,ATN3411,7550,297,2214,ATN,20:00:00
A8D4CC,2022-06-26,20:01:41,UAL1632,34000,436,,UAL,20:00:00
AAC5EC,2022-06-26,20:01:47,SCX6051,3900,277,,SCX,20:00:00
AB6542,2022-06-26,20:01:51,UAL1220,30975,462,,UAL,20:00:00
A98853,2022-06-26,20:04:47,NA,4400,154,,NA,20:00:00
A423C4,2022-06-26,20:04:48,NA,1125,129,,NA,20:00:00
ACCD8C,2022-06-26,20:04:51,ASH5859,11900,267,,ASH,20:00:00
A51F0F,2022-06-26,20:05:27,SWA2822,34000,431,2160,SWA,20:00:00
AB0E82,2022-06-26,20:06:59,NA,43000,487,,NA,20:00:00
A214B3,2022-06-26,20:07:06,SWA985,9450,295,2311,SWA,20:00:00
A238A6,2022-06-26,20:07:22,NA,11850,304,,NA,20:00:00
A0708D,2022-06-26,20:08:31,N12730,2375,130,,Private,20:00:00
AD5FEA,2022-06-26,20:08:58,AAL1582 ,15100,377,,AAL,20:00:00
AA2A7F,2022-06-26,20:09:51,SKW9898,15425,342,,SKW,20:00:00
AC81D2,2022-06-26,20:09:56,AAL2837,5825,284,,AAL,20:00:00
A8C439,2022-06-26,20:09:59,ENY4008,11900,300,,ENY,20:00:00
A047DB,2022-06-26,20:10:33,SKW5608,30000,409,2414,SKW,20:00:00
A988F1,2022-06-26,20:10:43,NA,41000,386,,NA,20:00:00
AE0046,2022-06-26,20:11:54,SHOOT66,3200,305,,SHOOT,20:00:00
AD2EA4,2022-06-26,20:12:11,AAL2245,11875,309,,AAL,20:00:00
AA26C8,2022-06-26,20:12:43,SKW4969,9350,302,2267,SKW,20:00:00
A74871,2022-06-26,20:13:31,NA,37000,480,,NA,20:00:00
ADEA26,2022-06-26,20:14:10,AAL2464,11325,308,,AAL,20:00:00
AC8287,2022-06-26,20:14:24,NA,10275,367,,NA,20:00:00
A9768A,2022-06-26,20:15:01,NA,10550,351,,NA,20:00:00
ABE8B6,2022-06-26,20:15:47,NA,8475,,,NA,20:00:00
AE002F,2022-06-26,20:15:53,SHOOT33,3875,289,,SHOOT,20:00:00
AD6C3B,2022-06-26,20:16:45,AAL2520,8750,303,,AAL,20:00:00
A1F4BC,2022-06-26,20:16:51,N225MW,1375,137,,Private,20:00:00
A01EBA,2022-06-26,20:17:13,N107AE,1800,121,,Private,20:00:00
AD7DA2,2022-06-26,20:17:17,AAL1829,11900,304,1765,AAL,20:00:00
AB5933,2022-06-26,20:17:19,NA,12525,303,,NA,20:00:00
A2A7B5,2022-06-26,20:18:08,ENY3555,13750,363,,ENY,20:00:00
A8BF73,2022-06-26,20:18:46,AAL303,8225,284,,AAL,20:00:00
AC5D61,2022-06-26,20:21:01,UAL2005,5800,285,555,UAL,20:00:00
AD727D,2022-06-26,20:21:12,NA,10800,,,NA,20:00:00
AA0300,2022-06-26,20:24:04,SKW4946,15950,378,3631,SKW,20:00:00
ADD66D,2022-06-26,20:24:10,AAL1207,6675,282,2266,AAL,20:00:00
A264A4,2022-06-26,20:24:31,NA,17375,289,,NA,20:00:00
A4B21B,2022-06-26,20:24:40,UAL1010,33425,497,,UAL,20:00:00
A2ECEC,2022-06-26,20:25:35,NA,8550,296,,NA,20:00:00
A85F29,2022-06-26,20:26:19,NA,35000,487,,NA,20:00:00
AA6FCA,2022-06-26,20:27:08,NA,9900,,,NA,20:00:00
A06461,2022-06-26,20:27:12,NA,11250,294,,NA,20:00:00
AA7E99,2022-06-26,20:27:15,NA,37000,,,NA,20:00:00
A535C2,2022-06-26,20:27:44,ASA703,10000,289,,ASA,20:00:00
A09533,2022-06-26,20:28:07,AAL711,4900,293,2435,AAL,20:00:00
ABE2A3,2022-06-26,20:28:58,AAL1381,8175,288,554,AAL,20:00:00
AB4EA8,2022-06-26,20:29:51,AAL1736,11900,269,6277,AAL,20:00:00
A4A848,2022-06-26,20:29:53,N4DP,9875,285,,Private,20:00:00
A62FD1,2022-06-26,20:29:56,SWA2601,39000,430,2640,SWA,20:00:00
A80C81,2022-06-26,20:30:04,N618AL,8400,166,,Private,20:00:00
ACF344,2022-06-26,20:30:22,NA,33000,,,NA,20:00:00
A9D5DF,2022-06-26,20:30:35,NA,35000,,,NA,20:00:00
ABADC0,2022-06-26,20:30:39,NA,11225,,,NA,20:00:00
ABB8A0,2022-06-26,20:30:50,NA,38000,430,,NA,20:00:00
A0E086,2022-06-26,20:31:11,AAL2747,17350,398,7637,AAL,20:00:00
A283F4,2022-06-26,20:31:22,AAY2800,32000,442,,AAY,20:00:00
A4B41C,2022-06-26,20:31:50,AAL2254,6275,284,2360,AAL,20:00:00
A41151,2022-06-26,20:32:10,NA,,,,NA,20:00:00
AB7268,2022-06-26,20:33:32,AAL9606,11750,301,1503,AAL,20:00:00
ABEF16,2022-06-26,20:34:09,NA,11500,343,,NA,20:00:00
AB3C15,2022-06-26,20:34:18,AAL2851,2800,396,,AAL,20:00:00
A70523,2022-06-26,20:34:44,NA,5100,287,,NA,20:00:00
A24B39,2022-06-26,20:35:04,ENY3771,9925,283,,ENY,20:00:00
A3244A,2022-06-26,20:35:05,AAL2709,9525,291,575,AAL,20:00:00
AA42AA,2022-06-26,20:35:50,ENY3770,11900,269,2677,ENY,20:00:00
AAE582,2022-06-26,20:36:11,AAL2756,16425,368,7466,AAL,20:00:00
A9F838,2022-06-26,20:36:21,N741WC,30000,248,2415,Private,20:00:00
A0A9D0,2022-06-26,20:36:28,NA,31000,,,NA,20:00:00
AAB0DE,2022-06-26,20:36:38,NA,38000,430,,NA,20:00:00
A38211,2022-06-26,20:37:09,DAL1410,36000,495,,DAL,20:00:00
