HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline
A2BDFF,2022-07-05,12:01:41,ENY3320,10150,276,2430,ENY
A988CC,2022-07-05,12:01:41,SKW3100,12000,281,3417,SKW
AC82F8,2022-07-05,12:01:41,AAL1770,2400,296,531,AAL
ADE8FA,2022-07-05,12:01:41,AAL2066,8375,294,,AAL
A50E3F,2022-07-05,12:01:42,AAL456,13800,375,2247,AAL
ACA6C0,2022-07-05,12:01:42,AAL2922,10250,313,,AAL
A2AF23,2022-07-05,12:01:42,ENY4249,4750,269,571,ENY
ABD8E4,2022-07-05,12:01:42,NA,30675,474,,NA
AC6F31,2022-07-05,12:01:43,ENY4233,12825,321,2555,ENY
ABF3B8,2022-07-05,12:01:44,SWA3089,36000,474,7430,SWA
AD3997,2022-07-05,12:01:50,AAL2245,7900,283,535,AAL
AA74AE,2022-07-05,12:01:57,N773FE,4925,139,,Private
ABB19C,2022-07-05,12:01:58,SWA235,5925,299,,SWA
AD3B4F,2022-07-05,12:02:23,N513AF,2400,108,7056,Private
ACC6D1,2022-07-05,12:02:37,NA,2500,192,,NA
A2ECEC,2022-07-05,12:02:46,NA,18850,388,,NA
ABE7E3,2022-07-05,12:02:56,NA,19575,400,,NA
A94BFF,2022-07-05,12:02:57,UAL529  ,35000,457,3514,UAL
ADFFC4,2022-07-05,12:04:04,CARBN99,2125,314,2327,CARBN
A923A8,2022-07-05,12:04:10,UAL1515,34025,484,7307,UAL
A1EAF4,2022-07-05,12:04:34,N2221K,1000,70,1200,Private
AB3856,2022-07-05,12:05:10,AAL61,2100,292,,AAL
A803F7,2022-07-05,12:05:10,NA,3300,89,,NA
A23847,2022-07-05,12:05:17,JTL242,5375,256,,JTL
A06A54,2022-07-05,12:05:36,DAL1600,34000,465,,DAL
ACD8CD,2022-07-05,12:05:41,N927GM,5875,277,5224,Private
AB17E1,2022-07-05,12:06:08,N8137U,1900,67,,Private
A5E073,2022-07-05,12:06:51,BTQ554,7175,269,2315,BTQ
AB4EA9,2022-07-05,12:06:59,OAE549  ,2275,175,542,OAE
A4405F,2022-07-05,12:07:00,EJA373,4975,271,6220,EJA
ACF1A3,2022-07-05,12:07:22,ENY3773,2400,275,4077,ENY
AB178F,2022-07-05,12:07:31,N8135G,1700,74,,Private
A80C7B,2022-07-05,12:07:55,NA,8200,282,,NA
A4BD32,2022-07-05,12:08:00,N404TM,15925,369,,Private
AC667A,2022-07-05,12:08:19,N89878,2900,76,1200,Private
AC98B7,2022-07-05,12:08:45,N910WZ,29000,291,,Private
AAAA4A,2022-07-05,12:08:52,SWA3067,11650,366,,SWA
ABE501,2022-07-05,12:09:13,SWA2681,35000,470,,SWA
A8F207,2022-07-05,12:09:20,ENY4002,11500,279,5267,ENY
A062EC,2022-07-05,12:09:33,DAL1667,29350,476,7303,DAL
AD8F18,2022-07-05,12:09:33,LYM5411,6800,275,,LYM
A733E6,2022-07-05,12:09:59,AAL2065,9000,290,3467,AAL
ABF17F,2022-07-05,12:10:31,AAL2078,2350,192,527,AAL
A24B0A,2022-07-05,12:11:01,ASH5859,9850,274,3367,ASH
A17170,2022-07-05,12:11:20,NA,2275,185,,NA
A968BB,2022-07-05,12:11:36,SKW3019,2050,205,3663,SKW
AB04F3,2022-07-05,12:11:40,NA,13150,367,,NA
AB3446,2022-07-05,12:12:31,N82075,3400,96,5101,Private
AAADB2,2022-07-05,12:12:36,NA,8875,304,,NA
A8430D,2022-07-05,12:12:43,SKW3208,8525,286,,SKW
A07F46,2022-07-05,12:13:35,DAL823,2650,307,3033,DAL
AABF80,2022-07-05,12:13:42,AAL5,2225,186,3627,AAL
AC91D4,2022-07-05,12:14:24,NA,2375,198,,NA
AC042C,2022-07-05,12:14:31,N8732U  ,1700,94,1200,Private
A62BDC,2022-07-05,12:14:43,UAL550,8325,290,2241,UAL
A93997,2022-07-05,12:15:02,ENY3615,11150,277,5625,ENY
A042C9,2022-07-05,12:15:11,VTE116,3375,206,,VTE
AD14A3,2022-07-05,12:15:33,NA,2250,,,NA
ACE0CF,2022-07-05,12:15:50,NKS1016,9050,295,2414,NKS
0D05E4,2022-07-05,12:16:01,SLI2682,14775,359,2465,SLI
ABE0BB,2022-07-05,12:16:19,SWA2883,11225,325,,SWA
A34209,2022-07-05,12:16:49,AAL2456,7475,295,,AAL
AB5257,2022-07-05,12:16:56,AAL119,2425,200,2214,AAL
A364E6,2022-07-05,12:17:04,NA,13825,313,,NA
A837A6,2022-07-05,12:17:09,UAL1119,35000,464,3703,UAL
AC9E9F,2022-07-05,12:17:46,ASH5860,2250,204,,ASH
A96C72,2022-07-05,12:18:30,SKW3081,8450,289,,SKW
AA8882,2022-07-05,12:18:38,UAL699,39000,466,3747,UAL
A58103,2022-07-05,12:18:42,AAL2181,2675,186,524,AAL
A53835,2022-07-05,12:19:25,N4351J,8900,238,5123,Private
ACE96D,2022-07-05,12:19:34,AAL9778,40000,450,530,AAL
ACF486,2022-07-05,12:19:37,AAL2543,2450,184,3435,AAL
ABD8C1,2022-07-05,12:19:58,NA,11100,314,,NA
A97AB2,2022-07-05,12:20:46,N71LD,1000,109,1200,Private
AB290E,2022-07-05,12:20:50,N818WF,41000,458,501,Private
A3BD5F,2022-07-05,12:21:22,XSR340,4075,190,2316,XSR
A24ADE,2022-07-05,12:21:27,NA,5925,,,NA
A79B38,2022-07-05,12:21:50,NA,10350,320,,NA
AC219D,2022-07-05,12:22:44,SKW4800,33000,424,2134,SKW
AB371F,2022-07-05,12:23:41,NA,2500,97,,NA
ACA788,2022-07-05,12:24:27,SWA1754,17300,386,2333,SWA
A192DD,2022-07-05,12:24:47,N200JT,14750,346,,Private
A24782,2022-07-05,12:24:47,ENY4248,34000,414,7432,ENY
A2DA59,2022-07-05,12:24:53,ENY3515,14100,373,4027,ENY
A79AC3,2022-07-05,12:25:02,N58976,2300,109,,Private
A657BF,2022-07-05,12:25:20,NA,8950,292,,NA
A1B92E,2022-07-05,12:25:27,NA,12425,,,NA
A2A18A,2022-07-05,12:26:15,N269ML,2325,159,534,Private
A42E13,2022-07-05,12:26:26,DAL649,33000,459,,DAL
A4200D,2022-07-05,12:26:32,DAL2929 ,34275,481,4004,DAL
A7D6B1,2022-07-05,12:26:56,N604G,3925,114,,Private
71C285,2022-07-05,12:26:56,KAL8255,8950,285,,KAL
AB050F,2022-07-05,12:27:35,UAL1844,2475,186,,UAL
A1EEFC,2022-07-05,12:28:18,N2233W,1500,94,1200,Private
A9397A,2022-07-05,12:28:56,N6939M,5375,107,1200,Private
A99F16,2022-07-05,12:29:23,NA,9575,289,,NA
A066A3,2022-07-05,12:29:24,DAL1442,35075,460,4045,DAL
A4FBAC,2022-07-05,12:29:36,AAL1709,10475,276,7362,AAL
A1057A,2022-07-05,12:30:14,AAL1082,32975,467,,AAL
A3CD7D,2022-07-05,12:30:17,AAL2626,10100,296,,AAL
AD4FB2,2022-07-05,12:30:57,NA,2400,206,,NA
AA5D60,2022-07-05,12:31:00,AAL1754,11350,280,7615,AAL
A51731,2022-07-05,12:31:15,NA,13150,302,,NA
A08663,2022-07-05,12:31:52,NA,2225,193,,NA
A0F73C,2022-07-05,12:31:53,AAL2715,9225,291,,AAL
AC2BF8,2022-07-05,12:32:08,NA,35000,,,NA
A42718,2022-07-05,12:32:13,NA,34975,387,,NA
