HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline
A9600B,2022/06/28,16:01:36.656,,1850,,,NA
A32C47,2022/06/28,16:01:36.734,,,,,NA
A8D4F6,2022/06/28,16:01:36.745,,35000,,,NA
A9961F,2022/06/28,16:01:36.811,,1950,,,NA
A14C53,2022/06/28,16:01:36.835,,35000,,,NA
A03618,2022/06/28,16:01:36.969,,35925,461,,NA
A238A6,2022/06/28,16:01:37.208,UPS2954,2125,443,,UPS
A789C3,2022/06/28,16:01:38.486,,18675,,,NA
AC9EC4,2022/06/28,16:01:38.794,,39000,429,,NA
A992CF,2022/06/28,16:01:39.774,UAL1444,11775,151,,UAL
A3ECC8,2022/06/28,16:01:43.871,UAL1444,9800,445,,UAL
A1A218,2022/06/28,16:02:00.394,UAL1444,24275,460,3662,UAL
A41014,2022/06/28,16:02:19.716,,43000,321,3662,NA
ACBC64,2022/06/28,16:02:24.821,UAL1444,35000,353,5114,UAL
A09590,2022/06/28,16:02:57.325,SKW3156,21300,459,5114,SKW
A3B574,2022/06/28,16:03:08.694,SKW3156,10225,266,,SKW
A0ABEE,2022/06/28,16:03:09.463,UAL1444,21650,331,5114,UAL
A1E9AC,2022/06/28,16:03:20.302,FFT2711,13675,264,5114,FFT
ABFE12,2022/06/28,16:03:44.246,UPS2344,8925,220,6572,UPS
AA7734,2022/06/28,16:03:47.186,SKW3156,43000,339,7077,SKW
A87CA9,2022/06/28,16:03:54.478,FDX3161,900,343,,FDX
A9F461,2022/06/28,16:04:24.327,FFT2711,2600,479,,FFT
A1057A,2022/06/28,16:04:28.200,SWA1086,2650,459,6277,SWA
ACB59C,2022/06/28,16:04:42.902,FFT2711,6650,264,2323,FFT
A80156,2022/06/28,16:05:06.012,FFT2711,18250,210,4040,FFT
A5C107,2022/06/28,16:06:09.903,AAL353,10050,502,,AAL
ACF50B,2022/06/28,16:06:14.808,ENY3583,1775,502,4040,ENY
A360EA,2022/06/28,16:07:27.642,DAL2792,23225,217,,DAL
A233FA,2022/06/28,16:07:34.744,DAL2792,2775,383,,DAL
A2A18A,2022/06/28,16:07:45.568,FFT2711,10550,172,,FFT
A24B39,2022/06/28,16:07:48.034,DAL2792,12250,346,,DAL
A44596,2022/06/28,16:08:07.664,DAL2792,43000,84,,DAL
A02760,2022/06/28,16:08:20.133,DRL38,37000,287,,DRL
AA181E,2022/06/28,16:08:21.184,AAL353,39000,325,2726,AAL
0D0C92,2022/06/28,16:08:49.261,AAL353,15450,211,2323,AAL
AB2AE0,2022/06/28,16:09:16.171,N241CT,2375,231,2323,Private
A017C9,2022/06/28,16:09:34.068,DAL2792,37000,179,4271,DAL
A23DA6,2022/06/28,16:10:02.740,N241CT,2200,359,4271,Private
A42020,2022/06/28,16:10:28.834,ENY4234,2100,329,,ENY
A5C15E,2022/06/28,16:10:30.728,SKW233F,45000,74,6252,SKW
AD5404,2022/06/28,16:10:43.021,,6875,453,,NA
A0174D,2022/06/28,16:10:44.167,,37000,452,,NA
A94105,2022/06/28,16:10:47.182,N241CT,37000,290,6552,Private
A97797,2022/06/28,16:11:42.748,ATN3485,37000,284,2376,ATN
AB3DD0,2022/06/28,16:11:52.597,GAJ823,6250,153,,GAJ
ABFB46,2022/06/28,16:12:23.424,N105AF,2325,473,,Private
A54FCB,2022/06/28,16:12:28.934,,13200,142,,NA
7C8066,2022/06/28,16:12:29.736,ENY4234,8150,454,3474,ENY
AB7613,2022/06/28,16:12:53.411,N75EK,1750,296,2112,Private
A326D1,2022/06/28,16:13:14.333,N441R,15525,299,,Private
A2E935,2022/06/28,16:13:25.946,N75EK,2575,163,5134,Private
A09A90,2022/06/28,16:14:05.401,N441R,9650,150,3264,Private
A9F818,2022/06/28,16:14:57.521,FDX3171,16000,313,5134,FDX
A4795A,2022/06/28,16:15:44.542,N441R,11025,311,5134,Private
A10BBC,2022/06/28,16:15:52.319,DAL1041,9225,170,5154,DAL
A43D09,2022/06/28,16:16:19.658,SKW3290,40025,182,5154,SKW
AB09D2,2022/06/28,16:16:33.956,SKW3290,9775,276,5154,SKW
A18B55,2022/06/28,16:16:42.297,N441R,9425,172,5154,Private
A361E5,2022/06/28,16:17:12.718,VHEIH,2000,195,3155,VHE
ABEDC8,2022/06/28,16:17:19.856,VHEIH,9275,223,3155,VHE
A37020,2022/06/28,16:17:24.516,VHEIH,2350,266,2144,VHE
AA7E99,2022/06/28,16:17:37.305,N441R,37000,265,2144,Private
AB8112,2022/06/28,16:18:19.996,QFA7,14200,208,2144,QFA
A72775,2022/06/28,16:18:29.457,DAL1041,7350,208,,DAL
A972BE,2022/06/28,16:18:48.089,N441R,5775,468,3243,Private
AC7E09,2022/06/28,16:19:31.134,UAL1714,2100,462,3243,UAL
A36549,2022/06/28,16:19:38.523,,8100,262,3243,NA
ABAC48,2022/06/28,16:19:41.274,UAL1714,2250,460,3243,UAL
AAEB0E,2022/06/28,16:20:31.286,VHEIH,2200,248,2644,VHE
AB2E55,2022/06/28,16:20:39.047,N318HS,9775,90,,Private
ABB972,2022/06/28,16:20:41.494,VHEIH,2475,263,2644,VHE
AD7634,2022/06/28,16:21:21.365,N318HS,1825,437,2331,Private
A74679,2022/06/28,16:21:53.958,N318HS,6575,190,,Private
A28D91,2022/06/28,16:22:26.469,UPS2918,2100,262,,UPS
A3CD7D,2022/06/28,16:22:30.259,N318HS,8750,263,2674,Private
A03BBF,2022/06/28,16:22:46.654,,8550,400,,NA
A93997,2022/06/28,16:22:50.704,N318HS,3750,309,2674,Private
A90824,2022/06/28,16:22:53.740,NKS1025,2000,181,2674,NKS
ADF219,2022/06/28,16:23:21.313,AAL1742,18425,252,2674,AAL
ACFBAF,2022/06/28,16:23:39.710,N26379,3025,77,6257,Private
AB6EB9,2022/06/28,16:23:44.997,N9358C,14175,262,2674,Private
A426DA,2022/06/28,16:23:56.322,UPS2918,9725,397,570,UPS
AB7080,2022/06/28,16:24:25.260,N9358C,1400,344,6257,Private
A646E5,2022/06/28,16:25:18.066,N9358C,1600,380,2201,Private
A7F40F,2022/06/28,16:25:26.406,AAL417,8375,284,,AAL
A83CE8,2022/06/28,16:25:32.714,AAL1742,1700,185,,AAL
A4B065,2022/06/28,16:25:55.836,N9358C,15100,169,2201,Private
AC71DD,2022/06/28,16:26:27.582,N9358C,13650,248,5177,Private
A9250D,2022/06/28,16:27:12.269,AAL1742,10250,283,,AAL
AB5002,2022/06/28,16:27:33.141,AAL1699,8975,427,5701,AAL
A1684C,2022/06/28,16:27:35.392,N998TW,9700,236,2401,Private
AC79A3,2022/06/28,16:27:56.048,N998TW,8250,328,5701,Private
AB15BA,2022/06/28,16:28:03.362,N998TW,10150,307,5701,Private
A46AB3,2022/06/28,16:28:09.488,FFT2566 ,28500,215,5701,FFT
A09FDA,2022/06/28,16:28:12.097,AAL1742,2050,266,2201,AAL
A5A11A,2022/06/28,16:29:07.558,,1900,,,NA
A292C9,2022/06/28,16:29:07.823,N190BH,11825,89,,Private
ADB3CB,2022/06/28,16:29:53.819,AAL2517,10350,317,6260,AAL
ACC954,2022/06/28,16:31:18.336,N998TW,10175,256,6260,Private
A836FB,2022/06/28,16:31:45.456,ENY3708,35000,250,4060,ENY
A91B40,2022/06/28,16:31:56.718,N998TW,6750,278,4060,Private
A21B7C,2022/06/28,16:32:08.813,AAL1497,22025,249,4060,AAL
C03C04,2022/06/28,16:32:16.289,N998TW,12100,431,4015,Private
A2FE21,2022/06/28,16:32:27.166,AAL1670,9275,253,2214,AAL
AC3475,2022/06/28,16:33:04.768,N63RP,10650,327,1137,Private
ACF946,2022/06/28,16:33:20.704,AAL1497,24400,256,1137,AAL
A082FD,2022/06/28,16:34:05.519,ENY3708,8750,419,,ENY
A96F07,2022/06/28,16:34:07.255,ASA883,23450,248,3610,ASA
ABCCA0,2022/06/28,16:34:21.904,FFT2566,1400,418,1137,FFT
ADCDCC,2022/06/28,16:34:57.792,,25275,424,,NA
A55ED2,2022/06/28,16:34:59.992,ASA883,2775,320,2372,ASA
ABB94F,2022/06/28,16:35:12.602,AAL1497,2775,238,,AAL
AD9B28,2022/06/28,16:35:25.851,N703DN,26175,301,2372,Private
A26A9C,2022/06/28,16:36:10.802,CWG505,1325,187,,CWG
AABB53,2022/06/28,16:36:20.261,N445ST,10050,262,3475,Private
A1405F,2022/06/28,16:36:41.309,N646MS,3150,259,6245,Private
A69BE1,2022/06/28,16:37:01.767,N445ST,29150,385,,Private
AB1D28,2022/06/28,16:37:09.283,N445ST,15950,298,2334,Private
AABF50,2022/06/28,16:38:16.537,CWG505,6800,256,,CWG
A2F092,2022/06/28,16:38:25.618,N703DN,2300,463,,Private
AB149C,2022/06/28,16:38:28.760,N525DW,5800,219,1151,Private
5001E9,2022/06/28,16:38:30.971,N445ST,41000,171,,Private
A0B169,2022/06/28,16:38:36.007,CWG505,3825,321,2334,CWG
AB674B,2022/06/28,16:39:15.720,SKW3232,2325,304,2445,SKW
ABA76A,2022/06/28,16:39:57.336,SKW3232,12625,234,2445,SKW
A0CDF3,2022/06/28,16:40:19.595,CWG505,9850,348,,CWG
A07F46,2022/06/28,16:40:33.841,AAL665,10300,205,3475,AAL
ADF59E,2022/06/28,16:40:45.529,SCX3010,2600,187,6254,SCX
A7E18D,2022/06/28,16:40:53.565,AAL665,11350,386,3626,AAL
A968BB,2022/06/28,16:41:26.910,N18WZ,2225,215,3626,Private
A1EF65,2022/06/28,16:41:47.090,CWG505,1100,212,3626,CWG
AC8E1D,2022/06/28,16:42:28.286,AAL665,3775,203,3626,AAL
AD2833,2022/06/28,16:44:17.330,DAL691,3800,186,7402,DAL
A336E3,2022/06/28,16:44:22.466,SCX3010,2250,359,,SCX
AC7B8A,2022/06/28,16:44:35.566,N703DN,11800,335,6245,Private
0D0B32,2022/06/28,16:44:44.090,N18WZ,3775,424,6245,Private
A1F4CD,2022/06/28,16:45:09.236,,2200,175,,NA
A3A5D9,2022/06/28,16:45:11.673,N607DB,2250,186,,Private
AAD981,2022/06/28,16:45:20.935,AAL1030,2725,287,4102,AAL
AB525F,2022/06/28,16:45:56.609,N2236W,9100,424,,Private
AA5D60,2022/06/28,16:46:18.340,,3150,110,,NA
A99645,2022/06/28,16:46:19.468,SCX3010,3125,163,4102,SCX
A1BABB,2022/06/28,16:47:05.623,XAMMX,1900,420,,XAM
ACD0CA,2022/06/28,16:47:22.346,AAL2674,7325,296,,AAL
A2A7B5,2022/06/28,16:48:13.922,XAMMX,8850,299,6130,XAM
AB24EE,2022/06/28,16:48:45.280,XAMMX,3325,181,,XAM
A2C56D,2022/06/28,16:48:50.054,,10325,309,,NA
A271E5,2022/06/28,16:48:51.132,DAL2250,10700,311,,DAL
A0E249,2022/06/28,16:49:03.180,,10200,220,,NA
A211EF,2022/06/28,16:49:03.645,,7050,271,,NA
A4B5D2,2022/06/28,16:49:05.897,XAMMX,3350,237,6130,XAM
A3244A,2022/06/28,16:49:38.689,AAL1030,10075,230,6130,AAL
A97029,2022/06/28,16:50:29.650,,4525,183,2464,NA
ACED1C,2022/06/28,16:50:31.483,DAL2250,2550,171,3461,DAL
AD5369,2022/06/28,16:50:48.472,ASH5739 ,9700,185,1327,ASH
AC881E,2022/06/28,16:50:58.109,DAL2250,9875,328,2464,DAL
A4B41C,2022/06/28,16:51:42.578,ENY3880,2275,198,,ENY
AA0300,2022/06/28,16:51:50.698,AAL399,12525,397,6274,AAL
AB0ED6,2022/06/28,16:52:42.386,00000000,43000,187,,NA
ACE6B3,2022/06/28,16:52:47.502,ENY3880,2175,424,3644,ENY
AC77D0,2022/06/28,16:53:44.674,XAMMX,3000,354,,XAM
AB7268,2022/06/28,16:53:47.797,ENY3880,2000,204,2306,ENY
ADDB4A,2022/06/28,16:54:25.811,,2175,369,,NA
ACB2AD,2022/06/28,16:54:29.272,XAMMX,2225,262,3435,XAM
A6B222,2022/06/28,16:54:53.026,ENY3880,9950,403,1200,ENY
ABD010,2022/06/28,16:55:20.301,AAL1948 ,3300,344,2355,AAL
AD2C19,2022/06/28,16:55:36.234,N9062K,9400,99,2462,Private
A1BEE0,2022/06/28,16:55:51.856,,8900,208,2462,NA
A0E086,2022/06/28,16:55:53.643,,43050,92,,NA
A0392B,2022/06/28,16:55:54.799,UAL633,8525,419,6276,UAL
A8C439,2022/06/28,16:56:18.622,UAL633,43350,295,6276,UAL
A3AFE1,2022/06/28,16:56:31.465,XSR337,1450,337,,XSR
A32AD5,2022/06/28,16:56:44.268,ASH5739,7500,107,3407,ASH
A301D8,2022/06/28,16:57:31.649,AAL2466,13450,212,,AAL
AAA644,2022/06/28,16:57:43.558,AAL2466,10300,315,3601,AAL
A3CC82,2022/06/28,16:58:02.066,XSR337,35000,340,,XSR
A944C8,2022/06/28,16:58:09.410,N9062K,5525,260,,Private
A9F424,2022/06/28,16:58:15.126,UPS2906,3800,213,2355,UPS
AC70DA,2022/06/28,16:59:24.476,N113US,11450,350,3421,Private
AA55BD,2022/06/28,16:59:36.816,,26775,435,,NA
ACDCEC,2022/06/28,16:59:37.813,DPJ470,14500,206,3435,DPJ
ACC3B4,2022/06/28,17:00:20.390,XSR337,14225,238,3407,XSR
A3FF26,2022/06/28,17:00:42.591,UAL633,35025,366,,UAL
0D0B3F,2022/06/28,17:00:54.009,DPJ470,27900,413,562,DPJ
AB0D76,2022/06/28,17:01:31.014,AAL1948,35000,420,2217,AAL
A005B7,2022/06/28,17:01:54.017,AAL1948,3825,418,,AAL
ADC65E,2022/06/28,17:01:56.853,,10525,430,,NA
ABB5BF,2022/06/28,17:01:57.389,AAL2168,37000,200,562,AAL
ACB468,2022/06/28,17:02:01.792,N113US,14225,478,,Private
ACA6C0,2022/06/28,17:02:11.412,XSR337,11925,306,,XSR
A39D73,2022/06/28,17:02:21.309,SKW388X,34975,109,,SKW
A24753,2022/06/28,17:03:13.032,AAL1785,1900,432,1557,AAL
A973E0,2022/06/28,17:03:43.004,DAL2481,1975,346,7420,DAL
A997E5,2022/06/28,17:03:53.972,ASH5819,2075,350,6275,ASH
A1DD6C,2022/06/28,17:04:40.577,N26379,9950,90,7430,Private
AB2496,2022/06/28,17:04:44.945,ASH5819,10125,493,6764,ASH
ABE2A3,2022/06/28,17:04:56.565,,2200,492,,NA
A32C96,2022/06/28,17:04:57.982,DAL2481,45000,248,6764,DAL
AC754B,2022/06/28,17:05:10.150,SKW3219,2075,492,,SKW
A791C0,2022/06/28,17:05:12.385,ASH5819,9400,303,436,ASH
A0AA7C,2022/06/28,17:05:18.185,N332CD,2200,492,436,Private
AAAD8F,2022/06/28,17:05:36.912,DAL662,7000,250,2653,DAL
A0F566,2022/06/28,17:06:32.657,DAL2946,8325,490,5273,DAL
AC2BB8,2022/06/28,17:06:34.147,N26379,11700,472,6005,Private
A76DC6,2022/06/28,17:06:56.398,DAL2481,35000,488,436,DAL
A770F3,2022/06/28,17:07:19.756,SKW3219,1325,254,3453,SKW
AA435B,2022/06/28,17:07:25.050,AAL2925,2350,386,5143,AAL
A2767B,2022/06/28,17:07:38.010,N579MH,10650,166,3453,Private
ADCE24,2022/06/28,17:07:45.063,AAL1707,11150,325,,AAL
A7EEC3,2022/06/28,17:07:47.336,N579MH,10100,218,5143,Private
AABD2B,2022/06/28,17:08:05.259,ENY4187,30000,258,5143,ENY
ACB8A0,2022/06/28,17:08:31.201,AAL1707,35000,213,5273,AAL
AAAA8B,2022/06/28,17:08:34.991,N258P,1450,255,6264,Private
ADF068,2022/06/28,17:08:45.705,N26379,11750,255,572,Private
A4AD57,2022/06/28,17:09:01.897,N579MH,14375,170,436,Private
AB1628,2022/06/28,17:09:18.509,ASH5752,1675,250,5211,ASH
A0F73C,2022/06/28,17:09:21.277,YEL2,15025,484,7052,YEL
A2E57E,2022/06/28,17:10:14.521,AAL1844,1950,353,3303,AAL
AD3C16,2022/06/28,17:10:17.889,ASH5752,4850,271,3303,ASH
A8D2A8,2022/06/28,17:10:19.504,ASH5752,8825,93,5211,ASH
A1F317,2022/06/28,17:10:27.190,N579MH,3700,195,,Private
A9BF27,2022/06/28,17:10:36.560,YEL2,4850,254,1333,YEL
AC8287,2022/06/28,17:10:59.971,YEL2,11400,204,,YEL
A43667,2022/06/28,17:11:08.303,ASH5752,14025,488,3466,ASH
A94B72,2022/06/28,17:11:58.684,AAL2722,9700,444,4062,AAL
A944B9,2022/06/28,17:12:12.317,ASH5752,21850,339,5211,ASH
ADC2A7,2022/06/28,17:12:13.199,ASH5752,8675,446,4062,ASH
ACF1A3,2022/06/28,17:12:28.492,AAL942,9300,293,5244,AAL
A02681,2022/06/28,17:12:44.994,,24000,439,,NA
ABAEB2,2022/06/28,17:12:45.590,SWA2995,15250,172,7430,SWA
A0D561,2022/06/28,17:13:31.318,AAL2791 ,14375,303,6210,AAL
ACE5BB,2022/06/28,17:13:47.840,ENY3725,3775,294,,ENY
AA55B5,2022/06/28,17:13:49.263,N86BJ,2125,275,2742,Private
A3696E,2022/06/28,17:13:55.254,N258P,14200,475,,Private
A9BB70,2022/06/28,17:13:57.965,ASH5752,9725,343,7312,ASH
A513EA,2022/06/28,17:14:17.710,N400HG,6750,293,3453,Private
A0E431,2022/06/28,17:14:26.431,AAL2233,15275,439,3453,AAL
AC2A33,2022/06/28,17:14:34.781,YEL2,43025,300,3453,YEL
AB3FC4,2022/06/28,17:14:42.825,N400HG,3225,439,,Private
A52BFB,2022/06/28,17:14:57.655,ENY3763,11150,313,2742,ENY
A58501,2022/06/28,17:15:16.879,AAL2233,2050,427,,AAL
ACAEC8,2022/06/28,17:15:20.743,N400HG,8925,436,2742,Private
AC4067,2022/06/28,17:15:27.220,AAL1390,19425,266,2742,AAL
A8FAA6,2022/06/28,17:16:00.180,ENY3725,10800,169,2234,ENY
AD5720,2022/06/28,17:16:14.972,ENY4132,2625,280,7046,ENY
ABC455,2022/06/28,17:16:54.504,,9800,382,,NA
AD9003,2022/06/28,17:16:54.529,ENY4132,2250,203,,ENY
A69CD1,2022/06/28,17:17:01.291,N889MR,3975,257,1314,Private
ACE5BC,2022/06/28,17:17:15.534,ENY4132,4350,255,5102,ENY
ACD143,2022/06/28,17:17:38.681,AAL2926,4925,325,,AAL
