HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline
A3A9FF,2022-07-02,04:00:07,NA,35000,455,,NA
A3B110,2022-07-02,04:00:19,NA,37000,,,NA
AB4EA9,2022-07-02,04:00:24,NA,13650,360,,NA
71C226,2022-07-02,04:01:06,NA,11125,383,,NA
A45316,2022-07-02,04:03:28,AAL2421,37000,456,1776,AAL
A22778,2022-07-02,04:03:29,AAY9210,39000,459,,AAY
A3C549,2022-07-02,04:07:48,NA,36975,470,,NA
A45F8E,2022-07-02,04:10:09,NA,,,,NA
A224FA,2022-07-02,04:18:54,UAL572,41000,449,3352,UAL
AC8577,2022-07-02,04:29:24,NA,8275,289,,NA
A7302F,2022-07-02,04:39:04,NA,9575,282,,NA
AC7968,2022-07-02,04:39:13,AAL1122,9625,292,,AAL
ACDBEE,2022-07-02,04:42:55,NA,9125,290,,NA
ACF48F,2022-07-02,04:45:57,ASA315,9800,284,2323,ASA
ACBDA1,2022-07-02,04:53:48,SJE9,37000,436,,SJE
A47916,2022-07-02,04:54:06,AMF2145,3275,151,2224,AMF
A8942D,2022-07-02,04:54:52,N652AE,2000,,,Private
A5B769,2022-07-02,05:00:02,OAE577,5375,198,,OAE
ABACD2,2022-07-02,05:01:02,NA,9725,291,,NA
A5C899,2022-07-02,05:02:24,ASA262,35000,447,3576,ASA
A06A09,2022-07-02,05:06:47,NA,8625,277,,NA
A1515B,2022-07-02,05:07:25,AAL2943,2225,184,,AAL
A0AA2B,2022-07-02,05:10:58,AAL504,7900,284,2212,AAL
A448F5,2022-07-02,05:13:13,UAL1589,33000,469,1422,UAL
A0F230,2022-07-02,05:13:19,FDX1499,38025,456,,FDX
ABCA00,2022-07-02,05:14:00,NA,2325,192,,NA
A4F59C,2022-07-02,05:14:06,AAL1521,33000,465,1045,AAL
A37EB0,2022-07-02,05:16:02,AAL367,35000,450,,AAL
A837A3,2022-07-02,05:19:24,UAL2379,33000,468,6651,UAL
AB35CB,2022-07-02,05:25:52,AAL2812,2400,197,2276,AAL
A2AE6C,2022-07-02,05:26:21,NA,38025,459,,NA
ABE65A,2022-07-02,05:27:02,AAL512,9150,296,,AAL
AC5569,2022-07-02,05:30:04,NA,2450,197,,NA
A4E4BF,2022-07-02,05:34:25,UAL2150,35000,454,747,UAL
A8F338,2022-07-02,05:35:42,NA,2525,184,2303,NA
A4C0F7,2022-07-02,05:36:44,NA,35000,462,,NA
86E780,2022-07-02,05:39:48,JAL6714,8875,294,,JAL
A39D95,2022-07-02,05:41:54,DAL1157,2375,181,547,DAL
AB8FEE,2022-07-02,05:42:40,AAL586,9300,279,,AAL
AD9BC8,2022-07-02,05:44:18,AAL856,9150,293,546,AAL
AB663F,2022-07-02,05:44:21,NA,2625,206,,NA
AB7613,2022-07-02,05:45:57,AAL6,8875,289,,AAL
A7011C,2022-07-02,05:47:00,NA,7725,,,NA
A81598,2022-07-02,05:48:07,N62TL,2075,175,5641,Private
A513AC,2022-07-02,05:50:42,UAL2160,35975,466,2533,UAL
A999FD,2022-07-02,06:00:44,N718CF,4025,258,5210,Private
AD1215,2022-07-02,06:02:25,NA,2150,187,,NA
A5818B,2022-07-02,06:06:35,NA,2950,208,,NA
A57B4D,2022-07-02,06:10:27,UAL557,2575,183,2207,UAL
AD56D1,2022-07-02,06:10:30,N959HM,2625,209,,Private
AC02B4,2022-07-02,06:10:45,NA,2300,196,,NA
AB2C72,2022-07-02,06:11:48,NA,2300,190,,NA
AAAD49,2022-07-02,06:12:23,NA,6575,270,,NA
AD7471,2022-07-02,06:12:43,SWA4497,13750,377,2352,SWA
ABD1E3,2022-07-02,06:12:55,NA,37000,472,,NA
AC18FE,2022-07-02,06:15:12,AAL2563,14775,364,2520,AAL
AB3856,2022-07-02,06:16:43,AAL962,11625,288,4115,AAL
AA7315,2022-07-02,06:18:01,SWA2626,5325,223,510,SWA
AA4E52,2022-07-02,06:18:41,SWA2743,30000,446,1174,SWA
A3DC47,2022-07-02,06:18:57,DAL732,2400,189,2234,DAL
4BB14B,2022-07-02,06:19:42,NA,36000,475,,NA
A249FF,2022-07-02,06:20:49,N247,3700,151,,Private
A51F0F,2022-07-02,06:20:58,NA,9675,292,,NA
A057C7,2022-07-02,06:21:07,DAL691,2800,183,2262,DAL
A29A37,2022-07-02,06:22:30,ENY3760,14675,340,5133,ENY
A8FD2C,2022-07-02,06:22:53,NA,6900,270,,NA
A8FE5D,2022-07-02,06:25:37,NKS1022,2475,174,2222,NKS
A30657,2022-07-02,06:25:48,NA,7600,269,,NA
AC0B96,2022-07-02,06:25:49,SWA4540,36000,478,2474,SWA
AA1F5A,2022-07-02,06:31:14,SKW3256,11650,268,2414,SKW
A61987,2022-07-02,06:32:23,SWA4504,11000,354,507,SWA
A0977D,2022-07-02,06:34:31,N137ZM,41000,489,,Private
A3B88E,2022-07-02,06:35:05,AAL1579,2350,212,541,AAL
A57997,2022-07-02,06:36:13,AAL817,8450,292,,AAL
AA26C8,2022-07-02,06:36:43,SKW3071,10975,262,5230,SKW
A0CDF3,2022-07-02,06:37:23,AAL2272,9200,289,,AAL
A1701B,2022-07-02,06:37:48,FDX473,2750,206,,FDX
AAE0CA,2022-07-02,06:39:32,N80PA,4425,145,2214,Private
A5B954,2022-07-02,06:39:46,SWA4590,35000,456,,SWA
A22BF0,2022-07-02,06:40:47,SWA3192,39000,473,2514,SWA
AC76B6,2022-07-02,06:41:15,ENY3647,14275,333,5137,ENY
A9FC6F,2022-07-02,06:42:47,NA,3975,,,NA
ABDC56,2022-07-02,06:42:54,NA,11250,263,,NA
AB2DDB,2022-07-02,06:46:08,NA,3200,135,,NA
AD2C19,2022-07-02,06:48:00,AAL1230,37000,467,2450,AAL
AC1CDD,2022-07-02,06:48:29,N88QC,37000,430,2342,Private
A2E57E,2022-07-02,06:49:54,ENY4046,7900,283,,ENY
A6E667,2022-07-02,06:50:17,N5437J,1700,90,1200,Private
A09702,2022-07-02,06:51:12,NA,31975,478,,NA
AAB202,2022-07-02,06:51:18,NA,9250,292,,NA
ABFCB6,2022-07-02,06:52:03,SWA3416,14900,348,521,SWA
ACB4E9,2022-07-02,06:52:05,ASH5781,13250,302,2570,ASH
AD071D,2022-07-02,06:53:32,ENY3534,10925,259,2516,ENY
A80156,2022-07-02,06:55:19,ENY3832,11300,260,2442,ENY
A7EEC3,2022-07-02,06:55:41,ENY3512,12000,306,5272,ENY
ACB468,2022-07-02,06:56:05,NA,7650,,,NA
A944B9,2022-07-02,06:56:36,ENY4063,11800,263,5117,ENY
ABADF9,2022-07-02,06:56:52,NA,6650,286,,NA
A395D5,2022-07-02,06:57:06,AMF1746,3250,172,5235,AMF
A82E17,2022-07-02,06:57:12,N626S,4975,,2242,Private
A2B133,2022-07-02,06:57:26,UAL469,33000,464,3334,UAL
A87C4F,2022-07-02,06:57:30,JBU610,2475,190,2275,JBU
A05776,2022-07-02,06:57:51,AAL1226,11400,265,3635,AAL
A93997,2022-07-02,06:58:20,ENY3571,9025,290,,ENY
AD6FF2,2022-07-02,06:59:24,AAL2442,11425,263,2417,AAL
A64489,2022-07-02,06:59:45,NA,1550,129,,NA
AD2833,2022-07-02,07:00:00,ASH5772,12975,299,5240,ASH
AB4383,2022-07-02,07:00:20,AAL2768,15575,333,2540,AAL
AA01DE,2022-07-02,07:00:59,SKW3138,12075,305,2512,SKW
A8D2A8,2022-07-02,07:02:02,ENY3848,11175,259,2405,ENY
A992CF,2022-07-02,07:02:58,SKW3026,11725,261,2437,SKW
ABAA43,2022-07-02,07:02:59,NA,4975,261,,NA
A6A85B,2022-07-02,07:03:59,N528TM,7650,210,5107,Private
A9D413,2022-07-02,07:04:25,SKW3211,12000,366,2566,SKW
A24753,2022-07-02,07:04:38,ASH5786,11775,265,2462,ASH
A7101E,2022-07-02,07:04:38,AAL553,2450,207,,AAL
AA797D,2022-07-02,07:04:40,SKW3106,12000,297,2522,SKW
A9E342,2022-07-02,07:04:51,NA,,97,,NA
AB674B,2022-07-02,07:05:22,AAL2862 ,9900,289,,AAL
A3D4C6,2022-07-02,07:06:14,NA,,,,NA
ACED23,2022-07-02,07:06:59,AAL2677,11475,263,751,AAL
AA80EB,2022-07-02,07:08:00,SKW3262,11975,300,5212,SKW
A8C439,2022-07-02,07:08:15,ENY3983,11575,262,5147,ENY
ACD961,2022-07-02,07:08:20,NKS3161,2275,195,2334,NKS
AA234A,2022-07-02,07:08:41,AAL2286,14825,335,1742,AAL
AB4732,2022-07-02,07:09:02,AAL116,7825,286,,AAL
A03038,2022-07-02,07:09:26,DAL1416,2275,200,2213,DAL
AB3655,2022-07-02,07:09:30,UAL1253,37000,464,,UAL
AD8895,2022-07-02,07:10:06,AAL1632,15675,362,2730,AAL
AC8A66,2022-07-02,07:10:38,AAL429,2350,196,,AAL
A4766A,2022-07-02,07:11:21,N387MM,2125,196,,Private
A98515,2022-07-02,07:11:40,SKW3237,11500,266,2556,SKW
AB4010,2022-07-02,07:11:59,N824DP,15875,392,5136,Private
AC508B,2022-07-02,07:12:07,DAL1668,5975,279,,DAL
A48234,2022-07-02,07:12:12,AMF1722,3500,180,2330,AMF
ACDF9A,2022-07-02,07:13:23,AAL2386,2600,181,,AAL
A46D4E,2022-07-02,07:13:41,NA,33000,461,2775,NA
A46CC1,2022-07-02,07:14:25,UAL436,31000,457,,UAL
AD8C4C,2022-07-02,07:14:26,AAL1794,2225,192,565,AAL
A23FE5,2022-07-02,07:14:55,NA,7625,284,,NA
A3A222,2022-07-02,07:15:20,DAL2563,35450,478,7455,DAL
AAF260,2022-07-02,07:15:43,NA,2150,189,,NA
A9B7C4,2022-07-02,07:16:11,NA,2975,238,,NA
AC9AE8,2022-07-02,07:16:36,ASH5820,12175,297,2623,ASH
AD8CEC,2022-07-02,07:18:27,AAL1189,10575,291,1462,AAL
AC3558,2022-07-02,07:18:48,AAL2342,14450,340,2731,AAL
A60814,2022-07-02,07:18:51,UAL380,2650,189,532,UAL
A39AB4,2022-07-02,07:20:28,DAL1662,2475,173,2216,DAL
A695EA,2022-07-02,07:21:48,AAL2627,2475,182,2204,AAL
AD7B17,2022-07-02,07:22:44,AAL2540 ,10325,299,,AAL
A96817,2022-07-02,07:22:55,EAL9801,5000,255,,EAL
ABDCBE,2022-07-02,07:24:16,NA,9750,,,NA
A0B1EA,2022-07-02,07:25:30,DAL1182,2650,178,2264,DAL
A58A67,2022-07-02,07:25:30,NA,11350,326,,NA
AD58FC,2022-07-02,07:25:46,MRA666,3200,132,5111,MRA
