HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline
A5502B,2022/06/19,00:00:04.578,,14425,,,NA
ACFFC2,2022/06/19,00:00:04.763,,6050,392,,NA
ABE0BB,2022/06/19,00:00:05.201,,35000,,,NA
A6FB32,2022/06/19,00:00:05.253,,10450,,,NA
A08EFD,2022/06/19,00:00:06.036,SIL3967,15350,396,,SIL
A6E131,2022/06/19,00:00:32.459,AAL785,2325,192,504,AAL
A7865A,2022/06/19,00:03:14.476,AAL2733,20350,422,2365,AAL
ACDFB1,2022/06/19,00:07:33.835,AAL662,1475,385,,AAL
A1C534,2022/06/19,00:08:15.678,AAL662,9475,393,,AAL
AC5569,2022/06/19,00:11:23.539,SIL3901,2175,191,,SIL
AB53F1,2022/06/19,00:13:41.735,AAL531,9175,383,2370,AAL
AD763F,2022/06/19,00:17:14.398,SIL3923 ,2500,411,2370,SIL
AD260E,2022/06/19,00:22:07.117,SIL3923,8050,200,,SIL
A3ABCD,2022/06/19,00:32:45.639,,,109,,NA
A0B580,2022/06/19,00:33:03.437,N145CL,1300,90,,Private
06A068,2022/06/19,00:35:04.983,QTR65B,2375,196,2327,QTR
ADB0B4,2022/06/19,00:39:01.523,QTR65B,21925,481,1073,QTR
A71B6D,2022/06/19,00:43:34.698,AAL2410,12650,331,1073,AAL
3455C1,2022/06/19,00:52:08.923,IBE6147,39000,180,7376,IBE
AC121A,2022/06/19,00:56:29.140,IBE6147,10350,299,,IBE
A97DA7,2022/06/19,00:59:14.861,SKW3205,2475,180,,SKW
