HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline,NearestHour
A1E3B4,2022-07-07,04:00:05,N2202W,2300,70,,Private,04:00:00
A182AE,2022-07-07,04:00:05,FDX1155,7925,272,,FDX,04:00:00
A1C534,2022-07-07,04:00:09,FFT1100,35025,456,7361,FFT,04:00:00
A0AFA5,2022-07-07,04:00:36,UPS1302,3300,214,506,UPS,04:00:00
AB2B5E,2022-07-07,04:00:57,CFS8276,4075,200,,CFS,04:00:00
AAE9DE,2022-07-07,04:01:25,MTN8277,1575,108,,MTN,04:00:00
A9A750,2022-07-07,04:02:12,NA,35000,490,,NA,04:00:00
A38633,2022-07-07,04:03:34,AAL2421,35000,455,3370,AAL,04:00:00
A03B91,2022-07-07,04:03:44,FDX1151,1650,157,507,FDX,04:00:00
AAFC71,2022-07-07,04:05:36,CFS8284,1850,104,,CFS,04:00:00
A7B520,2022-07-07,04:11:49,NA,7750,290,,NA,04:00:00
A9CB8C,2022-07-07,04:14:09,FDX1159,2500,140,2211,FDX,04:00:00
A395D5,2022-07-07,04:15:19,AMF1746,3600,174,5162,AMF,04:00:00
A7B07C,2022-07-07,04:18:40,FDX5283,2675,164,2366,FDX,04:00:00
A082AC,2022-07-07,04:23:05,AAL819,10350,294,,AAL,04:00:00
A325FD,2022-07-07,04:35:08,AAL1122,10900,299,,AAL,04:00:00
A24DC1,2022-07-07,04:37:31,ASA315,9350,296,547,ASA,04:00:00
AC7AE4,2022-07-07,04:41:27,CFS8291,2250,130,,CFS,04:00:00
A4DBC6,2022-07-07,04:47:01,N412CF,1325,140,4650,Private,04:00:00
ACCD10,2022-07-07,05:05:12,ASA262,35000,451,3525,ASA,05:00:00
A3EF1B,2022-07-07,05:05:23,UAL1657,39000,444,7352,UAL,05:00:00
A0F91D,2022-07-07,05:06:27,AAL1042,2750,172,,AAL,05:00:00
A3A9EB,2022-07-07,05:08:52,AAL367,35000,446,7251,AAL,05:00:00
A2DFFE,2022-07-07,05:16:32,UAL2075,35000,455,3524,UAL,05:00:00
A6246E,2022-07-07,05:17:09,UAL2150,34975,460,2640,UAL,05:00:00
AA2BC1,2022-07-07,05:19:12,UAL1206,10450,279,,UAL,05:00:00
A987BF,2022-07-07,05:21:56,FFT509,2650,185,565,FFT,05:00:00
ACEE50,2022-07-07,05:23:18,AAL2812,2450,199,2273,AAL,05:00:00
ACEF18,2022-07-07,05:28:21,SWA2049,35000,463,513,SWA,05:00:00
A88A67,2022-07-07,05:28:31,N65AF,4000,207,2230,Private,05:00:00
A05BC7,2022-07-07,05:29:09,N122GS,3325,165,,Private,05:00:00
A0FD55,2022-07-07,05:29:43,FDX1499,36025,482,,FDX,05:00:00
ACAE2E,2022-07-07,05:30:56,AAL1552,2525,196,,AAL,05:00:00
A4491A,2022-07-07,05:31:21,UAL1589,35000,461,3415,UAL,05:00:00
A1629D,2022-07-07,05:32:33,FDX1414,36025,480,,FDX,05:00:00
A3DC47,2022-07-07,05:33:07,DAL2536,2525,188,2367,DAL,05:00:00
ABB5A3,2022-07-07,05:37:11,NA,3075,201,2253,NA,05:00:00
AB7FE6,2022-07-07,05:41:38,NA,8850,286,,NA,05:00:00
A51F0F,2022-07-07,05:41:43,SWA1218,38000,463,2421,SWA,05:00:00
A72C78,2022-07-07,05:44:12,AAL856,3100,161,524,AAL,05:00:00
A071C2,2022-07-07,05:47:22,DAL1647,2725,168,2337,DAL,05:00:00
86E4B8,2022-07-07,05:51:27,NA,10050,296,,NA,05:00:00
AA34ED,2022-07-07,05:53:17,N757KB,1900,,1200,Private,05:00:00
A91349,2022-07-07,05:55:23,NKS1967,2550,180,2245,NKS,05:00:00
AA9E28,2022-07-07,06:00:32,SWA1598,36000,461,2162,SWA,06:00:00
AB30E6,2022-07-07,06:00:44,AAL962,11950,320,7454,AAL,06:00:00
ABD5BB,2022-07-07,06:04:16,SWA1308,36000,465,2433,SWA,06:00:00
AD574F,2022-07-07,06:04:59,NA,2775,193,2306,NA,06:00:00
A9E26F,2022-07-07,06:06:16,NA,32300,455,,NA,06:00:00
89911E,2022-07-07,06:09:23,CAL5261,3000,180,2341,CAL,06:00:00
A06A5A,2022-07-07,06:09:49,DAL421,2750,178,521,DAL,06:00:00
A5B1A8,2022-07-07,06:12:15,UAL557,2775,164,2346,UAL,06:00:00
ABB245,2022-07-07,06:13:00,SWA2212,37000,452,2431,SWA,06:00:00
A61024,2022-07-07,06:14:12,N490AM,14900,373,,Private,06:00:00
AC82F8,2022-07-07,06:14:49,AAL2567,2500,193,,AAL,06:00:00
AAAA1E,2022-07-07,06:15:51,NA,8875,291,,NA,06:00:00
AB5AFE,2022-07-07,06:17:04,NA,2375,,,NA,06:00:00
A1EA70,2022-07-07,06:17:07,NA,7500,292,,NA,06:00:00
AC76B6,2022-07-07,06:17:26,NA,8200,268,,NA,06:00:00
A1DC86,2022-07-07,06:18:17,FFL610,1675,139,,FFL,06:00:00
AB04F3,2022-07-07,06:18:40,NA,2325,190,,NA,06:00:00
A42EFC,2022-07-07,06:20:34,DAL732,2475,182,2216,DAL,06:00:00
ABFD66,2022-07-07,06:24:05,NA,6875,,,NA,06:00:00
A1AC42,2022-07-07,06:26:17,N207CM,11975,260,2272,Private,06:00:00
ABBCA1,2022-07-07,06:26:49,SWA2867,11100,332,,SWA,06:00:00
A223BA,2022-07-07,06:27:44,ENY3760,14800,342,5146,ENY,06:00:00
ADD3DC,2022-07-07,06:29:38,NA,2475,207,,NA,06:00:00
