HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline
A344C5,2022-07-06,20:01:29,GTX889,4500,170,5216,GTX
A1BE72,2022-07-06,20:01:29,NA,2650,183,,NA
A57B4D,2022-07-06,20:01:29,UAL329,36375,462,2514,UAL
A4EA77,2022-07-06,20:01:29,AAL339,11775,336,6264,AAL
A62436,2022-07-06,20:01:29,N495RV,2800,124,1200,Private
A12ADB,2022-07-06,20:01:29,N1743S,3525,92,,Private
A27197,2022-07-06,20:01:29,ATN3411,7325,273,2225,ATN
ABDCBE,2022-07-06,20:01:30,SWA1339,22000,438,3416,SWA
A05776,2022-07-06,20:01:30,AAL695,12050,273,3563,AAL
A915CF,2022-07-06,20:01:30,ENY3596,12150,354,,ENY
A8E6F2,2022-07-06,20:01:31,NA,15025,410,,NA
AB17E1,2022-07-06,20:01:33,N8137U,1600,118,,Private
A0480B,2022-07-06,20:01:33,NA,10925,346,,NA
AB35CB,2022-07-06,20:01:35,AAL1578,15400,380,,AAL
AE5623,2022-07-06,20:01:39,RONIN08,28000,257,1124,RONIN
A243CB,2022-07-06,20:02:01,NA,2250,198,,NA
A3CD7D,2022-07-06,20:02:37,AAL2628,8950,298,542,AAL
A9741D,2022-07-06,20:03:23,NA,2525,188,543,NA
AD4FB2,2022-07-06,20:03:28,ASH5871,10875,270,2452,ASH
A832BE,2022-07-06,20:03:36,N6271E,1100,63,1200,Private
AC7C52,2022-07-06,20:04:23,NA,9150,,,NA
A4EE59,2022-07-06,20:04:34,N417CF,1950,135,,Private
AB586F,2022-07-06,20:04:58,NA,13175,383,,NA
A40797,2022-07-06,20:05:19,NA,2525,203,,NA
AB0485,2022-07-06,20:06:15,AAL2761,2425,195,3660,AAL
AA26C8,2022-07-06,20:06:43,SKW3077,2425,192,6217,SKW
A4FD0E,2022-07-06,20:07:25,NA,11125,303,,NA
AB04F3,2022-07-06,20:07:34,SCX506  ,12050,273,6156,SCX
A0C075,2022-07-06,20:07:38,AAL1207,2400,179,2207,AAL
AD7ECE,2022-07-06,20:08:18,AAL2708,2475,361,,AAL
AA395B,2022-07-06,20:09:27,SKW3087,12100,270,7255,SKW
ACD143,2022-07-06,20:09:53,ASH5693,2525,199,,ASH
ACF1A3,2022-07-06,20:10:25,NA,7100,286,,NA
AC7A33,2022-07-06,20:12:00,AAL1123,2425,,,AAL
ACCD8C,2022-07-06,20:12:43,ASH5791,13900,341,7212,ASH
ACD1F3,2022-07-06,20:12:47,NKS1017 ,11325,251,6144,NKS
A76134,2022-07-06,20:13:40,N575CF,3500,259,,Private
A11893,2022-07-06,20:14:06,N17TX,38025,368,2274,Private
A777BF,2022-07-06,20:14:27,AAL1525,9125,300,2203,AAL
A508C5,2022-07-06,20:15:12,SWA2601,39000,441,1531,SWA
A32437,2022-07-06,20:15:30,DAL1303,31675,469,3035,DAL
A0D99A,2022-07-06,20:15:49,N154FT,2000,62,1200,Private
A165E4,2022-07-06,20:16:33,N19AT,2075,154,,Private
A06BCC,2022-07-06,20:16:47,UPS9309,4325,186,3641,UPS
A01EBA,2022-07-06,20:16:48,N107AE,1100,97,,Private
AD0497,2022-07-06,20:18:24,NKS3163,11875,270,,NKS
A09CAD,2022-07-06,20:18:53,AAL2254,2375,185,,AAL
A098F6,2022-07-06,20:20:15,AAL2837,2800,175,2334,AAL
AC045E,2022-07-06,20:20:47,NA,,,,NA
AD58FC,2022-07-06,20:21:44,MRA666,6700,186,5170,MRA
A6EC56,2022-07-06,20:22:00,AAL1229,14250,400,4577,AAL
AA9F1C,2022-07-06,20:22:46,SWA675,11425,340,2262,SWA
ACE96A,2022-07-06,20:23:07,ASA703,2225,209,6210,ASA
ABFCDA,2022-07-06,20:24:01,NA,6125,295,,NA
AB5FDD,2022-07-06,20:24:19,AAL2426,2600,190,3411,AAL
A3D4ED,2022-07-06,20:24:26,AAL1916,2425,196,2323,AAL
