HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline,NearestHour
A5C118,2022-06-25,08:00:11,N47ZZ,5850,145,562,Private,08:00:00
A1FB1A,2022-06-25,08:00:12,ATN4341 ,7750,285,534,ATN,08:00:00
A832BE,2022-06-25,08:00:12,N6271E,1500,84,1200,Private,08:00:00
AC893A,2022-06-25,08:00:13,AAL1034,10225,264,3245,AAL,08:00:00
A44596,2022-06-25,08:00:17,N3744L,3100,79,5241,Private,08:00:00
AB2169,2022-06-25,08:00:25,UAL2371,7675,284,505,UAL,08:00:00
A868F0,2022-06-25,08:00:27,N64099,3575,107,,Private,08:00:00
A2396E,2022-06-25,08:00:43,SWA4354,10850,312,5202,SWA,08:00:00
AB525F,2022-06-25,08:00:55,AAL928,4600,178,526,AAL,08:00:00
ACDFB1,2022-06-25,08:00:56,NA,1700,,,NA,08:00:00
ABA91B,2022-06-25,08:01:26,NA,35000,459,,NA,08:00:00
AD4FE1,2022-06-25,08:01:36,AAL1632,14950,351,7467,AAL,08:00:00
A330A0,2022-06-25,08:01:42,UAL2167,34000,455,3652,UAL,08:00:00
AD41CD,2022-06-25,08:02:02,SWA4737,15775,379,2262,SWA,08:00:00
A40DE9,2022-06-25,08:03:11,NA,2475,,,NA,08:00:00
ACFBAF,2022-06-25,08:04:53,N9358C,1700,73,1200,Private,08:00:00
AC8577,2022-06-25,08:05:32,AAL1750,11975,267,6153,AAL,08:00:00
A91B40,2022-06-25,08:05:38,VYR686,22325,363,,VYR,08:00:00
A661AA,2022-06-25,08:05:40,N510CJ,3950,219,2724,Private,08:00:00
A4870D,2022-06-25,08:06:02,FFT2133,2375,178,6213,FFT,08:00:00
AC04D3,2022-06-25,08:06:02,SWA4426,15450,377,564,SWA,08:00:00
AB48E8,2022-06-25,08:07:23,UAL1182,2475,178,6201,UAL,08:00:00
AA75EF,2022-06-25,08:07:28,UAL2229,38000,507,7360,UAL,08:00:00
A9BD56,2022-06-25,08:08:02,NA,,171,,NA,08:00:00
A004C1,2022-06-25,08:09:03,N100AN,3975,188,4043,Private,08:00:00
71C085,2022-06-25,08:09:12,KAL031,8825,295,,KAL,08:00:00
A0DAE2,2022-06-25,08:09:15,AAL888  ,12000,277,2555,AAL,08:00:00
AB3133,2022-06-25,08:12:07,DAL761,35000,449,,DAL,08:00:00
AA435B,2022-06-25,08:12:27,AAL579,15450,349,1116,AAL,08:00:00
ACE7AA,2022-06-25,08:12:32,SWA2417,12050,362,2273,SWA,08:00:00
AB1A2D,2022-06-25,08:13:29,BTQ928,2000,194,5250,BTQ,08:00:00
A54B30,2022-06-25,08:13:40,LXJ440,2900,295,,LXJ,08:00:00
A65F93,2022-06-25,08:14:13,00000000,11975,282,1616,NA,08:00:00
A496CB,2022-06-25,08:14:45,EJA395,3000,274,,EJA,08:00:00
ADD3DC,2022-06-25,08:15:29,AAL2335,8550,294,3042,AAL,08:00:00
AB4EA8,2022-06-25,08:15:39,AAL809,15450,338,4277,AAL,08:00:00
86E7A2,2022-06-25,08:16:08,JAL6713,2800,176,6277,JAL,08:00:00
A732D9,2022-06-25,08:16:26,JBU939,36000,468,3002,JBU,08:00:00
A2E806,2022-06-25,08:16:45,ASA263,34000,498,4006,ASA,08:00:00
A4BC93,2022-06-25,08:16:55,FWK404,38000,495,2707,FWK,08:00:00
AB3446,2022-06-25,08:16:56,NA,2300,69,,NA,08:00:00
A9F302,2022-06-25,08:17:03,SKW3210,12000,270,3122,SKW,08:00:00
AA7975,2022-06-25,08:17:19,NA,,197,,NA,08:00:00
A2F092,2022-06-25,08:18:09,ENY3687,15200,361,3262,ENY,08:00:00
A8C74E,2022-06-25,08:18:18,FDX410  ,3225,225,3415,FDX,08:00:00
A3244A,2022-06-25,08:18:27,AAL1066,16200,353,3236,AAL,08:00:00
ACEBEA,2022-06-25,08:19:15,N9311Q,1050,81,1200,Private,08:00:00
ACEA96,2022-06-25,08:19:28,NKS3121,11975,281,3666,NKS,08:00:00
ACF5BE,2022-06-25,08:19:46,AAL1098,10425,330,7042,AAL,08:00:00
A37EAA,2022-06-25,08:20:04,N324RG,1750,159,,Private,08:00:00
A360EA,2022-06-25,08:20:25,ATN4313,2925,167,577,ATN,08:00:00
A85440,2022-06-25,08:20:37,N636CH,3450,135,,Private,08:00:00
AB2E55,2022-06-25,08:20:47,N81981,2500,58,,Private,08:00:00
A28017,2022-06-25,08:20:53,NA,3425,,,NA,08:00:00
AC828F,2022-06-25,08:22:43,ENY3632,14425,348,5270,ENY,08:00:00
0D081C,2022-06-25,08:23:09,VOI948,37000,460,,VOI,08:00:00
ACF841,2022-06-25,08:24:17,ENY4192,8050,278,5221,ENY,08:00:00
AA5212,2022-06-25,08:24:43,N764TE,15625,330,561,Private,08:00:00
ACF1D8,2022-06-25,08:24:58,ASH5689,11850,256,2157,ASH,08:00:00
A35FAB,2022-06-25,08:25:01,N3161W,4100,119,2347,Private,08:00:00
A31BBF,2022-06-25,08:25:31,N3MM,16825,297,3423,Private,08:00:00
ABC40D,2022-06-25,08:25:49,SWA1499,13200,386,2265,SWA,08:00:00
A1B82F,2022-06-25,08:26:11,N21LM,1700,186,,Private,08:00:00
AD8C4C,2022-06-25,08:26:28,AAL1369,11900,292,3533,AAL,08:00:00
A29199,2022-06-25,08:27:54,NA,2375,141,,NA,08:00:00
ACDD1B,2022-06-25,08:27:59,AAL2487,17150,372,7046,AAL,08:00:00
ACC3B4,2022-06-25,08:28:04,AAL2612,9075,291,,AAL,08:00:00
A98445,2022-06-25,08:28:08,JBU2798,34000,485,2425,JBU,08:00:00
AD1C11,2022-06-25,08:28:30,AAL2111,9475,290,,AAL,08:00:00
A0E784,2022-06-25,08:28:40,N1577G,4025,163,,Private,08:00:00
A24B0A,2022-06-25,08:29:46,ASH5736,2725,184,2201,ASH,08:00:00
A4ACAE,2022-06-25,08:29:58,AAL999,34000,492,1330,AAL,08:00:00
A48045,2022-06-25,08:30:11,N38983,2475,95,1200,Private,08:00:00
A1DC86,2022-06-25,08:30:40,FFL610,2025,111,,FFL,08:00:00
A0CDF3,2022-06-25,08:30:46,AAL2720,2500,168,3450,AAL,08:00:00
AC250B,2022-06-25,08:31:41,NA,16350,,,NA,08:00:00
A1D425,2022-06-25,08:31:45,N217GM,3475,141,2315,Private,08:00:00
A26B51,2022-06-25,08:32:39,AAY2782,35475,472,7372,AAY,08:00:00
A169AD,2022-06-25,08:32:51,NA,15775,188,,NA,08:00:00
A6E131,2022-06-25,08:33:00,AAL2960,2575,187,,AAL,08:00:00
A1EF65,2022-06-25,08:33:24,NA,,,,NA,08:00:00
AB5FDA,2022-06-25,08:33:42,NA,4000,126,,NA,08:00:00
A10D82,2022-06-25,08:33:59,AAL2603,2450,170,6273,AAL,08:00:00
AADC11,2022-06-25,08:34:01,N79919,2800,90,1200,Private,08:00:00
ADBB39,2022-06-25,08:34:03,AAL2114,2550,194,3653,AAL,08:00:00
A09947,2022-06-25,08:34:06,DAL1520,34225,483,2427,DAL,08:00:00
A4609C,2022-06-25,08:34:12,N381SL,27000,236,1471,Private,08:00:00
AB82E2,2022-06-25,08:34:16,N8405B,2100,67,1200,Private,08:00:00
AD4FB2,2022-06-25,08:35:03,ASH5780,2350,192,2276,ASH,08:00:00
A1C7B0,2022-06-25,08:35:32,N2135B,1500,101,1200,Private,08:00:00
AA720F,2022-06-25,08:35:47,SKW3143,8025,201,3251,SKW,08:00:00
ABBC75,2022-06-25,08:35:54,NA,4525,394,,NA,08:00:00
ABF78F,2022-06-25,08:36:13,AAL562,2275,189,6245,AAL,08:00:00
A7A644,2022-06-25,08:36:30,EJA592  ,3000,220,,EJA,08:00:00
ACEE50,2022-06-25,08:36:37,AAL2792,14350,337,7206,AAL,08:00:00
ADAC5D,2022-06-25,08:36:38,AAL2558,11875,274,3711,AAL,08:00:00
A203A9,2022-06-25,08:36:47,ENY3850,2325,191,6257,ENY,08:00:00
AB4E94,2022-06-25,08:37:03,AAL520,2525,189,3453,AAL,08:00:00
AA5D60,2022-06-25,08:38:22,AAL1344,11925,312,3422,AAL,08:00:00
A3A4B1,2022-06-25,08:38:25,NA,6925,282,,NA,08:00:00
ADB3CB,2022-06-25,08:38:52,AAL2788,7800,275,,AAL,08:00:00
AAFD17,2022-06-25,08:38:54,AAL2420,2300,192,551,AAL,08:00:00
AC79A3,2022-06-25,08:39:18,AAL2463,2625,178,2306,AAL,08:00:00
A29DEE,2022-06-25,08:39:30,ENY3847,11850,279,1564,ENY,08:00:00
A0318B,2022-06-25,08:39:33,N111SS,2925,197,2452,Private,08:00:00
867F68,2022-06-25,08:40:00,JAL11,8525,286,2256,JAL,08:00:00
AD7B17,2022-06-25,08:40:15,AAL1061,2300,195,3473,AAL,08:00:00
A4D7E4,2022-06-25,08:40:33,AAL1983,31975,500,3306,AAL,08:00:00
ACAD7B,2022-06-25,08:40:44,ASH5756,2525,193,3465,ASH,08:00:00
AD1D3A,2022-06-25,08:40:45,NKS233,11525,269,2522,NKS,08:00:00
A1BE09,2022-06-25,08:41:05,NA,4950,,,NA,08:00:00
A74679,2022-06-25,08:41:13,AAL1954,32025,502,7117,AAL,08:00:00
ACAB3F,2022-06-25,08:41:16,NA,11350,370,,NA,08:00:00
A8C83B,2022-06-25,08:41:58,EJA665,10275,352,,EJA,08:00:00
A0BCB2,2022-06-25,08:41:58,NA,2475,172,,NA,08:00:00
AA26C8,2022-06-25,08:42:14,SKW3082,8550,292,2306,SKW,08:00:00
A0ADE2,2022-06-25,08:42:19,AAL1220,11900,273,3630,AAL,08:00:00
A97DA7,2022-06-25,08:42:23,SKW4935,2550,187,5217,SKW,08:00:00
A1BE72,2022-06-25,08:42:59,ENY3992,2350,198,2240,ENY,08:00:00
A757AE,2022-06-25,08:43:01,AAL812,16300,355,2645,AAL,08:00:00
AAF960,2022-06-25,08:43:07,AAL1410,11100,375,,AAL,08:00:00
A1FFF2,2022-06-25,08:43:48,ENY4061,11725,270,3175,ENY,08:00:00
ADB782,2022-06-25,08:43:50,NA,2300,199,6225,NA,08:00:00
A72692,2022-06-25,08:44:09,N56WN,4975,257,,Private,08:00:00
A4200D,2022-06-25,08:44:15,DAL2654,2525,187,6246,DAL,08:00:00
ABFE12,2022-06-25,08:44:45,SKW3019,8500,293,6245,SKW,08:00:00
A07421,2022-06-25,08:44:46,N12820,3500,70,,Private,08:00:00
A6EC56,2022-06-25,08:44:52,AAL1304,3175,180,507,AAL,08:00:00
A15516,2022-06-25,08:44:55,AAL1567,11975,276,7170,AAL,08:00:00
A3BD5F,2022-06-25,08:45:11,XSR340,1350,153,,XSR,08:00:00
AA9BB8,2022-06-25,08:45:19,NA,2375,182,6234,NA,08:00:00
AA1F97,2022-06-25,08:45:28,AAL2326,9325,289,7050,AAL,08:00:00
A8AAA5,2022-06-25,08:45:54,SKW3271 ,15175,357,725,SKW,08:00:00
AB44A7,2022-06-25,08:45:54,AAL2593,2425,181,6220,AAL,08:00:00
AB6316,2022-06-25,08:45:55,NA,15550,390,,NA,08:00:00
AC608E,2022-06-25,08:46:04,AAL2378,11950,276,7202,AAL,08:00:00
A24EC1,2022-06-25,08:46:57,ASH5838,2550,200,5145,ASH,08:00:00
A8B4BB,2022-06-25,08:47:29,FDX1517,4300,235,,FDX,08:00:00
A96F07,2022-06-25,08:47:30,SKW3145,3575,193,5156,SKW,08:00:00
A1E3B4,2022-06-25,08:47:42,N2202W,1700,64,1200,Private,08:00:00
A1DC2A,2022-06-25,08:47:45,ENY3960,11725,270,7052,ENY,08:00:00
AA797D,2022-06-25,08:47:56,SKW3208,2375,198,6256,SKW,08:00:00
AC5920,2022-06-25,08:48:30,NA,2225,206,,NA,08:00:00
A80113,2022-06-25,08:49:17,N6148J,1725,70,,Private,08:00:00
AAE465,2022-06-25,08:49:33,AAL546P,2275,182,6231,AAL,08:00:00
A2FE21,2022-06-25,08:49:34,ENY3554,11650,271,3007,ENY,08:00:00
AD3D4E,2022-06-25,08:50:08,AAL1174,2525,188,3444,AAL,08:00:00
A93AC8,2022-06-25,08:50:29,NKS469,11675,275,3712,NKS,08:00:00
AC9AE8,2022-06-25,08:50:35,ASH5687,2675,206,7216,ASH,08:00:00
A1057A,2022-06-25,08:51:24,AAL2543,19025,385,524,AAL,08:00:00
A93997,2022-06-25,08:51:32,ENY4194,3100,188,5237,ENY,08:00:00
A46DE3,2022-06-25,08:51:37,N385AF,2025,268,5220,Private,08:00:00
A1EEFC,2022-06-25,08:51:39,N2233W,1700,73,1200,Private,08:00:00
ABD60B,2022-06-25,08:51:47,NA,6025,281,,NA,08:00:00
ADBEF0,2022-06-25,08:52:05,AAL2847,2350,201,,AAL,08:00:00
A3FC70,2022-06-25,08:52:11,NA,4450,114,,NA,08:00:00
A9504D,2022-06-25,08:52:36,N7EN,1775,197,5126,Private,08:00:00
A7DF23,2022-06-25,08:52:45,SKW265W,8450,293,2324,SKW,08:00:00
AB2AE0,2022-06-25,08:52:46,AAL2680,11950,268,6212,AAL,08:00:00
ACC799,2022-06-25,08:53:30,NA,4225,363,,NA,08:00:00
ACCD13,2022-06-25,08:53:36,AAL1363,2175,214,6265,AAL,08:00:00
AB84C9,2022-06-25,08:54:08,AAL867,10275,264,2130,AAL,08:00:00
A4766A,2022-06-25,08:54:08,N387MM,1600,183,3651,Private,08:00:00
A791C0,2022-06-25,08:54:34,NA,2500,183,3665,NA,08:00:00
A76DF8,2022-06-25,08:54:38,NA,9200,288,,NA,08:00:00
A2F6B3,2022-06-25,08:55:14,ENY3727,11975,309,3121,ENY,08:00:00
AD83B2,2022-06-25,08:55:28,AAL1271,2275,185,3425,AAL,08:00:00
AA5D23,2022-06-25,08:55:35,SKW4952,2400,181,2214,SKW,08:00:00
A356F6,2022-06-25,08:55:49,AAL2611,11925,284,1550,AAL,08:00:00
A37D3D,2022-06-25,08:56:30,XSR324,43000,425,2533,XSR,08:00:00
A313BF,2022-06-25,08:56:33,ENY3321,2300,197,5161,ENY,08:00:00
AB473A,2022-06-25,08:56:36,AAL1993,2750,185,550,AAL,08:00:00
ADDA1E,2022-06-25,08:57:08,AAL2759,2425,190,3634,AAL,08:00:00
A42B32,2022-06-25,08:57:14,DAL1330,17475,387,7077,DAL,08:00:00
ABD77E,2022-06-25,08:57:24,AAL2204,12025,274,7004,AAL,08:00:00
AA0701,2022-06-25,08:57:34,AAL982,2475,181,,AAL,08:00:00
A7865A,2022-06-25,08:57:59,N584SF,3100,86,,Private,08:00:00
ABEDC8,2022-06-25,08:58:01,AAL2944,2450,190,2272,AAL,08:00:00
A87CA9,2022-06-25,08:58:04,N646MS,1500,75,,Private,08:00:00
A0F566,2022-06-25,08:58:08,AAL1857,14025,384,2357,AAL,08:00:00
A09FDA,2022-06-25,08:58:11,N1396R,1650,71,4634,Private,08:00:00
A336E3,2022-06-25,08:58:20,AAL1281,12000,272,7430,AAL,08:00:00
A97AB2,2022-06-25,08:58:30,N71LD,1100,111,6276,Private,08:00:00
A8FD2C,2022-06-25,08:58:46,ENY3693,3375,201,5243,ENY,08:00:00
A2BEC7,2022-06-25,08:58:54,SWA4373,38000,478,,SWA,08:00:00
A7F9E8,2022-06-25,08:59:25,ENY4002,3025,228,5245,ENY,08:00:00
AB3214,2022-06-25,08:59:39,AAL802,11025,269,7053,AAL,08:00:00
AA234A,2022-06-25,08:59:44,AAL2029,2625,185,3477,AAL,08:00:00
A98051,2022-06-25,09:00:40,FFT1247,11825,272,702,FFT,09:00:00
ADAB36,2022-06-25,09:00:42,DAL1668,8550,296,,DAL,09:00:00
A18403,2022-06-25,09:00:48,AAL2767,2775,191,2363,AAL,09:00:00
AB1D96,2022-06-25,09:01:04,SCX515,2200,177,3461,SCX,09:00:00
AA75C6,2022-06-25,09:01:47,SKW3036,12000,278,2026,SKW,09:00:00
ACDBE7,2022-06-25,09:01:51,ENY4236,2550,210,,ENY,09:00:00
A528D6,2022-06-25,09:01:57,NA,5250,297,,NA,09:00:00
ADAEE8,2022-06-25,09:01:58,AAL1812,2250,192,6254,AAL,09:00:00
A4AFBE,2022-06-25,09:02:50,AAL1658,11925,275,2134,AAL,09:00:00
AC3558,2022-06-25,09:03:02,AAL1276,2250,201,,AAL,09:00:00
A98515,2022-06-25,09:03:03,SKW3229,2475,202,3432,SKW,09:00:00
AC382E,2022-06-25,09:03:21,DAL956,34000,493,6027,DAL,09:00:00
A011AC,2022-06-25,09:03:43,AAL476,34000,467,,AAL,09:00:00
A9E93B,2022-06-25,09:03:53,SKW213R,2400,198,,SKW,09:00:00
ABE450,2022-06-25,09:04:34,NA,10925,312,,NA,09:00:00
A9B2E0,2022-06-25,09:04:42,SKW3090,2275,206,3673,SKW,09:00:00
A50A88,2022-06-25,09:05:23,AAL2199,2425,193,6243,AAL,09:00:00
ACD2BE,2022-06-25,09:05:37,SWA1198,10625,289,,SWA,09:00:00
A34755,2022-06-25,09:05:48,N310FG,3475,139,,Private,09:00:00
A9F6B9,2022-06-25,09:06:12,SKW3235,2500,193,5255,SKW,09:00:00
ACA3A3,2022-06-25,09:06:27,AAL1754,2475,185,6217,AAL,09:00:00
ACF946,2022-06-25,09:06:38,ASH5863,9575,299,7051,ASH,09:00:00
A77B76,2022-06-25,09:06:59,AAL2655,2525,184,3606,AAL,09:00:00
A88E32,2022-06-25,09:07:15,NA,,,,NA,09:00:00
A94105,2022-06-25,09:07:36,ENY3313,11875,279,1663,ENY,09:00:00
A9CB83,2022-06-25,09:07:53,NA,2250,193,,NA,09:00:00
AC23EF,2022-06-25,09:08:05,NA,35000,488,,NA,09:00:00
ACAEC8,2022-06-25,09:08:41,AAL402,2475,177,2277,AAL,09:00:00
ACDC47,2022-06-25,09:08:42,N928EA,4475,171,,Private,09:00:00
A98B7B,2022-06-25,09:08:45,N714FW,1800,94,1200,Private,09:00:00
A6E89F,2022-06-25,09:08:48,AAL2743,2650,177,3452,AAL,09:00:00
A1E9AC,2022-06-25,09:09:27,ENY3622,11475,273,7257,ENY,09:00:00
A0AA2B,2022-06-25,09:09:56,AAL353,2300,183,,AAL,09:00:00
A8F207,2022-06-25,09:10:07,ENY3875,3100,197,,ENY,09:00:00
ACB4E9,2022-06-25,09:10:39,ASH5804,11275,270,7247,ASH,09:00:00
A4D621,2022-06-25,09:10:44,SWA975,16975,393,5212,SWA,09:00:00
A7EEC3,2022-06-25,09:11:15,ENY4021,2625,201,5114,ENY,09:00:00
ABF32F,2022-06-25,09:11:18,SWA4827,36000,493,2757,SWA,09:00:00
A0416E,2022-06-25,09:11:32,N1152K,10950,161,,Private,09:00:00
A5E1B7,2022-06-25,09:11:56,N4784A,2500,65,1200,Private,09:00:00
A733E6,2022-06-25,09:12:02,AAL2683,2600,180,,AAL,09:00:00
A5E48A,2022-06-25,09:12:28,SWA3213,6875,291,,SWA,09:00:00
AAED17,2022-06-25,09:12:41,AAL619,2775,173,,AAL,09:00:00
A2A506,2022-06-25,09:12:45,N27KB,1500,196,3476,Private,09:00:00
A08663,2022-06-25,09:12:59,NA,2800,166,3430,NA,09:00:00
A810A7,2022-06-25,09:13:00,NA,8950,,,NA,09:00:00
AA0A6E,2022-06-25,09:13:27,SKW3181,2325,190,517,SKW,09:00:00
AD2EA4,2022-06-25,09:13:46,AAL304,2325,201,,AAL,09:00:00
A9F54B,2022-06-25,09:13:59,N7403,18150,388,6270,Private,09:00:00
A42F2A,2022-06-25,09:14:06,EJA369,2575,430,2307,EJA,09:00:00
A52D50,2022-06-25,09:14:24,N4323C,1300,88,,Private,09:00:00
A263DC,2022-06-25,09:14:27,NA,2325,182,2340,NA,09:00:00
A558B6,2022-06-25,09:14:28,N4434R,1650,100,1200,Private,09:00:00
A03B67,2022-06-25,09:14:30,NA,32000,,,NA,09:00:00
A008C9,2022-06-25,09:14:45,DAL378,2825,176,3650,DAL,09:00:00
A69BD2,2022-06-25,09:15:03,NA,3850,,,NA,09:00:00
A2C1B6,2022-06-25,09:15:16,ENY3786,2525,170,2365,ENY,09:00:00
A0DE99,2022-06-25,09:15:29,AAL1067,7550,282,,AAL,09:00:00
A29A37,2022-06-25,09:15:44,ENY3738,2425,187,3674,ENY,09:00:00
A14CA5,2022-06-25,09:16:13,N183JM,1075,151,6233,Private,09:00:00
A17527,2022-06-25,09:16:15,AAL2193,12350,276,,AAL,09:00:00
A9B402,2022-06-25,09:16:26,SKW3163,2425,187,553,SKW,09:00:00
AD4873,2022-06-25,09:16:32,AAL1429,2375,182,504,AAL,09:00:00
A25C6E,2022-06-25,09:16:59,ENY4153,8350,290,,ENY,09:00:00
AE2F9A,2022-06-25,09:17:02,RANGR10,4250,240,3035,RANGR,09:00:00
A2B2DA,2022-06-25,09:17:25,ENY3674,2125,191,2323,ENY,09:00:00
AC5EBC,2022-06-25,09:17:36,N8965Y,8500,161,1200,Private,09:00:00
AD8895,2022-06-25,09:18:16,AAL1214,9475,279,,AAL,09:00:00
ACC954,2022-06-25,09:18:17,NA,2425,197,,NA,09:00:00
0D0CB1,2022-06-25,09:18:27,VOI940,36975,463,2666,VOI,09:00:00
A16BF6,2022-06-25,09:18:53,AMF8042,2275,159,,AMF,09:00:00
ACBEB0,2022-06-25,09:19:33,NA,2525,174,3603,NA,09:00:00
AC390F,2022-06-25,09:19:36,AAL1838,2400,196,,AAL,09:00:00
A7EE0E,2022-06-25,09:20:13,N61T,3125,137,,Private,09:00:00
A0C42C,2022-06-25,09:20:22,AAL668,11775,271,6235,AAL,09:00:00
A0D19E,2022-06-25,09:20:35,AAL1820,2475,184,2332,AAL,09:00:00
AB7394,2022-06-25,09:20:49,AAL2374,2275,196,,AAL,09:00:00
ADE8FA,2022-06-25,09:21:37,NA,2425,181,6223,NA,09:00:00
ACA9C4,2022-06-25,09:21:54,ASH5832,11975,276,7101,ASH,09:00:00
AB00CE,2022-06-25,09:21:59,NA,2675,179,6210,NA,09:00:00
ABF3B8,2022-06-25,09:22:20,SWA4602,13825,392,6251,SWA,09:00:00
A944B9,2022-06-25,09:22:42,ENY3941,3150,192,6266,ENY,09:00:00
ABC3C6,2022-06-25,09:23:15,NA,5975,290,,NA,09:00:00
AD20F4,2022-06-25,09:23:52,AAL384,2675,201,514,AAL,09:00:00
AD9811,2022-06-25,09:23:53,AAL431,9200,291,3664,AAL,09:00:00
A972BE,2022-06-25,09:24:00,NA,2050,198,2252,NA,09:00:00
ADDDD5,2022-06-25,09:24:36,AAL1550,2375,185,2260,AAL,09:00:00
AE5C56,2022-06-25,09:25:36,NA,3950,247,,NA,09:00:00
A1C5E0,2022-06-25,09:25:39,ENY4179,9050,290,575,ENY,09:00:00
A43EE5,2022-06-25,09:25:48,UAL2053,36000,485,7237,UAL,09:00:00
AC468D,2022-06-25,09:26:14,AAL1118,2225,201,6203,AAL,09:00:00
ACF1A3,2022-06-25,09:26:25,ENY4233,2425,195,2253,ENY,09:00:00
A8C439,2022-06-25,09:27:01,ENY4062,2500,191,2337,ENY,09:00:00
ABF2C6,2022-06-25,09:27:38,N8691E,1800,100,1200,Private,09:00:00
AB10DF,2022-06-25,09:28:20,AAL1263,2525,185,6241,AAL,09:00:00
A04692,2022-06-25,09:28:28,NA,35975,448,,NA,09:00:00
A912F0,2022-06-25,09:28:33,ENY4011,2350,195,6267,ENY,09:00:00
AC5312,2022-06-25,09:29:06,NA,33875,402,2266,NA,09:00:00
A85CAA,2022-06-25,09:29:39,NKS483,36000,492,,NKS,09:00:00
AC71DD,2022-06-25,09:29:57,AAL349,2525,180,,AAL,09:00:00
AD159B,2022-06-25,09:30:12,ENY3777,2875,189,5256,ENY,09:00:00
A9250D,2022-06-25,09:31:00,ENY4209,3275,195,5252,ENY,09:00:00
AAAADC,2022-06-25,09:31:42,N787DK,5950,262,6240,Private,09:00:00
AB437A,2022-06-25,09:32:29,AMX652,37000,482,,AMX,09:00:00
A413CB,2022-06-25,09:32:41,XSR362,43000,430,,XSR,09:00:00
A09533,2022-06-25,09:32:42,AAL1285,2650,182,2213,AAL,09:00:00
AB00A0,2022-06-25,09:32:54,N808LS,13675,222,,Private,09:00:00
A973E0,2022-06-25,09:33:02,SKW3288,2775,180,2203,SKW,09:00:00
A7DAF1,2022-06-25,09:33:35,NA,10700,,,NA,09:00:00
A06461,2022-06-25,09:33:49,AAL1667,2375,186,3407,AAL,09:00:00
A555C3,2022-06-25,09:34:01,AAL971,2575,190,2370,AAL,09:00:00
AA9B65,2022-06-25,09:34:03,SWA3737,11150,354,,SWA,09:00:00
A63693,2022-06-25,09:34:32,NA,3950,152,,NA,09:00:00
A55A16,2022-06-25,09:34:46,N444GG,4975,285,3404,Private,09:00:00
ABD536,2022-06-25,09:35:17,SWA1029,9900,297,,SWA,09:00:00
A48234,2022-06-25,09:35:20,NA,5925,240,,NA,09:00:00
A0C075,2022-06-25,09:36:00,AAL2798,2350,192,2221,AAL,09:00:00
A00159,2022-06-25,09:36:38,N1PT    ,24000,300,4024,Private,09:00:00
AA4CF5,2022-06-25,09:36:40,ATN3289,4225,214,,ATN,09:00:00
AD47D8,2022-06-25,09:37:46,N955GH,43000,505,,Private,09:00:00
AAEC9C,2022-06-25,09:37:56,NA,2000,205,2232,NA,09:00:00
AC86AF,2022-06-25,09:38:12,AAL1617,2325,189,3041,AAL,09:00:00
A258B7,2022-06-25,09:38:54,ENY4005,2350,203,2220,ENY,09:00:00
AAAFCF,2022-06-25,09:38:57,SWA3928,8925,293,,SWA,09:00:00
A8AE3E,2022-06-25,09:39:04,AAL2435,10800,271,3043,AAL,09:00:00
AA1A81,2022-06-25,09:39:18,SKW224Y,2375,186,3647,SKW,09:00:00
A8D2A8,2022-06-25,09:39:39,ENY3973,3125,189,2366,ENY,09:00:00
AC6445,2022-06-25,09:40:44,AAL1415,2325,193,6206,AAL,09:00:00
AB178F,2022-06-25,09:42:58,N8135G,2100,86,,Private,09:00:00
AA2E36,2022-06-25,09:42:58,SKW3068,2500,192,3641,SKW,09:00:00
AB35D7,2022-06-25,09:43:18,N821P,3450,169,,Private,09:00:00
A4D9D8,2022-06-25,09:44:48,SWA2576,6725,272,2230,SWA,09:00:00
A6ABDB,2022-06-25,09:45:20,NA,3700,100,,NA,09:00:00
A1D4D9,2022-06-25,09:45:26,N217PS,6500,112,,Private,09:00:00
A1D4BC,2022-06-25,09:45:54,NA,2425,202,3023,NA,09:00:00
A6215A,2022-06-25,09:46:11,N4940P,4100,140,,Private,09:00:00
ABEB31,2022-06-25,09:46:16,SWA1433,7100,291,,SWA,09:00:00
A2C9EC,2022-06-25,09:46:48,SWA753,15325,385,655,SWA,09:00:00
AA944A,2022-06-25,09:46:50,AAL7,2325,184,546,AAL,09:00:00
AC5AFB,2022-06-25,09:46:52,NA,2600,122,,NA,09:00:00
AB485E,2022-06-25,09:46:55,AAL1040,10075,300,,AAL,09:00:00
AA11DC,2022-06-25,09:47:17,SKW3244,2375,194,2270,SKW,09:00:00
AB4B2B,2022-06-25,09:47:30,NA,9800,258,,NA,09:00:00
ACBF43,2022-06-25,09:47:34,N920MF,3275,135,1200,Private,09:00:00
A9536A,2022-06-25,09:47:41,NJM70,38300,443,3115,NJM,09:00:00
A2CFFC,2022-06-25,09:49:14,SWA3125,37000,479,4053,SWA,09:00:00
AC5CD7,2022-06-25,09:49:39,AAL1395,9125,282,,AAL,09:00:00
A85529,2022-06-25,09:50:47,N636MR,1525,105,5111,Private,09:00:00
