HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline
AB8C37,2022-07-03,16:00:57,AAL2553,2250,215,5651,AAL
AA6E58,2022-07-03,16:00:57,SKW3232,10425,272,2756,SKW
A7F40F,2022-07-03,16:00:57,SKW3224,13450,354,551,SKW
A4345E,2022-07-03,16:00:57,LXJ370,45000,400,3114,LXJ
ACB285,2022-07-03,16:00:57,AAL1676,9300,266,,AAL
A4F948,2022-07-03,16:00:58,N42AB,3500,146,4670,Private
0D0276,2022-07-03,16:00:58,XAJHE,23025,462,,XAJHE
AB7FEE,2022-07-03,16:00:58,NA,19650,382,,NA
AA11DC,2022-07-03,16:00:59,SKW3214,11250,304,3764,SKW
A158C9,2022-07-03,16:01:00,AAL1584,12975,318,7207,AAL
A49CE2,2022-07-03,16:01:02,NA,2875,208,,NA
ACA3A3,2022-07-03,16:01:03,NA,12100,326,,NA
AA0701,2022-07-03,16:01:14,NA,15425,366,,NA
AB3C15,2022-07-03,16:01:23,AAL2580,14375,333,3252,AAL
A3CD7D,2022-07-03,16:01:38,AAL1105 ,10200,304,,AAL
ACFC00,2022-07-03,16:01:40,NA,12525,328,,NA
A22003,2022-07-03,16:02:01,NA,38000,412,,NA
A3999E,2022-07-03,16:02:03,NA,2100,,,NA
AA80EB,2022-07-03,16:02:41,SKW233F,2900,197,2314,SKW
A0CC06,2022-07-03,16:02:43,AAL849,2400,185,,AAL
A4B21B,2022-07-03,16:03:52,UAL1883,16150,365,3311,UAL
A26B4A,2022-07-03,16:04:09,ENY3583,2225,199,5142,ENY
A71B79,2022-07-03,16:04:18,N557X,,143,,Private
A211EF,2022-07-03,16:04:38,SWA724,15475,354,6213,SWA
39C429,2022-07-03,16:05:08,NA,2025,,6222,NA
0D0B91,2022-07-03,16:05:34,VOI892,13850,338,4261,VOI
A1239C,2022-07-03,16:06:02,UAL607,37000,470,2121,UAL
A7FAB2,2022-07-03,16:07:05,N613JG,4125,237,,Private
A3D3A9,2022-07-03,16:07:13,XSR346,2600,223,,XSR
A3621E,2022-07-03,16:07:15,AAL557,2475,201,,AAL
A72B34,2022-07-03,16:07:39,LXJ561,5000,277,2307,LXJ
A17170,2022-07-03,16:08:13,AAL2845,14325,356,2765,AAL
ADCCA6,2022-07-03,16:08:13,AAL1742,2350,194,2234,AAL
A11B00,2022-07-03,16:08:16,AAL606,2325,189,,AAL
ADBB39,2022-07-03,16:08:37,AAL676,11975,223,2351,AAL
ACED1C,2022-07-03,16:09:35,ENY4234,2450,200,555,ENY
A2B3A2,2022-07-03,16:09:49,NA,40000,,,NA
AA5B92,2022-07-03,16:09:57,AAL60,15100,391,1143,AAL
A77F2D,2022-07-03,16:10:11,AAL1051,2375,192,6275,AAL
A06010,2022-07-03,16:11:02,AAL2298,2400,178,543,AAL
A87898,2022-07-03,16:11:08,NA,37000,437,,NA
AA311B,2022-07-03,16:11:23,N756J,44000,463,,Private
AB4732,2022-07-03,16:12:04,AAL280,15050,386,3412,AAL
A999D2,2022-07-03,16:12:17,AAL50,2350,202,,AAL
AC754B,2022-07-03,16:12:41,AAL753,11950,274,2116,AAL
AB5DB8,2022-07-03,16:13:34,NA,,,,NA
A24014,2022-07-03,16:14:23,ENY3691,14875,389,4237,ENY
A7C4BB,2022-07-03,16:14:24,N6YH,1075,104,1200,Private
A4EA77,2022-07-03,16:14:52,AAL1967,13625,347,2511,AAL
AD7DA2,2022-07-03,16:14:55,AAL1948,2500,202,506,AAL
A6AE9A,2022-07-03,16:14:58,N53FJ,2850,439,5134,Private
ABEDC8,2022-07-03,16:16:08,AAL2722,16225,386,3253,AAL
A972D3,2022-07-03,16:16:56,FFT83,12000,279,6111,FFT
A438C3,2022-07-03,16:17:01,DAL1041,2125,195,2356,DAL
AA2E36,2022-07-03,16:18:57,SKW3188,2450,203,530,SKW
A10BBC,2022-07-03,16:19:16,AAL1215,13575,350,2677,AAL
A05910,2022-07-03,16:19:57,SKW5391,35000,489,,SKW
A08A6B,2022-07-03,16:20:45,NA,29200,471,,NA
AA944A,2022-07-03,16:21:09,NA,2275,298,,NA
ABB57A,2022-07-03,16:21:31,ASH6083,36000,423,,ASH
AB5867,2022-07-03,16:22:17,NA,10000,299,,NA
A396FD,2022-07-03,16:22:18,DAL1516,34975,476,7476,DAL
A41090,2022-07-03,16:23:08,FFT2711,2225,190,523,FFT
AC8E1D,2022-07-03,16:23:46,AAL2944,14100,382,6024,AAL
AB2AE0,2022-07-03,16:23:51,AAL2858,2550,180,545,AAL
A1BA5A,2022-07-03,16:24:24,N210JR,3400,151,,Private
ADC65E,2022-07-03,16:24:38,NA,2525,213,,NA
A411DF,2022-07-03,16:25:06,ASA131,14075,323,2333,ASA
A69423,2022-07-03,16:26:41,JTL52,1550,194,505,JTL
A8264F,2022-07-03,16:26:43,NKS972,12475,333,4176,NKS
AA395B,2022-07-03,16:26:49,SKW3242,12000,274,5656,SKW
A99686,2022-07-03,16:27:14,SKW3008,16050,352,5727,SKW
A2CE8D,2022-07-03,16:27:20,N280FW,2650,226,,Private
A39E6B,2022-07-03,16:27:50,DAL2125,2425,189,2224,DAL
AAF877,2022-07-03,16:29:10,N806DE,3000,229,2205,Private
AD20F1,2022-07-03,16:29:47,NKS263,2275,183,2366,NKS
A022C4,2022-07-03,16:31:47,DAL2176,11725,278,7106,DAL
AA7288,2022-07-03,16:32:24,AAL1618,2375,260,1776,AAL
A8D2A8,2022-07-03,16:32:39,ENY3871,12025,314,5110,ENY
AC2412,2022-07-03,16:32:46,NA,12400,317,,NA
AB2C04,2022-07-03,16:32:49,AAL665,14375,354,7230,AAL
A336DF,2022-07-03,16:35:34,AAL394,15475,352,4265,AAL
AA797D,2022-07-03,16:35:36,SKW3087,11675,275,,SKW
AAF960,2022-07-03,16:37:23,AAL1034,15400,361,3236,AAL
A203A9,2022-07-03,16:37:45,ENY3914,2175,352,2267,ENY
899135,2022-07-03,16:38:49,EVA697,3000,177,2337,EVA
AB674B,2022-07-03,16:39:27,AAL1699,14375,355,4204,AAL
A708B0,2022-07-03,16:39:37,NA,2525,195,,NA
AA6A98,2022-07-03,16:39:50,SWA1329,8200,263,2136,SWA
A9961F,2022-07-03,16:40:10,NA,3950,,,NA
A700EE,2022-07-03,16:40:37,NA,,,,NA
AB1DB2,2022-07-03,16:40:50,UAL633,2575,173,535,UAL
ABB5A1,2022-07-03,16:40:53,ASH6091,11975,281,4067,ASH
AC79C7,2022-07-03,16:41:41,AAL1870,15650,345,2641,AAL
A390E3,2022-07-03,16:42:12,NA,2675,208,,NA
A987AA,2022-07-03,16:42:32,SKW3118,11550,276,1643,SKW
A04692,2022-07-03,16:43:16,DAL691,2750,185,3603,DAL
A234EF,2022-07-03,16:44:17,ENY3708,14200,349,1732,ENY
ADAEE8,2022-07-03,16:44:31,NA,2425,198,6201,NA
ACC1EE,2022-07-03,16:44:35,AAL2883,11950,274,1304,AAL
A326D1,2022-07-03,16:45:34,ASA716,14375,357,1626,ASA
AB84C9,2022-07-03,16:46:17,AAL1381,11950,275,4040,AAL
AB79DE,2022-07-03,16:46:33,AAL2168,15275,334,2027,AAL
A2C90D,2022-07-03,16:47:24,ENY3731,16275,359,4114,ENY
A8AF5F,2022-07-03,16:48:23,NKS1025,2675,171,570,NKS
A5198F,2022-07-03,16:49:53,N428CF,1225,135,,Private
A8E6E2,2022-07-03,16:49:53,NA,2750,204,,NA
A9D9F7,2022-07-03,16:50:18,NA,10900,338,,NA
