HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline
AAEF60,2022-07-04,20:01:13,NA,,,,NA
A273F5,2022-07-04,20:01:13,UAL1852,39975,472,2475,UAL
A2D2EB,2022-07-04,20:01:13,ENY3771,2500,306,,ENY
AB942F,2022-07-04,20:01:13,NA,37000,440,,NA
A9CB83,2022-07-04,20:01:13,SKW3077,13375,352,570,SKW
A0B199,2022-07-04,20:01:14,AAL1458,4450,236,5272,AAL
A31DC7,2022-07-04,20:01:14,NA,3400,121,,NA
A0C8CD,2022-07-04,20:01:15,N15KX,2000,,1200,Private
A9741D,2022-07-04,20:01:18,AAL403,6825,314,,AAL
A1933C,2022-07-04,20:01:19,ENY4193,11800,279,7464,ENY
AD64CD,2022-07-04,20:01:22,NA,18200,,,NA
ACF946,2022-07-04,20:01:28,ASH5693,9225,310,,ASH
A72CA2,2022-07-04,20:01:45,NA,8025,301,,NA
A5C899,2022-07-04,20:02:02,ASA703,6875,273,565,ASA
AA7288,2022-07-04,20:02:02,AAL1497,9075,301,,AAL
A8E6F2,2022-07-04,20:02:13,AAL1422,2600,193,2301,AAL
A9B2E0,2022-07-04,20:02:21,SKW4927,11950,279,1046,SKW
A5FC42,2022-07-04,20:02:49,GTI8106,2350,297,562,GTI
A02088,2022-07-04,20:03:52,NA,16550,395,,NA
A80C7B,2022-07-04,20:03:58,ENY4177,12025,299,5217,ENY
406E11,2022-07-04,20:04:52,VIR232G,32475,539,,VIR
A32403,2022-07-04,20:04:53,N301L,40000,446,2436,Private
A8AE3E,2022-07-04,20:05:09,AAL303,2450,185,502,AAL
ADEDDD,2022-07-04,20:06:21,AAL1578,2575,207,2336,AAL
AD9EDF,2022-07-04,20:06:48,AAL1434,2450,200,533,AAL
ABFCDA,2022-07-04,20:07:28,NA,,,,NA
AA2701,2022-07-04,20:08:17,AAL1555,2525,204,6221,AAL
3455D5,2022-07-04,20:08:51,IBE6146,11825,286,7321,IBE
AD6595,2022-07-04,20:09:20,SWA1659,41000,434,501,SWA
AA01DE,2022-07-04,20:09:20,SKW3171,12325,322,2547,SKW
AC91D4,2022-07-04,20:09:24,AAL1482,2450,200,524,AAL
A5954E,2022-07-04,20:11:56,UAL1235,8350,292,,UAL
A1CB36,2022-07-04,20:12:30,NA,,,,NA
A6E131,2022-07-04,20:12:40,NA,2500,192,,NA
ABAE2C,2022-07-04,20:12:53,NA,11425,,,NA
ACEA96,2022-07-04,20:13:10,NKS813,10950,281,3716,NKS
A33327,2022-07-04,20:13:20,AAL2597,2375,194,2376,AAL
A32437,2022-07-04,20:13:35,DAL1303,35975,434,,DAL
AC2154,2022-07-04,20:14:00,SWA2623,37000,469,,SWA
A9FC6F,2022-07-04,20:14:04,N74206,4450,121,,Private
AC82F8,2022-07-04,20:14:39,AAL2698,2350,200,542,AAL
A6EE47,2022-07-04,20:15:45,NA,36000,459,,NA
AD046B,2022-07-04,20:15:55,ASH5871,11650,270,2441,ASH
A1D873,2022-07-04,20:16:06,NA,2075,207,,NA
A836FB,2022-07-04,20:16:45,UAL1632,35000,448,,UAL
ACF486,2022-07-04,20:17:40,AAL2886,8650,291,2372,AAL
AB5F87,2022-07-04,20:17:47,SWA1970,10975,324,2346,SWA
AC9FBE,2022-07-04,20:18:40,SKW4782,30000,437,7242,SKW
