HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline
A46D4E,2022-07-08,12:02:31,UAL1119,33000,456,3764,UAL
A6387C,2022-07-08,12:02:31,N50KD,19125,380,3604,Private
AB3446,2022-07-08,12:02:31,NA,1100,85,,NA
AC8247,2022-07-08,12:02:31,OKC905,24700,387,7065,OKC
AA6E58,2022-07-08,12:02:32,SKW3019,15275,378,651,SKW
A81000,2022-07-08,12:02:32,UAL1515,34000,474,2542,UAL
A5502B,2022-07-08,12:02:32,AAL456,16225,376,,AAL
ACE6B3,2022-07-08,12:02:32,NA,9750,225,7414,NA
A26F01,2022-07-08,12:02:32,ENY3323,14375,339,4022,ENY
0D05E4,2022-07-08,12:02:32,NA,7375,215,,NA
AA779D,2022-07-08,12:02:32,SWA1754,22925,423,3623,SWA
A4870D,2022-07-08,12:02:32,FFT1370,22325,422,2350,FFT
899111,2022-07-08,12:02:38,CAL5258,10050,290,,CAL
A832BE,2022-07-08,12:02:39,N6271E,2500,76,4624,Private
AD5398,2022-07-08,12:02:41,AAL578Q,8025,293,3636,AAL
ACDBE7,2022-07-08,12:02:51,ENY3610,8575,250,5204,ENY
A91536,2022-07-08,12:03:06,UAL529,35000,456,2555,UAL
A79D67,2022-07-08,12:03:12,N590A,37975,408,2564,Private
A31A9C,2022-07-08,12:03:16,N29997,25875,269,2435,Private
ABC09E,2022-07-08,12:03:36,NA,8000,,,NA
A1D4F2,2022-07-08,12:03:40,NA,12625,366,,NA
AA2701,2022-07-08,12:03:42,AAL2773,6725,276,6224,AAL
ADFCA0,2022-07-08,12:03:45,VANDY52,1550,193,,VANDY
A87CA9,2022-07-08,12:03:57,N646MS,1800,91,1200,Private
A85185,2022-07-08,12:04:09,NKS344,11925,265,6151,NKS
AD9E73,2022-07-08,12:04:23,JBU577,34025,471,3602,JBU
A83673,2022-07-08,12:05:08,N6281C,1500,109,,Private
A0311D,2022-07-08,12:05:16,DAL823,2350,188,7063,DAL
A4EBD9,2022-07-08,12:05:37,EJA416,43000,411,2643,EJA
AC767C,2022-07-08,12:05:39,AAL2760,30000,468,6567,AAL
ADD2B6,2022-07-08,12:05:54,AAL2066,7625,285,,AAL
AB57BC,2022-07-08,12:05:59,N831TT,1100,186,527,Private
A1A986,2022-07-08,12:06:23,NA,2200,190,,NA
AA1F5A,2022-07-08,12:06:25,SKW3081,8275,284,535,SKW
ABEB57,2022-07-08,12:06:41,NA,9450,285,,NA
A9B40D,2022-07-08,12:07:07,NA,,,,NA
AA4AC9,2022-07-08,12:07:10,AAL1504,2650,188,2327,AAL
A46E40,2022-07-08,12:07:39,NA,,,,NA
ACD38C,2022-07-08,12:07:44,N9253P,2400,110,1200,Private
A0480B,2022-07-08,12:07:59,AAL2603,11875,262,2453,AAL
AE67B7,2022-07-08,12:08:11,NA,32000,,,NA
AA228A,2022-07-08,12:08:15,EJM109,8600,276,,EJM
AAD21E,2022-07-08,12:08:26,EC155,2900,,1200,EC
A1F503,2022-07-08,12:08:50,EJA225,15625,362,7322,EJA
AAAA92,2022-07-08,12:09:09,AAL5,2175,191,3064,AAL
ABD135,2022-07-08,12:09:10,SWA2681,37000,463,7210,SWA
A4380F,2022-07-08,12:09:32,FFT506,9025,282,546,FFT
A5E073,2022-07-08,12:10:29,BTQ554,12800,249,4130,BTQ
A26801,2022-07-08,12:10:56,SKW3840,34000,437,2676,SKW
A10E8B,2022-07-08,12:10:59,UAL2250,1975,207,,UAL
AC8A63,2022-07-08,12:11:16,NKS1200,9450,284,,NKS
ACC1EE,2022-07-08,12:11:17,AAL2412 ,2150,200,572,AAL
A1C7B0,2022-07-08,12:11:20,N2135B,1400,99,,Private
ACCB22,2022-07-08,12:12:52,AAL654,8350,286,506,AAL
A1BF3A,2022-07-08,12:13:20,SWA378,17275,393,516,SWA
AE0066,2022-07-08,12:13:27,TORO64,26000,469,5205,TORO
A86061,2022-07-08,12:13:39,NKS163,2200,185,3041,NKS
AB9B13,2022-07-08,12:13:53,AAL2078,2075,292,2207,AAL
A3A647,2022-07-08,12:14:22,AAL581,37000,449,6320,AAL
ABA565,2022-07-08,12:14:36,NA,15125,301,,NA
