HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline,NearestHour
ABE475,2022-07-07,00:00:33,SWA549,35975,468,2650,SWA,00:00:00
AE588E,2022-07-07,00:00:46,00000000,23000,,5137,NA,00:00:00
A35AAE,2022-07-07,00:01:37,NA,34000,,,NA,00:00:00
AA9875,2022-07-07,00:02:59,NA,,,,NA,00:00:00
A1F3AA,2022-07-07,00:03:08,OAE559,40000,465,5605,OAE,00:00:00
AAE6E2,2022-07-07,00:07:37,NA,,,,NA,00:00:00
AD84DE,2022-07-07,00:08:18,AAL633,16400,387,716,AAL,00:00:00
A69345,2022-07-07,00:10:14,NA,4525,,,NA,00:00:00
ABE7C5,2022-07-07,00:18:17,NA,6350,278,,NA,00:00:00
AA6D3F,2022-07-07,00:21:48,FDX1116,4000,169,,FDX,00:00:00
A4A43D,2022-07-07,00:23:51,N399AE,1700,,,Private,00:00:00
A987BF,2022-07-07,00:26:48,NA,8475,291,,NA,00:00:00
AD763F,2022-07-07,00:26:51,SIL3923,1275,94,533,SIL,00:00:00
A8F9F2,2022-07-07,00:28:36,FDX1161,11050,357,3124,FDX,00:00:00
A9C2E9,2022-07-07,00:29:29,SWA2463,39000,441,3726,SWA,00:00:00
A6EC56,2022-07-07,00:32:14,AAL1828,2600,199,2274,AAL,00:00:00
AA74AE,2022-07-07,00:33:18,NA,3025,147,,NA,00:00:00
ACDFB1,2022-07-07,00:37:48,NA,1825,,2254,NA,00:00:00
A1E3B4,2022-07-07,00:38:26,N2202W,1800,60,1200,Private,00:00:00
A344C5,2022-07-07,00:39:33,GTX489,4800,171,,GTX,00:00:00
A615D0,2022-07-07,00:40:04,SWA1659,40825,440,2222,SWA,00:00:00
ACB832,2022-07-07,00:40:11,SIL3989,1550,94,2212,SIL,00:00:00
A5198F,2022-07-07,00:40:43,N428CF,1825,158,,Private,00:00:00
A23052,2022-07-07,00:42:16,AMF7201,2400,163,532,AMF,00:00:00
A01753,2022-07-07,00:42:51,N105AM,,103,,Private,00:00:00
A03B91,2022-07-07,00:43:35,NA,6450,268,,NA,00:00:00
ABA9E7,2022-07-07,00:43:55,SWA221,14000,419,5156,SWA,00:00:00
AD2741,2022-07-07,00:48:45,SIL3967,1900,105,2313,SIL,00:00:00
AAF9EA,2022-07-07,00:54:17,UAL2605 ,36975,447,1452,UAL,00:00:00
A6B4AC,2022-07-07,00:57:53,IFL531,37000,442,2673,IFL,00:00:00
A86A28,2022-07-07,00:59:16,NA,2675,182,,NA,00:00:00
A0CE68,2022-07-07,01:01:01,FDX2601,1725,148,541,FDX,01:00:00
AA059E,2022-07-07,01:01:50,FDX2609,2175,183,2233,FDX,01:00:00
A0E5D7,2022-07-07,01:05:37,SKW532E,36000,466,2521,SKW,01:00:00
A182AE,2022-07-07,01:11:02,FDX1155,2200,161,,FDX,01:00:00
A119AF,2022-07-07,01:15:52,FDX1167,9350,269,,FDX,01:00:00
A7B07C,2022-07-07,01:16:25,NA,4550,138,,NA,01:00:00
A52AD2,2022-07-07,01:23:49,NA,2900,165,,NA,01:00:00
