HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline
AA6D3F,2022-07-08,04:00:05,FDX1168,3525,237,2222,FDX
AB2B5E,2022-07-08,04:00:05,NA,9275,,,NA
A3AFE8,2022-07-08,04:00:25,ATN6743,2075,159,2315,ATN
A8F9F2,2022-07-08,04:02:41,FDX1167,2600,158,2360,FDX
A3E55A,2022-07-08,04:06:53,NA,35025,472,,NA
A38633,2022-07-08,04:07:05,AAL2421,35000,461,3341,AAL
A1701B,2022-07-08,04:09:30,FDX1159,1275,175,514,FDX
A494C5,2022-07-08,04:09:31,NA,,,,NA
A41BB5,2022-07-08,04:14:56,FFT1150,35000,468,7364,FFT
A7E930,2022-07-08,04:19:01,FDX5285,2550,208,,FDX
A16BF6,2022-07-08,04:21:23,AMF1722,3350,132,5171,AMF
AE67B7,2022-07-08,04:22:38,NA,35025,,,NA
A395D5,2022-07-08,04:24:54,AMF1746,3075,163,5213,AMF
A24C73,2022-07-08,04:28:25,UAL572,39000,462,3250,UAL
AC7AE4,2022-07-08,04:30:19,CFS8291,1925,145,,CFS
AC7581,2022-07-08,04:41:17,AAL1122,9725,261,2273,AAL
A43FA0,2022-07-08,04:41:25,HAL86,39000,471,,HAL
A0E086,2022-07-08,04:42:40,AAL819,10275,298,,AAL
A61B4E,2022-07-08,04:50:54,ASA287,9150,291,2203,ASA
A2DFFE,2022-07-08,04:55:49,UAL2379,35000,461,2614,UAL
A3915A,2022-07-08,05:05:26,AAL367,35000,467,7246,AAL
A46D95,2022-07-08,05:05:27,UAL1206,12250,368,2374,UAL
ACFBFD,2022-07-08,05:07:04,ASA263,37000,457,2537,ASA
AA9875,2022-07-08,05:07:41,FDX1180,2000,155,525,FDX
A0BD33,2022-07-08,05:08:11,NA,36025,472,,NA
A08EFD,2022-07-08,05:10:37,AAL504,8475,285,,AAL
ACAB11,2022-07-08,05:11:36,NA,2650,176,,NA
AC7E09,2022-07-08,05:14:13,AAL1042 ,2625,207,555,AAL
A972D3,2022-07-08,05:21:38,FFT509,2725,179,,FFT
A3B88E,2022-07-08,05:24:04,AAL2812,2600,199,,AAL
A1629D,2022-07-08,05:24:54,FDX1499,34025,474,,FDX
A36A13,2022-07-08,05:26:02,DAL2536,2400,190,557,DAL
A907A0,2022-07-08,05:27:53,N681HC,40000,449,2561,Private
A2DB21,2022-07-08,05:29:04,SWA2049,36575,452,2374,SWA
A4491C,2022-07-08,05:29:47,UAL1589,33000,471,,UAL
A94B6B,2022-07-08,05:33:19,NA,35025,476,,NA
A90BDB,2022-07-08,05:38:01,NKS1967,2550,178,523,NKS
ACB59C,2022-07-08,05:40:41,NA,2325,,,NA
ABC107,2022-07-08,05:41:03,SWA1218,37975,456,2404,SWA
AC2BD5,2022-07-08,05:43:17,NA,2825,209,,NA
A0CAB1,2022-07-08,05:44:25,FDX1414,34050,475,,FDX
A062EF,2022-07-08,05:45:03,NA,2750,186,2242,NA
AC9FF2,2022-07-08,05:47:08,AAL856,2550,184,2256,AAL
AB7613,2022-07-08,05:47:09,NA,9350,280,,NA
86E75E,2022-07-08,05:49:39,NA,8825,294,,NA
AA568F,2022-07-08,05:54:48,UAL2160,36000,465,2546,UAL
AB5C12,2022-07-08,05:55:51,AAL962,11975,270,2540,AAL
A12FCD,2022-07-08,05:59:03,N176DL,14250,338,2305,Private
ABE450,2022-07-08,06:01:15,SWA2212,37000,457,,SWA
A562E8,2022-07-08,06:01:45,SWA1598,38000,447,1701,SWA
ABB52C,2022-07-08,06:03:39,SWA1308,38000,466,2423,SWA
AB3214,2022-07-08,06:06:46,NA,2450,195,2226,NA
A615D0,2022-07-08,06:07:38,NA,6100,,,NA
A508C5,2022-07-08,06:09:13,NA,20475,,,NA
A16ADC,2022-07-08,06:09:15,UAL557,2750,186,516,UAL
AA72F5,2022-07-08,06:10:43,NA,9825,291,,NA
A41144,2022-07-08,06:11:10,DAL732,2325,174,2351,DAL
A05410,2022-07-08,06:11:16,DAL421,2925,188,2255,DAL
A8DF83,2022-07-08,06:14:00,AMF7206,2275,171,,AMF
A223BA,2022-07-08,06:18:13,ENY3760,14150,378,5232,ENY
AB5BB1,2022-07-08,06:18:24,SWA734,9575,293,,SWA
ACA309,2022-07-08,06:19:26,AAL306,10075,304,,AAL
AD15CF,2022-07-08,06:19:27,AAL2563,13900,330,2525,AAL
AB8180,2022-07-08,06:19:52,SCX515,2800,196,,SCX
AD2741,2022-07-08,06:20:11,SIL3990,3100,256,,SIL
A0D99A,2022-07-08,06:24:06,N154FT,1500,53,,Private
AA5D2E,2022-07-08,06:24:51,NA,7150,290,,NA
A32BBF,2022-07-08,06:25:58,N303PC,1475,205,2231,Private
A02EAF,2022-07-08,06:26:41,NA,17050,377,,NA
AA395B,2022-07-08,06:26:41,SKW3240,11950,261,2442,SKW
A27D26,2022-07-08,06:27:55,NA,15450,,,NA
A91AB7,2022-07-08,06:29:11,NA,2550,181,2322,NA
ABFCDA,2022-07-08,06:29:52,SWA1849,13375,363,2244,SWA
A059E8,2022-07-08,06:30:18,NA,11525,157,,NA
A220CB,2022-07-08,06:33:42,NA,,,,NA
A7F7A0,2022-07-08,06:34:13,SKW3071,10650,266,5246,SKW
A1E671,2022-07-08,06:34:24,N221TR,4550,111,2264,Private
A0D5D6,2022-07-08,06:36:11,FDX1453,2950,269,,FDX
A1B712,2022-07-08,06:38:37,N2099N,4500,139,,Private
A83673,2022-07-08,06:38:53,N6281C,3400,73,1200,Private
A51B1A,2022-07-08,06:39:17,UAL2150,37000,455,7013,UAL
ACEA99,2022-07-08,06:39:26,AAL2327,34275,474,7252,AAL
ACA196,2022-07-08,06:40:39,N9128N,3000,130,,Private
A85185,2022-07-08,06:41:13,NKS343,2250,191,2241,NKS
AB4C15,2022-07-08,06:42:02,AAL1579,2300,186,526,AAL
AC0AAC,2022-07-08,06:42:04,UAL698,2625,183,2265,UAL
A1057A,2022-07-08,06:42:13,AAL2272,8575,290,5133,AAL
A81AE6,2022-07-08,06:42:27,N621KS,4950,253,,Private
AA922B,2022-07-08,06:42:48,SWA2897,34000,458,1155,SWA
ACD0C2,2022-07-08,06:43:44,ENY3848,10350,271,2521,ENY
A80156,2022-07-08,06:44:21,ENY3647,13050,309,5113,ENY
A243CB,2022-07-08,06:45:34,ENY4046,8950,287,,ENY
AB3446,2022-07-08,06:45:40,N82075,1500,60,4654,Private
AD1D3D,2022-07-08,06:47:12,AAL1230,35000,454,2765,AAL
AB82E2,2022-07-08,06:47:16,N8405B,1500,62,1200,Private
AD159B,2022-07-08,06:47:29,ENY3512,12050,306,5274,ENY
AA7439,2022-07-08,06:47:59,AAL115,9550,284,,AAL
A81DB0,2022-07-08,06:48:02,ENY3832,10800,290,4076,ENY
AD58FC,2022-07-08,06:49:05,MRA666,4400,111,5160,MRA
ACEF18,2022-07-08,06:49:09,NA,11375,362,,NA
A99B5F,2022-07-08,06:50:34,SKW3262,14025,299,5226,SKW
A558B6,2022-07-08,06:51:21,N4434R,1025,57,1200,Private
A8C439,2022-07-08,06:51:27,NA,7925,261,,NA
A4400F,2022-07-08,06:51:33,N373MM  ,11925,285,,Private
A4DAB2,2022-07-08,06:51:45,N41131  ,1575,50,,Private
AB7627,2022-07-08,06:53:26,AAL2862,9250,286,,AAL
ACF492,2022-07-08,06:53:40,AAL2540,9150,288,,AAL
AD6C3B,2022-07-08,06:54:01,AAL2442,11450,266,7457,AAL
780232,2022-07-08,06:54:31,CPA2090,9925,295,,CPA
A654CB,2022-07-08,06:54:59,JBU610,2375,206,2243,JBU
A93997,2022-07-08,06:55:11,ENY3534,11650,269,7421,ENY
ABE79D,2022-07-08,06:55:25,SWA2287,13025,374,2216,SWA
ACFFC2,2022-07-08,06:56:42,SIL3934 ,2975,233,,SIL
A9BB70,2022-07-08,06:56:49,SKW3026,11450,259,2544,SKW
A59608,2022-07-08,06:56:59,MRA660,3300,122,5176,MRA
A1A2E0,2022-07-08,06:57:20,SWA1630,37450,453,1166,SWA
AD0E61,2022-07-08,06:57:22,AAL2342,14850,327,2771,AAL
AC8577,2022-07-08,06:58:04,AAL1226,11950,272,7463,AAL
A9F231,2022-07-08,06:58:30,NA,7400,,,NA
A797D9,2022-07-08,06:59:15,NA,3000,215,,NA
AC90A0,2022-07-08,06:59:16,ENY3983,11725,264,5227,ENY
A8F207,2022-07-08,06:59:22,ENY3500,8900,280,,ENY
A973E0,2022-07-08,07:00:28,SKW3184,12000,321,2473,SKW
AC6F31,2022-07-08,07:00:37,ENY4063,11675,266,5201,ENY
A38211,2022-07-08,07:00:40,DAL2239,31000,473,2753,DAL
ACC954,2022-07-08,07:00:52,NA,7950,277,,NA
A9CCB0,2022-07-08,07:01:40,NA,6700,292,,NA
AB0485,2022-07-08,07:01:43,AAL2789,11950,266,724,AAL
A01616,2022-07-08,07:01:58,MRA662,2900,121,5162,MRA
A390E3,2022-07-08,07:02:03,ASH5781,13125,325,7370,ASH
A84A7B,2022-07-08,07:02:24,SKW3138,13250,299,2564,SKW
A97029,2022-07-08,07:03:10,SKW3253,11925,264,5147,SKW
A3F500,2022-07-08,07:03:16,AAL328,8425,286,,AAL
ABC504,2022-07-08,07:04:07,SWA2765,38000,463,2472,SWA
ACE96C,2022-07-08,07:04:18,AAL1189,11900,268,3736,AAL
ABA281,2022-07-08,07:04:31,AAL429,2425,201,,AAL
AD5720,2022-07-08,07:04:48,ASH5772,14875,321,5137,ASH
A9F6B9,2022-07-08,07:05:27,SKW3297,8225,288,,SKW
A2C1B6,2022-07-08,07:05:51,ENY3322,11950,266,2530,ENY
A8A337,2022-07-08,07:05:53,SKW3106,13450,336,2571,SKW
A2AF23,2022-07-08,07:07:15,ENY3300 ,11900,266,2545,ENY
AC7419,2022-07-08,07:07:22,NKS3161,2275,194,2245,NKS
A4ACAE,2022-07-08,07:08:15,AAL817,8025,288,,AAL
AB3C15,2022-07-08,07:08:18,AAL2286,15425,335,1760,AAL
AB0971,2022-07-08,07:08:19,NA,35000,465,,NA
A0F566,2022-07-08,07:08:36,AAL2677,11875,268,2614,AAL
A9426F,2022-07-08,07:09:08,EJA696,18250,363,2331,EJA
