HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline,NearestHour
AB766A,2022-06-30,12:02:35,DAL969,32000,451,1574,DAL,12:00:00
AB7FE6,2022-06-30,12:02:35,AAL115,8350,302,,AAL,12:00:00
A992CF,2022-06-30,12:02:35,SKW3166,6850,240,,SKW,12:00:00
A33272,2022-06-30,12:02:35,FFT1370,10250,305,,FFT,12:00:00
AD6116,2022-06-30,12:02:35,AAL444,11625,365,,AAL,12:00:00
AC76B6,2022-06-30,12:02:35,ENY4233,9975,275,2503,ENY,12:00:00
AC90A7,2022-06-30,12:02:35,AAL2846,14650,400,,AAL,12:00:00
ACB2B5,2022-06-30,12:02:35,N917WW,9925,235,,Private,12:00:00
AA75C6,2022-06-30,12:02:35,SKW3100,11925,313,4173,SKW,12:00:00
A9CB47,2022-06-30,12:02:35,NA,36150,440,,NA,12:00:00
A4B0E0,2022-06-30,12:02:36,N401FL,3300,99,,Private,12:00:00
A64310,2022-06-30,12:02:36,N502TJ,4300,172,5152,Private,12:00:00
ACED24,2022-06-30,12:02:37,NA,11950,,,NA,12:00:00
A1897C,2022-06-30,12:02:40,N1989F,1300,176,,Private,12:00:00
A9040A,2022-06-30,12:02:41,NA,41000,439,,NA,12:00:00
AC5331,2022-06-30,12:02:42,ASH6046,2000,191,2335,ASH,12:00:00
A557C3,2022-06-30,12:02:43,SWA1754,20425,416,3637,SWA,12:00:00
A258B7,2022-06-30,12:02:45,ENY3868,14750,350,1733,ENY,12:00:00
AD084E,2022-06-30,12:02:45,NKS628,8900,269,6106,NKS,12:00:00
AC51B2,2022-06-30,12:02:45,AAL2759,11450,280,2704,AAL,12:00:00
A4EE59,2022-06-30,12:02:47,N417CF  ,800,41,,Private,12:00:00
A6ABCC,2022-06-30,12:02:56,EJA529,17900,363,3652,EJA,12:00:00
A6C88E,2022-06-30,12:02:59,AAL2747,8475,284,2325,AAL,12:00:00
AD8F18,2022-06-30,12:03:02,NA,,,,NA,12:00:00
A0D561,2022-06-30,12:03:07,NA,21750,,,NA,12:00:00
A04E00,2022-06-30,12:03:22,NA,36925,444,,NA,12:00:00
A21D14,2022-06-30,12:03:23,SWA2415,11250,285,2263,SWA,12:00:00
A5F3C3,2022-06-30,12:03:33,N483AE,1900,,1200,Private,12:00:00
AB6339,2022-06-30,12:03:40,NA,17550,409,,NA,12:00:00
A1034E,2022-06-30,12:03:44,NA,4425,103,,NA,12:00:00
A7706B,2022-06-30,12:04:04,LXJ579,16875,377,3475,LXJ,12:00:00
A8AAA5,2022-06-30,12:04:08,SKW3019,1925,204,7060,SKW,12:00:00
AA80C0,2022-06-30,12:04:15,NA,41000,480,,NA,12:00:00
ADB723,2022-06-30,12:04:29,NA,35000,476,,NA,12:00:00
AAB9AE,2022-06-30,12:05:26,JAS9,18125,401,3461,JAS,12:00:00
A70284,2022-06-30,12:05:31,NA,35000,485,,NA,12:00:00
AD3997,2022-06-30,12:05:43,AAL2469,14450,359,4013,AAL,12:00:00
AC81D2,2022-06-30,12:06:10,AAL1716,14450,391,645,AAL,12:00:00
AD493B,2022-06-30,12:06:32,SWA378,15475,383,,SWA,12:00:00
A9E899,2022-06-30,12:07:12,NA,3400,111,,NA,12:00:00
AB7613,2022-06-30,12:07:19,AAL119,2175,293,2234,AAL,12:00:00
AB2C72,2022-06-30,12:08:01,SCX502,10875,310,6151,SCX,12:00:00
A05B7E,2022-06-30,12:08:18,DAL823,2550,195,3026,DAL,12:00:00
A7D3FE,2022-06-30,12:08:24,SKW3027,8675,289,,SKW,12:00:00
A81AE1,2022-06-30,12:08:58,NA,3200,,,NA,12:00:00
A04B24,2022-06-30,12:09:27,AAL2023,2300,188,3675,AAL,12:00:00
A24ADE,2022-06-30,12:09:30,JSX221,13775,339,576,JSX,12:00:00
0D0380,2022-06-30,12:09:31,SLI2682,14725,350,3223,SLI,12:00:00
A23DBB,2022-06-30,12:09:37,NA,2300,92,,NA,12:00:00
ACDBE7,2022-06-30,12:09:49,ENY3773,2400,205,6274,ENY,12:00:00
AA25A6,2022-06-30,12:10:20,SKW3087,8375,286,,SKW,12:00:00
AB5ADE,2022-06-30,12:10:36,SWA1239,37000,462,6764,SWA,12:00:00
0D0CDA,2022-06-30,12:11:24,XBRJF,18225,387,2262,XBRJF,12:00:00
A3661B,2022-06-30,12:11:34,NA,5875,,,NA,12:00:00
A520C2,2022-06-30,12:11:52,N42998,1500,105,,Private,12:00:00
A732A2,2022-06-30,12:12:08,NA,12950,362,,NA,12:00:00
AB5867,2022-06-30,12:12:08,AAL61,2225,211,6244,AAL,12:00:00
AAE28A,2022-06-30,12:12:21,NA,3350,129,,NA,12:00:00
A83E7B,2022-06-30,12:12:29,N630HR  ,1700,75,1200,Private,12:00:00
A0FFBB,2022-06-30,12:12:38,NA,3150,,,NA,12:00:00
A4064D,2022-06-30,12:12:50,XSR359,1725,173,3614,XSR,12:00:00
ACD5AA,2022-06-30,12:12:55,NKS163,2200,203,562,NKS,12:00:00
A60A14,2022-06-30,12:13:18,N489AM,26950,469,7362,Private,12:00:00
A61283,2022-06-30,12:13:35,OUA12,3900,106,,OUA,12:00:00
AD5369,2022-06-30,12:13:49,ASH5764,13200,329,4161,ASH,12:00:00
A234EF,2022-06-30,12:14:12,ENY3307,10850,273,2034,ENY,12:00:00
ABF008,2022-06-30,12:14:27,SWA235,13125,378,,SWA,12:00:00
A733E6,2022-06-30,12:14:55,AAL584,8850,289,,AAL,12:00:00
AE0061,2022-06-30,12:14:56,TORO52,27625,468,,TORO,12:00:00
A46D70,2022-06-30,12:15:05,UAL529  ,35000,455,1577,UAL,12:00:00
ABE3C8,2022-06-30,12:15:31,SWA2681,37000,465,7445,SWA,12:00:00
ACAA77,2022-06-30,12:16:13,AAL2078,2175,208,2202,AAL,12:00:00
A24FB8,2022-06-30,12:16:37,SWA3067,8900,302,,SWA,12:00:00
ABBD2D,2022-06-30,12:17:08,SWA2718,11750,328,2206,SWA,12:00:00
A4C2F8,2022-06-30,12:17:17,AAL456,1925,213,2236,AAL,12:00:00
ACF1A3,2022-06-30,12:18:24,ENY3734,2525,208,5112,ENY,12:00:00
AB1A2D,2022-06-30,12:19:03,BTQ554,5900,233,3427,BTQ,12:00:00
A54627,2022-06-30,12:19:55,SLH439,41000,342,7311,SLH,12:00:00
AD3D4B,2022-06-30,12:20:55,NKS1200,9050,297,,NKS,12:00:00
A9600B,2022-06-30,12:21:02,N703DN,2925,186,,Private,12:00:00
AC1F0E,2022-06-30,12:21:15,NA,2100,,3467,NA,12:00:00
A3E6F0,2022-06-30,12:21:27,N350XX,43000,460,,Private,12:00:00
A49F89,2022-06-30,12:22:05,UAL2250,36000,468,,UAL,12:00:00
