HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline
AD23F3,2022-06-23,04:00:05,FDX1168,11650,324,561,FDX
A89861,2022-06-23,04:00:05,FDX1159,18600,437,,FDX
A3B50F,2022-06-23,04:00:05,AAL2421,35000,452,1736,AAL
A39A13,2022-06-23,04:00:05,FFT1286,35025,448,2643,FFT
AC9F4F,2022-06-23,04:00:06,NKS343,7725,222,,NKS
A55024,2022-06-23,04:01:05,NA,2650,194,,NA
A3D87C,2022-06-23,04:02:21,N347NA,2975,177,3347,Private
A2DDFA,2022-06-23,04:02:22,N284MR,1725,135,5126,Private
A8350B,2022-06-23,04:02:40,N628MC,15000,197,2376,Private
A455C7,2022-06-23,04:03:55,FFT1150,35025,454,7224,FFT
A48234,2022-06-23,04:09:09,AMF1722,2725,177,5264,AMF
A50C4B,2022-06-23,04:12:07,UPS780  ,2500,192,,UPS
A5B4E1,2022-06-23,04:23:58,N467P,2000,111,,Private
AC7AE4,2022-06-23,04:28:20,CFS8291,1900,136,,CFS
A2C087,2022-06-23,04:29:50,ASA315,11500,347,2320,ASA
ACE063,2022-06-23,04:29:56,JBU278,35000,449,3350,JBU
A09CAD,2022-06-23,04:37:23,AAL819,10375,295,,AAL
A47916,2022-06-23,04:40:43,AMF1722,2700,147,5252,AMF
AA9B82,2022-06-23,04:56:59,UAL2063,37000,435,3346,UAL
ACFBAF,2022-06-23,05:02:03,N9358C,1700,75,121,Private
AD7EA9,2022-06-23,05:11:46,N969MA,1800,146,5241,Private
A5A683,2022-06-23,05:13:13,UAL2150,35000,469,2664,UAL
AC79A3,2022-06-23,05:13:24,AAL1122,11675,293,2216,AAL
A7E579,2022-06-23,05:13:30,FDX5283,2475,195,2241,FDX
A5BCCD,2022-06-23,05:15:22,UAL2379,35025,469,2305,UAL
A2EBBD,2022-06-23,05:18:04,ASA262,35000,450,3541,ASA
A1C7B0,2022-06-23,05:19:01,N2135B,1900,70,5247,Private
A27E14,2022-06-23,05:19:48,NA,39000,,,NA
AB050F,2022-06-23,05:22:56,UAL1206,8675,292,2270,UAL
AB6EA5,2022-06-23,05:25:02,NA,8200,291,,NA
A958D2,2022-06-23,05:26:52,FFT509,2375,186,,FFT
AD6595,2022-06-23,05:29:56,SWA2863,37350,428,,SWA
A71B43,2022-06-23,05:31:00,AAL2943,2375,183,,AAL
ADC531,2022-06-23,05:32:01,AAL1042,2275,189,2270,AAL
A4D9D8,2022-06-23,05:32:54,SWA2049,37775,451,573,SWA
AD0E61,2022-06-23,05:35:36,AAL664,8075,290,,AAL
A8945B,2022-06-23,05:36:41,N652CA,5925,204,5207,Private
AC3558,2022-06-23,05:36:45,AAL2812,2125,194,2264,AAL
A8EF81,2022-06-23,05:38:01,NA,2150,183,,NA
AC04BE,2022-06-23,05:40:27,NA,2650,202,,NA
ABAEB2,2022-06-23,05:41:25,SWA1218,38000,458,2417,SWA
A20415,2022-06-23,05:42:33,BYA229,5500,177,534,BYA
A34729,2022-06-23,05:44:14,DAL1157,2450,175,2334,DAL
A0B6EA,2022-06-23,05:46:14,NA,35000,444,2335,NA
86E75E,2022-06-23,05:47:28,NA,8625,294,,NA
A3725A,2022-06-23,05:47:59,DAL1647,2325,168,2271,DAL
A448F5,2022-06-23,05:50:24,UAL1589,35000,468,3443,UAL
A0F99E,2022-06-23,05:52:17,FDX1499,34025,510,,FDX
A1087A,2022-06-23,05:52:20,NA,34025,496,,NA
AB214D,2022-06-23,06:03:31,SCX503,2000,189,2236,SCX
A0ACB6,2022-06-23,06:08:30,UAL698,2100,205,514,UAL
