HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline,NearestHour
A07873,2022-06-23,16:02:12,N1297E,6275,154,,Private,16:00:00
AB1A2D,2022-06-23,16:02:12,BTQ903,8500,176,,BTQ,16:00:00
AB8BA5,2022-06-23,16:02:12,WWI84,24600,420,544,WWI,16:00:00
A23200,2022-06-23,16:02:12,SWA2419,20200,416,2247,SWA,16:00:00
AE5B6A,2022-06-23,16:02:12,RANGR99,2325,162,,RANGR,16:00:00
A8DB58,2022-06-23,16:02:12,TEX7W   ,39000,429,7215,TEX,16:00:00
AA1947,2022-06-23,16:02:12,N75SG,5500,122,,Private,16:00:00
A4870D,2022-06-23,16:02:12,FFT2711,12325,324,3426,FFT,16:00:00
A0FEA3,2022-06-23,16:02:12,UPS2906,3725,287,3453,UPS,16:00:00
AB082A,2022-06-23,16:02:13,N81MV,9050,258,1677,Private,16:00:00
A65560,2022-06-23,16:02:15,NA,,,,NA,16:00:00
A79B38,2022-06-23,16:02:16,N59BS,4025,200,5146,Private,16:00:00
ADFF43,2022-06-23,16:02:16,NA,23925,473,,NA,16:00:00
AB82E2,2022-06-23,16:02:16,N8405B,3600,101,,Private,16:00:00
ABC478,2022-06-23,16:02:17,SWA2803,34000,461,2101,SWA,16:00:00
A4B5D2,2022-06-23,16:02:18,UAL633,6850,193,6241,UAL,16:00:00
AA8114,2022-06-23,16:02:18,UAL2206,37000,459,7361,UAL,16:00:00
A6465D,2022-06-23,16:02:18,NA,12700,320,,NA,16:00:00
AD4EEA,2022-06-23,16:02:23,N957CR,41000,450,4175,Private,16:00:00
A83E7B,2022-06-23,16:02:32,N630HR,1500,87,,Private,16:00:00
A07BD8,2022-06-23,16:02:34,NA,35000,445,,NA,16:00:00
A1C229,2022-06-23,16:02:36,ENY4244,20300,387,3410,ENY,16:00:00
A83DD2,2022-06-23,16:02:58,N630AX,4500,331,5206,Private,16:00:00
A0E7F4,2022-06-23,16:03:42,AAL419,2600,177,7204,AAL,16:00:00
A10BBC,2022-06-23,16:03:54,AAL1742,2675,181,3424,AAL,16:00:00
A555C3,2022-06-23,16:03:57,AAL1967,12000,312,2710,AAL,16:00:00
A1DC86,2022-06-23,16:04:56,N219SE,2525,148,5143,Private,16:00:00
A3D3A9,2022-06-23,16:04:57,XSR346,1675,149,,XSR,16:00:00
A2AB6C,2022-06-23,16:05:01,NA,2150,348,,NA,16:00:00
AB2E55,2022-06-23,16:05:09,N81981,1700,73,,Private,16:00:00
AC1F0E,2022-06-23,16:05:12,AAL2296,37000,430,4241,AAL,16:00:00
A0F70C,2022-06-23,16:05:24,SKW5227,35000,418,,SKW,16:00:00
AC79A3,2022-06-23,16:05:34,AAL1618,2575,184,3644,AAL,16:00:00
AB2496,2022-06-23,16:05:52,AAL2740,12025,306,,AAL,16:00:00
A1FFF2,2022-06-23,16:05:55,ENY3918,11300,295,,ENY,16:00:00
AB3D51,2022-06-23,16:05:57,N823PM,4000,245,,Private,16:00:00
AC1988,2022-06-23,16:06:02,UAL337,8425,292,,UAL,16:00:00
AD2FCD,2022-06-23,16:06:21,NKS263,2325,196,3624,NKS,16:00:00
AC444B,2022-06-23,16:06:22,NA,8300,,,NA,16:00:00
A000E4,2022-06-23,16:06:50,N1KA,1600,177,,Private,16:00:00
A46D26,2022-06-23,16:06:59,UAL1125,35000,460,,UAL,16:00:00
A7286F,2022-06-23,16:07:15,N560RP,41000,411,,Private,16:00:00
