HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline,NearestHour
A37E05,2022-07-07,20:01:46,N324JS,45000,436,2501,Private,20:00:00
AB674B,2022-07-07,20:01:46,AAL632,11825,352,553,AAL,20:00:00
AE586C,2022-07-07,20:01:46,NA,28000,,,NA,20:00:00
A62436,2022-07-07,20:01:46,N495RV,2950,158,,Private,20:00:00
A2886C,2022-07-07,20:01:46,SWA1242,27150,489,2274,SWA,20:00:00
AC7419,2022-07-07,20:01:46,NKS1017,10550,257,6141,NKS,20:00:00
AC8009,2022-07-07,20:01:46,SWA2601,39000,439,710,SWA,20:00:00
A84978,2022-07-07,20:01:50,N633GA,2250,182,,Private,20:00:00
ACC31A,2022-07-07,20:01:57,AAL9785,11450,263,572,AAL,20:00:00
A3AFE1,2022-07-07,20:02:00,XSR337,20250,314,6227,XSR,20:00:00
A43458,2022-07-07,20:02:02,FFT2300,7175,289,2251,FFT,20:00:00
AC7E8E,2022-07-07,20:02:07,ASH5693,2375,287,,ASH,20:00:00
AD99FC,2022-07-07,20:02:09,AAL2620,9450,288,3622,AAL,20:00:00
A344C5,2022-07-07,20:02:34,GTX889,4700,153,5163,GTX,20:00:00
ADA336,2022-07-07,20:02:46,NA,16000,375,,NA,20:00:00
AA7AEB,2022-07-07,20:02:46,NA,,,,NA,20:00:00
AD6884,2022-07-07,20:03:00,NA,2325,208,,NA,20:00:00
ADEA26,2022-07-07,20:03:30,AAL531,9550,298,,AAL,20:00:00
AA2A7F,2022-07-07,20:04:00,SKW3077,8225,298,3633,SKW,20:00:00
ACAA74,2022-07-07,20:04:06,NKS813,12100,263,1473,NKS,20:00:00
A2AF23,2022-07-07,20:04:50,ENY4193,15950,313,2520,ENY,20:00:00
AA4903,2022-07-07,20:05:37,NA,2300,201,,NA,20:00:00
A2C56D,2022-07-07,20:05:59,ENY3781,11100,264,7157,ENY,20:00:00
A9BB70,2022-07-07,20:06:52,SKW3202,11350,257,2472,SKW,20:00:00
A15516,2022-07-07,20:07:12,AAL2065,9175,310,,AAL,20:00:00
AD9EDF,2022-07-07,20:07:21,AAL1916,2425,200,2306,AAL,20:00:00
AC2A33,2022-07-07,20:07:55,NA,2400,209,,NA,20:00:00
AA763F,2022-07-07,20:09:35,AAL575,2500,189,1030,AAL,20:00:00
AD7760,2022-07-07,20:09:58,AAL1482,2450,201,2362,AAL,20:00:00
A80113,2022-07-07,20:10:44,N6148J,1875,78,,Private,20:00:00
A3572C,2022-07-07,20:11:32,NA,,460,,NA,20:00:00
