HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline
A9F30B,2022-06-30,04:00:05,FDX1159,5925,269,2353,FDX
A33716,2022-06-30,04:00:21,AAL2421,35000,479,1705,AAL
A8C74E,2022-06-30,04:04:03,FDX1161,1425,169,515,FDX
AAF617,2022-06-30,04:13:12,SCX8708,32025,481,6734,SCX
A8058A,2022-06-30,04:14:08,FDX5283,1250,221,2356,FDX
A9BBA9,2022-06-30,04:16:23,JUS726,18325,361,716,JUS
A119CE,2022-06-30,04:17:13,AIP3598,24975,253,,AIP
A612A6,2022-06-30,04:23:32,UAL572,35025,477,3317,UAL
A48234,2022-06-30,04:23:51,AMF1722,3475,180,5251,AMF
A29CBF,2022-06-30,04:23:58,ASA315,16750,360,3572,ASA
A395D5,2022-06-30,04:29:59,AMF1746,3700,199,5227,AMF
AC7AE4,2022-06-30,04:30:06,CFS8291,1325,136,5215,CFS
A52323,2022-06-30,04:31:27,N430AE,1500,,1200,Private
A2A2F9,2022-06-30,04:33:22,N2691T,3100,91,,Private
ABC63A,2022-06-30,04:38:31,N858MY,37000,486,2011,Private
A2CE05,2022-06-30,04:51:26,ASA262,37000,461,2754,ASA
AD857E,2022-06-30,04:58:18,AAL1289,31000,497,7343,AAL
A06DB4,2022-06-30,04:59:08,AAL819,15675,374,1325,AAL
ADEE45,2022-06-30,05:11:54,NA,24625,377,,NA
A4CE11,2022-06-30,05:12:41,AAL362,35025,484,1031,AAL
A2BB83,2022-06-30,05:16:10,UAL1589,37000,464,,UAL
A2B130,2022-06-30,05:16:15,UAL469,33000,487,3230,UAL
A3B8E1,2022-06-30,05:16:54,AAL367,35000,469,7347,AAL
A728C1,2022-06-30,05:18:41,AAL2943,2650,177,,AAL
AA7ABD,2022-06-30,05:21:40,UAL2379,35000,461,,UAL
A2AE6C,2022-06-30,05:23:23,NA,34025,468,,NA
ACAA77,2022-06-30,05:23:32,AAL2812,2300,194,2252,AAL
A58DE0,2022-06-30,05:25:53,UAL2150,37000,467,7040,UAL
86E84C,2022-06-30,05:30:09,JAL6714,9925,294,,JAL
AAA247,2022-06-30,05:31:09,SWA2049,36275,466,2216,SWA
A0CAB1,2022-06-30,05:32:25,NA,38025,461,,NA
A582F9,2022-06-30,05:32:27,SWA2863,39000,451,,SWA
A3621E,2022-06-30,05:35:43,AAL1552,2350,207,,AAL
ACFBAF,2022-06-30,05:36:22,N9358C,1600,97,1200,Private
A0ADE2,2022-06-30,05:37:22,NA,2500,172,2274,NA
A96B65,2022-06-30,05:38:51,FFT509,2250,177,2204,FFT
AC4DFB,2022-06-30,05:39:07,AAL664,15350,345,7203,AAL
AC59AA,2022-06-30,05:39:11,UAL2371,4925,280,515,UAL
AB9639,2022-06-30,05:41:12,OAE557,34000,505,,OAE
AC0B96,2022-06-30,05:41:26,SWA1218,36000,453,2422,SWA
AABFF4,2022-06-30,05:41:30,FDX1168,1600,168,2225,FDX
ACF344,2022-06-30,05:42:39,ASH6341,2500,201,2265,ASH
A91700,2022-06-30,05:43:52,NA,2375,189,2361,NA
A3CC82,2022-06-30,05:46:23,DAL1157,2350,175,536,DAL
A02C94,2022-06-30,05:52:28,DAL1647,2500,181,2217,DAL
AA9600,2022-06-30,05:53:12,UAL505,37000,502,3366,UAL
A41632,2022-06-30,05:54:22,UAL2160,34000,466,2474,UAL
A5B954,2022-06-30,05:57:16,NA,39975,450,1151,NA
A37B0A,2022-06-30,05:59:01,N323SE,2575,191,,Private
ABEB31,2022-06-30,06:02:48,SWA1308,36000,448,2466,SWA
A33327,2022-06-30,06:07:10,AAL1563,2225,198,2304,AAL
ABBC52,2022-06-30,06:07:29,SWA2212,37000,468,,SWA
A537B2,2022-06-30,06:09:10,NA,4300,301,2212,NA
AB7613,2022-06-30,06:09:44,AAL962,11575,314,4030,AAL
A9C6A0,2022-06-30,06:10:49,SWA2888,5100,285,2334,SWA
AD084E,2022-06-30,06:11:26,NKS343,2125,202,573,NKS
A08A6B,2022-06-30,06:13:14,DAL421,2350,205,,DAL
A3DC47,2022-06-30,06:14:30,DAL732,2225,194,571,DAL
A58672,2022-06-30,06:16:35,UAL557,2275,197,503,UAL
ACC5A5,2022-06-30,06:18:37,AAL2563,13825,374,2505,AAL
AB2C72,2022-06-30,06:19:19,SCX503,1875,192,2207,SCX
ABE7C5,2022-06-30,06:20:28,NA,13650,,,NA
A2FB32,2022-06-30,06:20:31,NA,8950,,,NA
4BB141,2022-06-30,06:21:50,THY181,36000,467,,THY
A067F5,2022-06-30,06:24:11,N125TG,1425,130,,Private
AB5B8C,2022-06-30,06:24:20,SWA1849,13625,384,2301,SWA
A8D327,2022-06-30,06:26:27,NKS1022,2550,177,554,NKS
ABE0DF,2022-06-30,06:27:31,NA,7625,283,,NA
AA7AC8,2022-06-30,06:27:33,SWA802  ,,,,SWA
AC006D,2022-06-30,06:28:27,SWA734,8550,288,2320,SWA
A1BE72,2022-06-30,06:30:13,ENY3760,14875,353,5242,ENY
ABF6A4,2022-06-30,06:31:13,SKW3240,11525,322,2526,SKW
A8C439,2022-06-30,06:32:40,NA,6975,272,,NA
AB82E2,2022-06-30,06:34:57,N8405B,2000,68,,Private
A09188,2022-06-30,06:35:27,AAL2272,11750,296,,AAL
AB7FE6,2022-06-30,06:36:09,NA,8475,,,NA
AB06A1,2022-06-30,06:36:35,N8097H,1800,73,,Private
A4C135,2022-06-30,06:37:42,NA,11450,341,,NA
AB17E1,2022-06-30,06:39:17,N8137U,1700,96,,Private
A1C7B0,2022-06-30,06:39:54,NA,1600,73,,NA
A96F07,2022-06-30,06:40:05,SKW3071,10300,274,5216,SKW
AA31ED,2022-06-30,06:40:30,SKW3184,14350,316,2406,SKW
C0527B,2022-06-30,06:40:56,,2975,240,2214,NA
AB5867,2022-06-30,06:42:26,NA,8900,286,,NA
A28099,2022-06-30,06:43:06,N260SM,1325,199,525,Private
A564AB,2022-06-30,06:44:14,NA,8925,299,,NA
A23200,2022-06-30,06:44:21,SWA783,17700,422,2230,SWA
AB68F9,2022-06-30,06:44:32,UAL698,2475,177,2342,UAL
A4DD51,2022-06-30,06:44:38,UAL305,33275,468,4022,UAL
AAD213,2022-06-30,06:45:06,AAL102,9850,284,,AAL
AC31A1,2022-06-30,06:46:52,AAL2327,35000,467,7351,AAL
ACDFB1,2022-06-30,06:46:55,NA,4025,,,NA
A99A3D,2022-06-30,06:47:00,SKW3262,13400,338,5261,SKW
A80C7B,2022-06-30,06:47:11,ENY3512,13875,346,5224,ENY
AB8D84,2022-06-30,06:47:30,N8431L,2300,86,1200,Private
AAA644,2022-06-30,06:48:05,SWA2897,32000,443,,SWA
A29A37,2022-06-30,06:48:19,ENY4046,8150,292,,ENY
AC6F31,2022-06-30,06:48:44,ENY3534,11850,283,7454,ENY
A9250D,2022-06-30,06:49:27,ENY3571,8475,288,,ENY
ACF507,2022-06-30,06:50:20,N934FE,3875,171,,Private
A9F136,2022-06-30,06:50:49,NA,2900,,,NA
A3CD7D,2022-06-30,06:50:51,AAL1230,37000,461,4077,AAL
AC76B6,2022-06-30,06:51:18,ENY3832,10875,275,7404,ENY
A7016C,2022-06-30,06:52:12,NA,40000,458,2104,NA
A0F566,2022-06-30,06:52:16,AAL1226,11875,280,3667,AAL
AB2EE0,2022-06-30,06:53:38,NA,7925,235,545,NA
AD1D0E,2022-06-30,06:53:55,ASH5786,11650,282,2572,ASH
AA882E,2022-06-30,06:54:29,NA,20025,387,,NA
ACC954,2022-06-30,06:54:57,ENY3706,8450,290,,ENY
A9E236,2022-06-30,06:55:20,N736K,40000,478,2117,Private
A7FF0E,2022-06-30,06:55:35,SKW3253,11700,276,5137,SKW
A3D91F,2022-06-30,06:56:01,NA,,,,NA
ABC0E4,2022-06-30,06:56:08,NA,2875,230,,NA
ACF1A3,2022-06-30,06:56:55,NA,8325,285,,NA
A8EE50,2022-06-30,06:57:07,ENY4063,11400,278,5125,ENY
AA55B5,2022-06-30,06:57:55,SKW3297,9250,291,,SKW
A9F424,2022-06-30,06:58:15,SKW3026,11875,278,2557,SKW
AAB2BF,2022-06-30,06:59:17,JBU610,2375,191,550,JBU
AD5369,2022-06-30,06:59:32,ASH5772,13275,338,5165,ASH
ABC4BE,2022-06-30,06:59:41,SWA2287,17025,407,555,SWA
ACFC00,2022-06-30,07:00:51,NA,7000,291,,NA
AA75C6,2022-06-30,07:01:34,SKW3211,12650,332,2414,SKW
A7F27A,2022-06-30,07:01:47,ENY3848,11875,280,2554,ENY
AD58FC,2022-06-30,07:01:50,MRA662,3500,108,5256,MRA
A36549,2022-06-30,07:02:37,N318HS,5425,270,2344,Private
A66B46,2022-06-30,07:02:59,N5120S  ,1825,76,,Private
AA9A93,2022-06-30,07:03:06,NA,7425,270,,NA
AA25A6,2022-06-30,07:03:28,SKW3204,11825,280,5653,SKW
AD2741,2022-06-30,07:03:30,NA,2900,207,,NA
A7D7B5,2022-06-30,07:04:26,SKW3138,13900,347,7216,SKW
A742C2,2022-06-30,07:04:32,AAL1595,13800,352,7431,AAL
A7F9E8,2022-06-30,07:05:10,ENY3983,11475,274,5257,ENY
A59608,2022-06-30,07:05:11,MRA660,2800,134,,MRA
A83673,2022-06-30,07:05:40,N6281C,1400,87,1200,Private
A4200D,2022-06-30,07:05:53,NA,2550,184,562,NA
AA5D60,2022-06-30,07:06:25,AAL2286,16100,350,1750,AAL
AB5FDD,2022-06-30,07:06:37,AAL2768,13975,347,2563,AAL
A361E5,2022-06-30,07:06:45,NA,7650,279,,NA
A10931,2022-06-30,07:06:51,AAL2677,11375,301,,AAL
A77B76,2022-06-30,07:07:23,AAL553,2300,193,537,AAL
AD247C,2022-06-30,07:07:52,NA,8800,293,,NA
A234EF,2022-06-30,07:08:16,ENY3300,11550,275,2543,ENY
A5BCCD,2022-06-30,07:08:36,UAL380,2100,194,2351,UAL
A076F1,2022-06-30,07:10:02,UPS9775,11575,279,7325,UPS
AC0DD9,2022-06-30,07:10:47,NA,2200,205,,NA
ABB245,2022-06-30,07:11:14,SWA2765,36000,448,4075,SWA
AD2C16,2022-06-30,07:11:30,NKS3161 ,2225,199,,NKS
A3C5EA,2022-06-30,07:12:00,DAL2239,34975,476,7372,DAL
A1804C,2022-06-30,07:12:27,AAL856,2375,188,2371,AAL
ACAB11,2022-06-30,07:12:31,AAL1189,11800,278,1476,AAL
ACEA99,2022-06-30,07:12:32,AAL2789,11825,279,2662,AAL
A973E0,2022-06-30,07:13:38,SKW3106,12975,316,2516,SKW
A260BC,2022-06-30,07:14:00,UPS2751,2825,246,567,UPS
A21D14,2022-06-30,07:14:23,NA,4850,,,NA
AC0AAC,2022-06-30,07:14:27,UAL1253,35025,469,,UAL
AD3D1F,2022-06-30,07:15:02,ASH5781,12875,326,2752,ASH
A77F2D,2022-06-30,07:15:10,AAL2090,11875,280,2445,AAL
AB19DF,2022-06-30,07:15:54,NA,2100,185,2202,NA
A7BBB2,2022-06-30,07:15:56,LXJ598,2050,213,,LXJ
A722DB,2022-06-30,07:16:57,NA,18000,383,,NA
A39E6B,2022-06-30,07:17:09,DAL2563,35025,469,4073,DAL
A3813B,2022-06-30,07:17:12,DAL1416 ,2175,190,2323,DAL
AD64CD,2022-06-30,07:17:25,AAL1794,2100,195,511,AAL
A97DA7,2022-06-30,07:17:34,SKW3237,11900,282,1525,SKW
