HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline,NearestHour
A20A81,2022-06-28,00:00:48,SWA3019,16225,364,5160,SWA,00:00:00
A959DF,2022-06-28,00:00:49,SKW3221 ,15075,343,,SKW,00:00:00
AD3D1F,2022-06-28,00:00:49,ASH5874,18100,371,2340,ASH,00:00:00
A53EC4,2022-06-28,00:00:52,NA,32000,421,,NA,00:00:00
A56A18,2022-06-28,00:00:52,UAL2617,36000,440,,UAL,00:00:00
AA9C2C,2022-06-28,00:01:30,FDX1148,8125,285,1164,FDX,00:00:00
A1E30B,2022-06-28,00:02:00,N220WX,2125,100,1200,Private,00:00:00
AA831E,2022-06-28,00:03:08,N777AX,36975,392,,Private,00:00:00
A68D2D,2022-06-28,00:03:32,IFL521,38925,470,771,IFL,00:00:00
AC4717,2022-06-28,00:04:31,UAL772,16900,383,2756,UAL,00:00:00
A6CC45,2022-06-28,00:05:04,AAL785,5725,282,2363,AAL,00:00:00
ADD2B0,2022-06-28,00:06:33,NA,5525,275,,NA,00:00:00
ACDFB1,2022-06-28,00:07:27,NA,1525,,503,NA,00:00:00
AAFC60,2022-06-28,00:11:18,N807FE,1225,96,,Private,00:00:00
A1B1BC,2022-06-28,00:12:21,NA,6500,228,,NA,00:00:00
AA9875,2022-06-28,00:13:56,FDX1116,4425,251,,FDX,00:00:00
ACB832,2022-06-28,00:14:25,SIL3989,1600,122,,SIL,00:00:00
A4189F,2022-06-28,00:14:55,DAL1303,36000,456,2401,DAL,00:00:00
A9F30B,2022-06-28,00:18:07,FDX1124,2775,190,2231,FDX,00:00:00
A52323,2022-06-28,00:25:27,N430AE  ,1000,,,Private,00:00:00
AD5D5F,2022-06-28,00:26:03,NA,12250,363,,NA,00:00:00
A098F6,2022-06-28,00:27:03,AAL446,8350,291,3662,AAL,00:00:00
AA147A,2022-06-28,00:27:51,FDX1286,11900,370,,FDX,00:00:00
ACF0DA,2022-06-28,00:29:22,AAL2747,10850,348,1335,AAL,00:00:00
AD2741,2022-06-28,00:30:32,SIL3923,1400,120,2251,SIL,00:00:00
A4ED78,2022-06-28,00:33:17,GTX489,5200,182,,GTX,00:00:00
A9D44C,2022-06-28,00:35:03,NA,,,,NA,00:00:00
A0F230,2022-06-28,00:38:30,FDX1100,7075,260,,FDX,00:00:00
A722B1,2022-06-28,00:40:43,NA,,,,NA,00:00:00
A0D98D,2022-06-28,00:46:41,FDX1117,4900,237,2377,FDX,00:00:00
ABC780,2022-06-28,00:52:45,NA,4500,278,,NA,00:00:00
AA231C,2022-06-28,00:53:48,NA,34000,,,NA,00:00:00
A3472F,2022-06-28,00:54:53,DAL773,35000,448,7330,DAL,00:00:00
A35E5B,2022-06-28,00:56:39,NA,36025,,,NA,00:00:00
A8DFF1,2022-06-28,00:58:54,FDX1113,4250,207,6662,FDX,00:00:00
ACDC64,2022-06-28,00:58:56,N928FE,3075,166,,Private,00:00:00
A30DC5,2022-06-28,00:59:28,SWA1008,30000,461,7405,SWA,00:00:00
AAC118,2022-06-28,01:01:52,SWA1592,37000,478,,SWA,01:00:00
A5B4E1,2022-06-28,01:03:11,N467P,1875,114,1200,Private,01:00:00
ABDD6D,2022-06-28,01:03:14,NA,37000,468,,NA,01:00:00
A10C31,2022-06-28,01:06:52,FDX1107,9750,309,1373,FDX,01:00:00
A05C59,2022-06-28,01:10:52,AAL651,33025,484,2650,AAL,01:00:00
A0E4B2,2022-06-28,01:12:39,FDX2601,1725,247,2337,FDX,01:00:00
AB485E,2022-06-28,01:16:59,AAL719R,14375,375,,AAL,01:00:00
AB3117,2022-06-28,01:22:59,KFS102,11125,331,2265,KFS,01:00:00
ABEBBE,2022-06-28,01:23:39,SWA953,14625,414,7332,SWA,01:00:00
AC24C5,2022-06-28,01:26:58,SWA2967,41000,468,2260,SWA,01:00:00
A43E5E,2022-06-28,01:31:24,UAL432,39000,468,1474,UAL,01:00:00
A2B8C5,2022-06-28,01:33:42,UAL1497,35000,474,563,UAL,01:00:00
ACE01B,2022-06-28,01:37:20,BVN8279,1150,84,,BVN,01:00:00
A506D1,2022-06-28,01:38:31,AAL2670,35025,496,1334,AAL,01:00:00
A9D651,2022-06-28,01:46:09,PKW910,11600,270,,PKW,01:00:00
0C20CE,2022-06-28,01:47:00,NA,37000,465,,NA,01:00:00
A10611,2022-06-28,01:50:17,NA,13100,411,,NA,01:00:00
