HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline
A071EC,2022-07-12,04:00:04,FDX1151,6500,277,2256,FDX
AD605E,2022-07-12,04:00:04,FDX1168,12150,389,2262,FDX
A40312,2022-07-12,04:00:38,NA,35000,461,,NA
AB2B5E,2022-07-12,04:00:39,CFS8276,1650,192,,CFS
A3016E,2022-07-12,04:01:36,N293JG,1125,179,566,Private
A38D48,2022-07-12,04:06:34,AAY3000,35000,458,,AAY
A9046D,2022-07-12,04:06:56,NKS208,11000,390,7346,NKS
A55F00,2022-07-12,04:08:02,UPS930,2800,284,576,UPS
A8A73D,2022-07-12,04:09:00,FDX1159,2075,195,503,FDX
A51002,2022-07-12,04:09:38,UPS890,3000,206,2220,UPS
A41B89,2022-07-12,04:10:02,DAL650,33000,466,1346,DAL
A395D5,2022-07-12,04:17:12,AMF1746,3550,178,5113,AMF
A48234,2022-07-12,04:22:44,AMF1722,3025,191,5172,AMF
A7E930,2022-07-12,04:28:21,FDX5285,3250,218,535,FDX
A08663,2022-07-12,04:28:55,AAL819,14125,360,,AAL
A642CD,2022-07-12,04:30:24,EJA502,13225,351,5102,EJA
A506D5,2022-07-12,04:31:05,ASA315,11200,302,2374,ASA
AC7AE4,2022-07-12,04:31:46,CFS8291,1900,186,5210,CFS
A8D465,2022-07-12,04:55:53,UAL2075,37000,473,6630,UAL
A923EF,2022-07-12,05:04:29,UAL2379,37000,472,3543,UAL
ACB824,2022-07-12,05:07:47,ASA262,37025,473,,ASA
AB2AE1,2022-07-12,05:08:18,OAE531,2425,169,,OAE
A4491A,2022-07-12,05:08:49,UAL1589,35000,477,,UAL
A06010,2022-07-12,05:15:28,AAL1042,2475,181,,AAL
A2B8C5,2022-07-12,05:15:54,UAL1206,7750,286,2274,UAL
A77F2D,2022-07-12,05:17:06,AAL2943,2750,181,,AAL
A42323,2022-07-12,05:28:29,FFT509,2800,182,2371,FFT
ACF849,2022-07-12,05:29:32,NA,2475,285,,NA
ACFA3D,2022-07-12,05:29:45,SWA2049,35675,474,2366,SWA
A1489C,2022-07-12,05:31:18,FDX1471,3375,198,2244,FDX
A3A9EB,2022-07-12,05:33:49,AAL367,35000,452,1064,AAL
A16C64,2022-07-12,05:34:34,NA,34000,,,NA
AD6D03,2022-07-12,05:36:02,SWA2863,39000,442,2576,SWA
A0E869,2022-07-12,05:36:59,FDX1499,36000,489,,FDX
ABE2A3,2022-07-12,05:37:40,NA,2500,192,552,NA
A0FEA6,2022-07-12,05:44:35,AAL856,2375,182,2302,AAL
AAF002,2022-07-12,05:46:04,ASH6341,2600,196,2274,ASH
86E7A2,2022-07-12,05:47:03,JAL6714,8250,288,,JAL
A8B56F,2022-07-12,05:47:30,NA,2500,179,550,NA
A062EF,2022-07-12,05:50:57,DAL1647,2575,190,2360,DAL
A8C6DD,2022-07-12,05:53:19,XSR665,2225,163,561,XSR
AB4E94,2022-07-12,05:58:15,NA,9050,291,,NA
A0181B,2022-07-12,05:58:48,NA,,,,NA
A4C135,2022-07-12,06:01:56,SWA1598,35000,485,1123,SWA
A9589B,2022-07-12,06:03:46,NA,2400,,5124,NA
A9F231,2022-07-12,06:04:15,NA,8800,150,,NA
AC0027,2022-07-12,06:04:18,SWA1218,38000,446,2420,SWA
ABB52C,2022-07-12,06:04:57,SWA1308,34000,452,2444,SWA
ABBC75,2022-07-12,06:05:05,SWA2212,37000,454,2542,SWA
A4CC1C,2022-07-12,06:06:37,UAL2150,35025,461,7056,UAL
AB3FC4,2022-07-12,06:07:38,NA,11050,254,7427,NA
A4AB5C,2022-07-12,06:07:58,N40MA,4025,172,2221,Private
A08A6B,2022-07-12,06:09:35,DAL421,2800,185,,DAL
A53006,2022-07-12,06:10:25,UAL557,2600,189,2372,UAL
AC1F98,2022-07-12,06:10:42,UAL698,2300,193,504,UAL
AA231C,2022-07-12,06:12:29,NA,8500,283,,NA
AD1983,2022-07-12,06:12:45,NA,2250,187,,NA
AD8ED7,2022-07-12,06:15:13,AAL1563 ,2375,314,,AAL
AA9723,2022-07-12,06:17:34,SWA2047,9050,287,,SWA
AD99FC,2022-07-12,06:17:41,AAL2563,15300,337,2405,AAL
A476DE,2022-07-12,06:18:09,N387SC,2600,158,,Private
ABD8E4,2022-07-12,06:20:03,NA,,,,NA
A9AF44,2022-07-12,06:21:12,NA,,,,NA
ABAAFE,2022-07-12,06:21:15,SWA770,8450,279,,SWA
A7E18D,2022-07-12,06:21:16,NA,,337,,NA
A912F0,2022-07-12,06:22:10,NA,8075,283,,NA
A423D7,2022-07-12,06:24:36,DAL732  ,2275,197,510,DAL
A243CB,2022-07-12,06:25:05,ENY3760 ,14900,345,5271,ENY
ABE892,2022-07-12,06:25:58,SWA2867,11450,359,,SWA
AC00B1,2022-07-12,06:26:25,SWA734,14175,376,2373,SWA
A959DF,2022-07-12,06:27:19,NA,11700,304,,NA
AB635D,2022-07-12,06:28:45,SWA1849,12300,393,2331,SWA
A7FB7D,2022-07-12,06:29:53,SKW3071,11875,261,5247,SKW
AD2741,2022-07-12,06:35:56,NA,1975,,,NA
ABF375,2022-07-12,06:36:46,NA,11100,337,,NA
A83673,2022-07-12,06:36:49,N6281C,1300,100,1200,Private
71BC15,2022-07-12,06:37:26,AAR244,2300,174,2377,AAR
A7F27A,2022-07-12,06:39:06,ENY3848,11425,268,2466,ENY
A3117C,2022-07-12,06:41:23,SWA783,9425,320,2273,SWA
ACCB22,2022-07-12,06:41:52,AAL2770,11650,307,2012,AAL
A1FD03,2022-07-12,06:42:21,SWA2897 ,34000,471,,SWA
A93997,2022-07-12,06:42:57,ENY3647,13075,362,5231,ENY
ADBEF0,2022-07-12,06:43:04,NA,2500,202,2323,NA
A8430D,2022-07-12,06:44:48,SKW3184,13575,393,2571,SKW
A0CDF3,2022-07-12,06:44:50,AAL2272,8325,291,5211,AAL
A76134,2022-07-12,06:45:34,N575CF,2600,206,2315,Private
A59608,2022-07-12,06:46:26,MRA660,3200,129,,MRA
AB2E55,2022-07-12,06:46:48,NA,1700,75,,NA
A1D105,2022-07-12,06:47:22,ENY4046 ,7900,286,,ENY
AB2C04,2022-07-12,06:48:10,AAL1230,35000,441,7336,AAL
AA2184,2022-07-12,06:50:51,NA,8750,290,,NA
A915CF,2022-07-12,06:50:53,ENY4063,11325,265,5260,ENY
ABFE12,2022-07-12,06:51:58,SKW3262,12375,361,5125,SKW
ACDBE7,2022-07-12,06:53:12,ENY3983,11625,266,5233,ENY
A4F022,2022-07-12,06:53:14,SWA1630,40000,470,1737,SWA
A7F9E8,2022-07-12,06:53:44,NA,,,,NA
A0480B,2022-07-12,06:54:09,AAL2862,8450,285,,AAL
A8C439,2022-07-12,06:55:03,ENY3534,11350,265,2475,ENY
ACAD7B,2022-07-12,06:55:51,ASH5772,14850,397,5173,ASH
ACED1C,2022-07-12,06:56:56,NA,7475,272,,NA
A1C7B0,2022-07-12,06:57:02,NA,2000,75,,NA
ABC649,2022-07-12,06:57:11,AAL2342,15725,380,7253,AAL
ADAB31,2022-07-12,06:57:23,AAL2442,11475,260,7327,AAL
A3AFE1,2022-07-12,06:58:25,XSR337,1600,174,5252,XSR
ABB5BF,2022-07-12,06:58:29,SWA2770,34000,,,SWA
A1B0E7,2022-07-12,06:58:52,MRA666,3100,160,5115,MRA
ACF946,2022-07-12,06:58:53,ASH5786,11050,260,2720,ASH
A08651,2022-07-12,06:59:16,N13296,3100,96,,Private
ACD935,2022-07-12,06:59:52,ASH5781,12175,334,2515,ASH
ADF194,2022-07-12,07:00:07,AAL2605,11450,259,566,AAL
A2ECEC,2022-07-12,07:01:43,ENY3300,11325,264,2573,ENY
AAB129,2022-07-12,07:01:49,SWA2287,16275,418,2267,SWA
A4AEA2,2022-07-12,07:01:57,NA,,,,NA
AB4F5D,2022-07-12,07:01:57,JBU610,2525,174,,JBU
AD14A3,2022-07-12,07:02:49,AAL2540,7075,282,,AAL
A3A222,2022-07-12,07:03:09,DAL1662,2675,178,,DAL
A4189F,2022-07-12,07:03:12,DAL2062,37025,438,7434,DAL
AA2E36,2022-07-12,07:03:15,SKW3237,10850,260,5606,SKW
A65B76,2022-07-12,07:04:16,AAL2677,11325,259,756,AAL
AA55EE,2022-07-12,07:04:58,AAL2768 ,14400,338,2441,AAL
A84A7B,2022-07-12,07:05:02,SKW3138,12650,326,4030,SKW
AD9F7F,2022-07-12,07:05:47,AAL1226,11800,258,3673,AAL
A4BB8A,2022-07-12,07:05:52,NA,7700,287,,NA
A05776,2022-07-12,07:06:08,AAL2297,2475,198,2240,AAL
A99DF4,2022-07-12,07:06:39,NA,8250,280,,NA
A1F94C,2022-07-12,07:07:17,NA,8100,,,NA
AA01DE,2022-07-12,07:07:17,SKW3253,11025,261,5253,SKW
AD2351,2022-07-12,07:07:19,ALLEN159,1775,96,,ALLEN
AD2798,2022-07-12,07:07:57,N947EL,1200,183,567,Private
AC6F31,2022-07-12,07:08:25,ENY3512,13150,306,5150,ENY
A9F424,2022-07-12,07:08:39,SKW3026,11325,260,2530,SKW
ACC954,2022-07-12,07:09:11,ENY3500,7300,270,,ENY
A704F9,2022-07-12,07:09:45,AAL553,2575,306,,AAL
A187BA,2022-07-12,07:09:54,AAL2090,11825,265,2465,AAL
AC2BB7,2022-07-12,07:10:01,NA,36000,483,,NA
AD260E,2022-07-12,07:10:11,ALLEN118,1800,91,,ALLEN
ABE79D,2022-07-12,07:10:28,SWA2765,34000,464,7443,SWA
AB5FDD,2022-07-12,07:10:51,AAL2286,15325,313,1104,AAL
A23FE5,2022-07-12,07:10:55,NA,7725,280,,NA
ADB0B4,2022-07-12,07:11:21,AAL1189,11625,263,7406,AAL
A803F7,2022-07-12,07:11:35,N6152H,1650,86,,Private
AC7B8A,2022-07-12,07:12:21,AAL1632,14875,351,4071,AAL
A1087A,2022-07-12,07:12:26,NA,2775,220,,NA
A4BA76,2022-07-12,07:12:28,AAL555Q,11750,287,,AAL
ACE6E2,2022-07-12,07:12:49,AAL2789,11350,260,1034,AAL
A94BFC,2022-07-12,07:12:59,UAL436,37000,468,1441,UAL
A9029D,2022-07-12,07:13:54,N68TX   ,1125,74,,Private
A0C238,2022-07-12,07:14:12,UPS9775,11075,263,2541,UPS
A83F56,2022-07-12,07:14:17,SKW3106,14350,362,2523,SKW
C02E9B,2022-07-12,07:14:20,JZA998,2200,204,2217,JZA
ABB8EA,2022-07-12,07:14:21,NA,6025,233,,NA
AD24A8,2022-07-12,07:15:00,NA,2375,192,2337,NA
A8E6E2,2022-07-12,07:16:17,ENY3832,11375,260,4042,ENY
A15F04,2022-07-12,07:16:27,N188GK,1225,87,1200,Private
AB5257,2022-07-12,07:17:14,NA,7825,291,,NA
A00C80,2022-07-12,07:17:28,NA,2600,,,NA
A2457B,2022-07-12,07:17:39,NA,3150,92,,NA
A79158,2022-07-12,07:17:50,NA,,,,NA
AD3D1F,2022-07-12,07:17:59,ASH5820 ,13500,367,2647,ASH
AC6FDB,2022-07-12,07:18:10,N900H,17375,374,2357,Private
AC5BB0,2022-07-12,07:18:23,DAL1668,11900,348,,DAL
A34BB6,2022-07-12,07:18:41,N311NB,20250,411,2232,Private
A8063E,2022-07-12,07:21:04,NKS268,2175,286,2335,NKS
ACC95C,2022-07-12,07:21:27,NA,2250,201,,NA
A0D99A,2022-07-12,07:22:16,N154FT  ,1800,80,,Private
A40694,2022-07-12,07:22:38,DAL1416,12175,379,,DAL
A7F8AF,2022-07-12,07:25:00,NA,4000,90,,NA
ADDF01,2022-07-12,07:25:31,AAL1794,2275,214,574,AAL
AD763F,2022-07-12,07:25:47,NA,,153,,NA
AA922B,2022-07-12,07:26:04,NA,11450,292,,NA
A042DB,2022-07-12,07:26:10,NA,2550,202,,NA
AC290C,2022-07-12,07:26:31,ALLEN283,1975,102,5152,ALLEN
A9D626,2022-07-12,07:26:53,NA,2050,,,NA
