HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline
AB35CB,2022-07-02,00:00:39,AAL956,9350,246,1023,AAL
AD2741,2022-07-02,00:00:39,SIL3967,4225,196,,SIL
AAB1AF,2022-07-02,00:01:05,NA,32975,462,,NA
A0AA84,2022-07-02,00:02:07,N142EB,24000,313,,Private
AA1B9A,2022-07-02,00:05:01,SWA968,41000,433,1403,SWA
A39D95,2022-07-02,00:08:00,DAL2373,8075,284,,DAL
ACDFB1,2022-07-02,00:10:15,SIL3901,2325,,2312,SIL
AD5720,2022-07-02,00:10:48,ASH5831,2225,190,2244,ASH
AD4105,2022-07-02,00:12:24,AAL2564,2350,187,2266,AAL
A94B4B,2022-07-02,00:14:30,UAL1475,34000,475,2416,UAL
A2DDFA,2022-07-02,00:15:24,N284MR,2300,131,5123,Private
A8A986,2022-07-02,00:17:26,GTX489,9500,178,,GTX
AAE713,2022-07-02,00:17:58,N801RH,1800,176,,Private
A0D72B,2022-07-02,00:18:09,AAL2410,14400,355,2027,AAL
AD763F,2022-07-02,00:20:39,SIL3923,1950,120,,SIL
ACA760,2022-07-02,00:22:19,AAL785,2650,185,,AAL
ABAAA8,2022-07-02,00:22:55,SWA1333,17275,372,7206,SWA
AC18FE,2022-07-02,00:24:42,AAL1103,2450,184,2265,AAL
A76CBE,2022-07-02,00:27:58,N578GG,2000,185,,Private
A03BC0,2022-07-02,00:32:04,EMD29,10000,265,5125,EMD
AB15BA,2022-07-02,00:41:57,AAL1950,10500,267,,AAL
A1804C,2022-07-02,00:46:33,AAL662,2450,180,2237,AAL
AD0DA9,2022-07-02,00:51:53,NA,4025,246,,NA
ABFCDA,2022-07-02,01:00:53,SWA2967,37025,441,,SWA
AC76B6,2022-07-02,01:13:28,ENY3545,3025,199,5176,ENY
A09188,2022-07-02,01:15:10,AAL651,32950,467,2656,AAL
A69D67,2022-07-02,01:17:09,NA,,,,NA
A1515B,2022-07-02,01:27:37,AAL633,21575,378,,AAL
71C226,2022-07-02,01:33:21,KAL277,10150,283,516,KAL
A14AD4,2022-07-02,01:39:48,UAL432,35000,456,1463,UAL
ACFD29,2022-07-02,01:46:56,NKS954  ,37025,465,1063,NKS
A3A9AF,2022-07-02,02:02:20,AAL2471,12475,309,,AAL
A10D82,2022-07-02,02:15:08,AAL2701,11200,340,,AAL
A75A10,2022-07-02,02:17:25,FDX5282,4250,179,525,FDX
A2BBA8,2022-07-02,02:30:33,NA,34975,,,NA
A0E9A5,2022-07-02,02:31:12,AJI650,13300,342,,AJI
ACF54F,2022-07-02,02:35:49,NA,33000,463,,NA
0D099A,2022-07-02,02:38:09,NA,36000,452,,NA
A81ABE,2022-07-02,02:48:13,NA,36025,469,,NA
ABB76D,2022-07-02,02:50:14,NA,,,,NA
ADD66D,2022-07-02,03:12:44,AAL2091,35025,467,,AAL
A8FE5D,2022-07-02,03:16:02,NKS208,10850,295,,NKS
A4D99A,2022-07-02,03:18:53,UAL2018,35025,459,7336,UAL
A08021,2022-07-02,03:26:23,NA,32975,469,,NA
A3DB93,2022-07-02,03:28:41,FFT2098,35000,462,1030,FFT
A481D7,2022-07-02,03:31:08,N39QJ,29225,432,2601,Private
A37DB9,2022-07-02,03:37:31,FFT1286,35025,464,2660,FFT
ACD961,2022-07-02,03:41:34,NKS1964,17175,346,,NKS
A0BA69,2022-07-02,03:46:24,N146QS  ,45000,474,,Private
A3A9FF,2022-07-02,03:51:18,AAL2534,35000,455,,AAL
AB4EA9,2022-07-02,03:52:48,CMB503,2350,166,,CMB
A3B110,2022-07-02,03:55:29,NA,37025,462,,NA
