HexCode,Date,Time,FlightNumber,Alt,GroundSpeed,Squawk,Airline,NearestHour
A35388,2022-07-04,04:00:02,AAL2421,35000,460,3252,AAL,04:00:00
AC2C23,2022-07-04,04:16:27,ASH6160,35000,458,,ASH,04:00:00
A39DCA,2022-07-04,04:20:00,NA,37000,462,,NA,04:00:00
AC6E67,2022-07-04,04:33:22,NA,11925,232,,NA,04:00:00
0D0B78,2022-07-04,04:36:29,VIV547,36000,425,1321,VIV,04:00:00
A720EB,2022-07-04,04:39:23,ASA287,10875,318,577,ASA,04:00:00
A35843,2022-07-04,05:01:58,UAL2075,35000,470,3536,UAL,05:00:00
ACA948,2022-07-04,05:03:36,ASA262,37000,455,3537,ASA,05:00:00
A1C2B3,2022-07-04,05:05:39,UAL505,37000,473,3257,UAL,05:00:00
A11B00,2022-07-04,05:08:12,NA,2550,178,2344,NA,05:00:00
A05671,2022-07-04,05:09:28,AAL1122,11800,277,2341,AAL,05:00:00
A32FA7,2022-07-04,05:09:39,AAL367,37000,461,7255,AAL,05:00:00
A515AD,2022-07-04,05:14:15,AAL362,35000,468,1041,AAL,05:00:00
A5D643,2022-07-04,05:22:04,UAL1589,37000,450,5776,UAL,05:00:00
A506D1,2022-07-04,05:22:49,AAL1042,2600,189,531,AAL,05:00:00
A79ED6,2022-07-04,05:23:32,EJA590,7050,268,,EJA,05:00:00
A50119,2022-07-04,05:25:01,UAL2150,37000,454,2606,UAL,05:00:00
A2E646,2022-07-04,05:33:01,SWA2863,37075,473,,SWA,05:00:00
AD2EA4,2022-07-04,05:35:17,AAL1552,2450,186,545,AAL,05:00:00
A1BB83,2022-07-04,05:36:45,SWA2049,41000,426,2256,SWA,05:00:00
86E4FC,2022-07-04,05:38:50,NA,8025,,,NA,05:00:00
ABAE62,2022-07-04,05:39:18,SWA1218,40000,470,2546,SWA,05:00:00
A49D22,2022-07-04,05:42:41,DAL1647,2725,173,2255,DAL,05:00:00
AC2BD4,2022-07-04,05:44:41,NA,3000,188,2274,NA,05:00:00
AB6737,2022-07-04,05:47:07,AAL6,8025,,,AAL,05:00:00
A9A419,2022-07-04,05:47:54,FFT509,3000,171,516,FFT,05:00:00
A8FE5D,2022-07-04,05:49:39,NKS1967,2675,171,514,NKS,05:00:00
A4B9C7,2022-07-04,06:03:03,SWA1598,40000,425,1721,SWA,06:00:00
A4E146,2022-07-04,06:06:34,NA,5375,254,,NA,06:00:00
A7D6B1,2022-07-04,06:06:56,N604G,4475,114,,Private,06:00:00
AB3856,2022-07-04,06:08:09,AAL962,11300,279,4006,AAL,06:00:00
AD8769,2022-07-04,06:08:48,NA,2450,181,,NA,06:00:00
ABC478,2022-07-04,06:10:29,SWA2212,39000,472,,SWA,06:00:00
ABD8E4,2022-07-04,06:11:24,NA,4625,286,,NA,06:00:00
A5CA4B,2022-07-04,06:11:29,UAL557,2600,176,2242,UAL,06:00:00
A01037,2022-07-04,06:13:22,DAL421,2850,176,2307,DAL,06:00:00
A438C3,2022-07-04,06:13:31,DAL732,2275,181,2201,DAL,06:00:00
ABEFDD,2022-07-04,06:14:05,SWA727,8725,296,,SWA,06:00:00
ABAFFF,2022-07-04,06:14:36,AAL2563,14400,358,2402,AAL,06:00:00
ACE6DF,2022-07-04,06:14:46,NKS343,2475,182,2275,NKS,06:00:00
A235B7,2022-07-04,06:15:29,NA,7025,285,,NA,06:00:00
ACAA77,2022-07-04,06:16:17,AAL2567,2325,195,2311,AAL,06:00:00
AC0F6C,2022-07-04,06:19:19,SWA1308,38000,476,2571,SWA,06:00:00
A3A084,2022-07-04,06:19:36,UAL327,40000,453,,UAL,06:00:00
AB5BF0,2022-07-04,06:20:45,SWA734  ,5825,310,,SWA,06:00:00
ACC954,2022-07-04,06:21:54,ENY3760,12950,319,5237,ENY,06:00:00
A8AF5F,2022-07-04,06:22:03,NKS1022,2550,172,560,NKS,06:00:00
ABD9D9,2022-07-04,06:24:00,SWA2867,9700,298,,SWA,06:00:00
AB82E2,2022-07-04,06:24:22,N8405B,1800,65,1200,Private,06:00:00
AC04AE,2022-07-04,06:27:49,SWA1849,11725,354,2325,SWA,06:00:00
AD4CB0,2022-07-04,06:28:25,NA,,,,NA,06:00:00
ACFBAF,2022-07-04,06:29:16,N9358C,1500,68,1200,Private,06:00:00
A9F6B9,2022-07-04,06:30:22,SKW3240,11225,346,2522,SKW,06:00:00
ABF78F,2022-07-04,06:36:27,AAL1579,2225,193,2216,AAL,06:00:00
A56A18,2022-07-04,06:36:59,UAL305  ,35475,467,2430,UAL,06:00:00
ABB76D,2022-07-04,06:38:44,AAL2327,36725,476,2564,AAL,06:00:00
A8D2A8,2022-07-04,06:40:11,ENY3647,13850,353,5140,ENY,06:00:00
ADC17B,2022-07-04,06:40:35,AAL2272 ,9075,284,,AAL,06:00:00
AAA26A,2022-07-04,06:40:50,NA,5825,286,2252,NA,06:00:00
A2D3B3,2022-07-04,06:42:05,SWA2897,34000,445,,SWA,06:00:00
AA649C,2022-07-04,06:42:29,SWA783,13700,378,2320,SWA,06:00:00
ABFE12,2022-07-04,06:43:51,SKW3262,12525,316,5217,SKW,06:00:00
ADD3DC,2022-07-04,06:44:19,AAL2605,11950,279,2155,AAL,06:00:00
A8D5BD,2022-07-04,06:45:24,AAL2862,8425,279,,AAL,06:00:00
A7F9E8,2022-07-04,06:46:30,ENY4063,11950,283,5236,ENY,06:00:00
AB19FB,2022-07-04,06:48:57,UAL698,2650,179,2354,UAL,06:00:00
ACE0D2,2022-07-04,06:49:20,AAL2342 ,15325,419,2527,AAL,06:00:00
AC76B6,2022-07-04,06:49:53,NA,7800,,,NA,06:00:00
AA3417,2022-07-04,06:50:03,NA,10075,280,,NA,06:00:00
ACF1A3,2022-07-04,06:50:25,ENY3848,11625,281,2570,ENY,06:00:00
A7EEC3,2022-07-04,06:51:15,ENY3512,13650,359,5231,ENY,06:00:00
A944B9,2022-07-04,06:51:54,ENY3534,11125,270,2565,ENY,06:00:00
A537B2,2022-07-04,06:52:11,SWA1630,40000,413,1123,SWA,06:00:00
AA099E,2022-07-04,06:52:13,JBU610  ,2350,194,537,JBU,06:00:00
A40027,2022-07-04,06:53:02,AAL2442,11500,276,2511,AAL,06:00:00
A26F01,2022-07-04,06:53:31,ENY4046,8400,282,,ENY,06:00:00
AD5369,2022-07-04,06:53:32,ASH5772,15900,360,5216,ASH,06:00:00
A77F2D,2022-07-04,06:53:51,AAL2770,11675,275,3145,AAL,06:00:00
AA60DA,2022-07-04,06:55:47,SKW3184,13200,345,2424,SKW,06:00:00
A8FD2C,2022-07-04,06:56:02,ENY3832,11600,285,2555,ENY,06:00:00
A7178C,2022-07-04,06:56:46,AAL553,2650,181,,AAL,06:00:00
A9029D,2022-07-04,06:56:47,N68TX,925,45,,Private,06:00:00
AA1F5A,2022-07-04,06:56:53,NA,9450,282,,NA,06:00:00
A9BF27,2022-07-04,06:57:20,SKW3253,11800,282,5267,SKW,06:00:00
AA6E58,2022-07-04,06:58:44,SKW3211,14650,341,2431,SKW,06:00:00
A8C439,2022-07-04,06:58:51,ENY3983,11725,278,5260,ENY,06:00:00
AB3655,2022-07-04,06:59:07,UAL1253,37000,471,7417,UAL,06:00:00
AC210E,2022-07-04,07:00:04,SWA2287,16175,384,2346,SWA,07:00:00
AA11DC,2022-07-04,07:00:07,SKW3026,11050,274,2451,SKW,07:00:00
A988CC,2022-07-04,07:00:15,SKW3138,15350,355,2572,SKW,07:00:00
AD071D,2022-07-04,07:01:27,ENY3500,6000,259,,ENY,07:00:00
A23C5D,2022-07-04,07:01:38,ENY3300,10925,267,2540,ENY,07:00:00
AC0143,2022-07-04,07:02:26,NA,4150,,,NA,07:00:00
A0D561,2022-07-04,07:02:54,AAL2677,11650,282,2634,AAL,07:00:00
A3A990,2022-07-04,07:03:17,DAL2239,37000,459,2755,DAL,07:00:00
AD1986,2022-07-04,07:03:29,AAL1435,2325,188,,AAL,07:00:00
A63D42,2022-07-04,07:03:38,AAL2768,13850,334,2421,AAL,07:00:00
AA596C,2022-07-04,07:04:12,SKW3106,14800,351,2502,SKW,07:00:00
